{'短评内容': '酒店位置不错 房间干净 环境总体感觉还不错 服务态度很好 热水特别好用 网络也很好 设施挺齐全的 值得推荐', '短评打分': 5}
{'短评内容': '酒店位置不错 房间里很干净 暖气很舒服 热水特别及时 网络速度也很好 服务态度也不错 ', '短评打分': 5}
{'短评内容': '干净卫生，环境不错，24小时热水，电视，wifi一应俱全，适合出差，门口有停车厂，紧邻日照长途客运站和日照火车站。', '短评打分': 5}
{'短评内容': '房间非常干净 服务态度也特别好 位置很好找 价格也实惠 房间设备也齐全 门口停车场也特别大 不错的一家店 服务不错 早餐赞 停车方便 卫生好 房间干净 价格实惠 环境不错 位置繁华 性价比高 隔音好 设施不错', '短评打分': 5}
{'短评内容': '前台小姑娘服务态度很好，很热情，房间很大很干净，而且房间还有小梳子，很开心，无线网速很快，晚上睡觉很安静，早餐很丰盛，周边吃饭的地方很多，距离公园和海边很近，出门很方便，而且价格很实惠，很满意！ 卫生不错 停车方便 服务可以 设施新 房间不错 价格实惠 环境好 隔音好 位置好找 早餐种类多非常棒 性价比高', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生还可以', '短评打分': 5}
{'短评内容': '整体都很不错', '短评打分': 5}
{'短评内容': '环境还不错，服务态度也可以，价格比较优惠，比较合适。', '短评打分': 4}
{'短评内容': '还不错，离汽车站近。', '短评打分': 5}
{'短评内容': '挺好的  干净卫生  交通方便', '短评打分': 5}
{'短评内容': '挺好的  干净卫生  交通方便', '短评打分': 5}
{'短评内容': '不错、性价比很高……', '短评打分': 5}
{'短评内容': '对的吧康复科u废话', '短评打分': 5}
