{'短评内容': '帮别人订的，应该还可以吧。', '短评打分': 5}
{'短评内容': '老板娘很好，宾馆的菜也不错', '短评打分': 3}
{'短评内容': '感觉棒棒哒，老板娘一家人都很热情，还安排车子来接我们，服务也很周到，告诉我们怎么节省时间多玩些地方，而且是在西栅景区外面第一家，玩累了回来也不用走很远就可以休息了，如果有机会再去我还会选择他们家', '短评打分': 3}
{'短评内容': '有点旧，该重新装修了', '短评打分': 4}
{'短评内容': '条件简陋，老板还算热情，位置离西栅景区大概三到五分钟的路程。', '短评打分': 3}
{'短评内容': '还好啦～这个价钱，主要是离景区门口近～(￣▽￣～)~', '短评打分': 3}
{'短评内容': '整体环境干净 和照片一样 没有虚假信息。距离西栅五分钟的步行 方便晚上看夜景晚归后容易找到。我要特别感谢老板娘。首先是由于我的粗心的把手机忘记带了，结果老板娘帮忙收起来了并归还。再者是我们询问游玩路线及游玩时间 坐车路线 早餐店 等问题，老板娘都会热情仔细回答。', '短评打分': 5}
{'短评内容': '酒店硬件一般，但老板人很好，还是赞一个了', '短评打分': 4}
{'短评内容': '没有车接，网上说有的。景观房么，窗户到不少一面可以欣赏电线杆另一面可以看围墙和房顶，要想看墙里估计的去房顶了，我住的可是三楼。卫生间淋浴喷头也是坏的。估计我家扔的漏水的那个给他用能用三年。1.5米的双人大床，翻身都嘎吱嘎吱的。也没啥说的了就是离西栅南门挺近的五分钟进景区这点到是实情。下回在去我一定会在景区里民宿住，看夜景也方便，价格三百起。要提前预约，如果到景区服务站在定的话可能就没低价位的了，建', '短评打分': 2}
{'短评内容': '离景区很近很方便 环境一般 服务质量有待提高', '短评打分': 4}
{'短评内容': '个人酒店，要求不高的话还行，就在景区门口。', '短评打分': 4}
{'短评内容': '该店干静、整洁，老板和店里的员工都挺热情、和气的，离西栅近，就在南门口很好找的。', '短评打分': 3}
{'短评内容': '很早就入住沁水园宾馆，因为回来又有业务要忙，现在才有时间好好的评价。我是带我老婆和儿子和丈母娘去的，拖家带口玩肯定是比夫妻两个人玩辛苦，玩好西栅一个夜景回来的时候就已经很累了，还好沁水园就在西栅景区门口，不用走很远，房间很干净，也很安静，最让我满意的是朱老板在我们来之前就开好空调，赶过蚊子了，挺温馨的，我们很快就入睡了。第二天的早饭也蛮可口的，有江南小镇的味道，淡淡的，娴静的……感谢朱老板的热情招', '短评打分': 5}
{'短评内容': '店家很友好，有种简单到家的感觉，下次还会考虑入住。', '短评打分': 5}
{'短评内容': '在景区西栅门口很方便，房间干净，空间也可以', '短评打分': 5}
{'短评内容': '在景区西栅门口很方便，房间干净，空间也可以', '短评打分': 5}
{'短评内容': '老板娘还不错，包接包送，房间也挺干净，有电脑上网速度也挺快的，最重要的是离西珊很近，走几步就到了。我和老婆住的观景房，只是这个有点**，观到的景只是西珊的房子，其他什么都看不见。饭菜也挺好吃的。总的来说还行。', '短评打分': 1}
{'短评内容': '住宿还可以，就是隔音不行', '短评打分': 3}
{'短评内容': '还可以，卫生不错', '短评打分': 3}
{'短评内容': '位置好找，干净，就是发票是招待所的，不是宾馆的章，其他都还好！！！', '短评打分': 5}
{'短评内容': '火车站不远，位置很好，环境一般，这个价位也值得入住。', '短评打分': 5}
{'短评内容': '很好，物美价廉。有院内停车场，适合驾车旅游歇脚。', '短评打分': 5}
{'短评内容': '很干净，设备设施也很新，就是刚刚装修好，还有些味道需要清楚。', '短评打分': 5}
{'短评内容': '很值得推荐的，很热情的老板和老板娘，还给我们小朋友吃糖的，给我们做的饭菜很好吃，每顿饭都吃的肚子滚圆还在吃。就在景区门口，真的很近的，我们去的时候找不到了还给我们带路的呢。\n我们有小朋友，然后老板娘提醒我们景区里面不好找热水，给我们带了热水进去的呢，真的是很体贴的，下次去的话还要住这里的。', '短评打分': 5}
{'短评内容': '网上看到的，老板娘超级好的，结果去了之后发现真的是这样的，很细心，很体贴的，饭菜也很好吃，店里很干净的，就是给我们的房间离路边太近，早上比较吵。\n就在景区门口，进去的话很近的，早上的小菜超级好吃的，我们吃了好几份的说，hoho~', '短评打分': 5}
{'短评内容': '店主非常热情，人也很真诚，在这里入住，就像在家门口旅游一样，而且，店家的清蒸白条鱼、早餐的咸菜都特别好吃，建议去玩的朋友有机会可以去尝一尝！', '短评打分': 5}
{'短评内容': '挺干净的，暖风很给力，性价比，值得入住。', '短评打分': 5}
{'短评内容': '老板非常热情，房间空间大，挺干净的，位置就在西栅的门口，早上还提供免费早餐。一楼是餐厅，晚餐在那里吃的，味道很赞，价格也很便宜，记住一定要让那个大妈做，她的菜最好吃，后面补的一个菜好像是一个小师傅做的，味道差远了。', '短评打分': 5}
{'短评内容': '还算可以，景区门口，晚上住是个比较理想的地方。如果晚上游西栅应该算是个可以住的地方，条件一般了。', '短评打分': 5}
{'短评内容': '先说优点：能住人，床铺是洗干净的，屋里没异味，上网速度快。\n再说问题：房间卫生清理很差，毛巾架上居然还有装修时留下的灰土，窗台上也是尘土，地板没拖过很久了，穿着拖鞋进浴室，浴室地板上全是黑泥。有饮水机，可惜灌的是自来水，还不如开水壶烧的，饮水机水桶口上全是污泥，没办法外买农夫山泉矿泉水喝。房间隔音太差，服务人员的对讲机声音随时可以听到很大声的信息。\n其实这种旅店在锦州算是好的了，部队的安全性好，比', '短评打分': 5}
{'短评内容': '经济实用，方便，周到。', '短评打分': 3}
{'短评内容': '离火车站很近，地理位置不错，有去笔架山的车，离客运站也近。是军队的宾馆，治安挺好，住的也踏实。一进房间，看床单像军队一样整齐，白；上网还挺快。主要是性价比不错，100块能住这样的条件的宾馆已经很少了。一楼的小超市方便，老板和老板娘人很好。', '短评打分': 5}
{'短评内容': '我一个人住了三天，老板人很好，把我安排在3楼阳光最充足的房间，房间很干净，酒店离西栅很近，紧邻西栅大门，比较方便，值得推荐！', '短评打分': 5}
{'短评内容': '在西栅的南大门，离景区挺近的。老板人很好', '短评打分': 5}
{'短评内容': '就是个小旅馆，不值！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间很干净，老板很好，就空调有点响。', '短评打分': 3}
