{'短评内容': '酒店位置好，房间很干净，服务也很好', '短评打分': 5}
{'短评内容': '1、客栈有三个小院，房间相对独立，对于喜欢安静的客人很合适。2、客栈交通方便，去四方街步行也就10分钟之内。3、早餐很棒，米线很好吃。4、老板或店长会泡好茶给客人品尝。5、入住第一天，老板娘泡茶给我们喝，第二天就不见了，说晚上扭了腰，动不了，躺在床上了。我想老板娘是被第二春撞了一下腰吧，老板您悠着点。6、订房时老板娘很热情，主动免费帮我们升级房型。但离开时说已帮我们升级了房型，送机场要我们自己付费', '短评打分': 4}
{'短评内容': '酒店整体调调还是很不错的，连住两晚提供了接机服务，临走时还问我们要不要吃个早饭，老板和管家人很好。', '短评打分': 5}
{'短评内容': '超级赞的民宿', '短评打分': 5}
{'短评内容': '老板帮忙升级了房间，挺有客栈的味道，房间挺大的，到了以后店家引路提箱，服务态度很好，小院布置挺好的，整体不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '下次还来！', '短评打分': 5}
{'短评内容': '相当不错，环境好', '短评打分': 5}
{'短评内容': '环境不错，室内略有点潮', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务贴心，待客热情', '短评打分': 5}
{'短评内容': '非常好，以后去丽江的常住客栈！', '短评打分': 5}
{'短评内容': '闹中取静，中西结合风格，服务员热情，宾至如归。我在丽江等你！', '短评打分': 5}
{'短评内容': '很满意呢，管家很贴心，很热情，客栈棒棒的，一眼就相中了', '短评打分': 5}
