{'短评内容': '非常的不错', '短评打分': 5}
{'短评内容': '还是蛮不错的', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '交通方便，同学聚会就选择这里，离学校也近，借此机会正好去看看母校的发展，借此机会回忆年轻时同学间的友情！', '短评打分': 5}
{'短评内容': '在浦东附近出差，住这个酒店还是物美价廉，硬件还可以，服务一般。下次出差还希望住这个酒店', '短评打分': 3}
{'短评内容': '住一层，蚊子有点多，马桶有味道，其他勉强还可以，推荐以后的住户千万不要住一楼', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '呵呵，服务也还是蛮好', '短评打分': 2}
{'短评内容': '总得来说还可以，', '短评打分': 5}
{'短评内容': '帮朋友预定的，感觉还不错，下次还会入住\n就月底离开上海时去住一次吧\n到时租住的房子退掉了', '短评打分': 5}
{'短评内容': '服务很好，性价比高。浦东大道正在扩建，完工后感觉会更好！', '短评打分': 3}
{'短评内容': '总体卫生不错早餐简单了些', '短评打分': 3}
{'短评内容': '经济型酒店，在周边属于价格较低的酒店，房间还算宽敞整洁', '短评打分': 3}
{'短评内容': '性价比高，房间明亮舒适，有停车场，下次还去住。', '短评打分': 5}
{'短评内容': '环境还不错，地方有点远，不过这个价钱挺超值的。就是有一天叫服务台早上叫我，他们答应了却没有叫，幸好我两手准备了，不然要误事', '短评打分': 5}
{'短评内容': '威伦酒店(上海浦东大道店)威伦酒店(上海浦东大道店)就是远些！房子还挺不错的~停车也方便、安全，附近吃饭的地方不多~。 \n', '短评打分': 5}
{'短评内容': '酒店卫生、服务较好，房型不错，就是交通有些偏。', '短评打分': 5}
{'短评内容': '在上海来说，价格是比较可以的，房间不大。特价房算是不错了！', '短评打分': 5}
{'短评内容': '很干净,服务也不错.房间比一般经济型酒店大.', '短评打分': 5}
{'短评内容': '态度不错，干净，交通方便（打车），不过地方远，我从上海南站到哪打车88元', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很不错 和朋友一起去上海玩时订的 我们都很满意 。虽是特价房，但房间干净舒服；附近交通饮食也挺方便，很推荐', '短评打分': 5}
{'短评内容': ',服务亲切', '短评打分': 3}
{'短评内容': '服务态度好，对于我们来说觉得交通不太方便。建议在各地段多设些分店', '短评打分': 5}
{'短评内容': '物有所值,服务亲切', '短评打分': 3}
{'短评内容': '非常的不错，房间干净卫生，服务人员态度也很好，下次一定还住了', '短评打分': 5}
{'短评内容': '干净整洁 服务不错 网络也不错 交通不是很方便 离地铁站走路20分钟。性价比满意。推荐。', '短评打分': 5}
{'短评内容': '交通方便，很近世博园，打的也很方便！下次会再住。', '短评打分': 5}
{'短评内容': '房间大,空调好, 交通稍微有点不便 不过离85号公交近\n这个价位, 相当有所值', '短评打分': 5}
{'短评内容': '房间就是离市中心有点远，不过性价比真好，房型也好，周边吃饭很便宜', '短评打分': 5}
{'短评内容': '68块在上海应该是找不到更舒服的了。\n唯一美中不足也不可避免的是周围比较偏僻，不过交通还算方便，到陆家嘴公交大概一刻钟。', '短评打分': 5}
{'短评内容': '威伦酒店(上海浦东大道店)威伦酒店(上海浦东大道店)威伦酒店(上海浦东大道店)就是远些！房子还挺不错的~停车也方便、安全，附近吃饭的地方不多~ 差不多连续住了十几天啦。 \n', '短评打分': 5}
{'短评内容': '威伦酒店(上海浦东大道店)威伦酒店(上海浦东大道店)威伦酒店(上海浦东大道店)就是远些！房子还挺不错的~停车也方便、安全，附近吃饭的地方不多~ 差不多连续住了1几天啦。 \n', '短评打分': 5}
{'短评内容': '安静程度还行 一早开始会比较吵闹 因为在马路边上 但是总体还行', '短评打分': 5}
{'短评内容': '感觉还行 空间较小 价格优惠 交通方便 充电地方较多', '短评打分': 5}
{'短评内容': '哎哟，不错哦，住的挺舒服的，我还会回去住的', '短评打分': 5}
{'短评内容': '威伦酒店(上海浦东大道店)威伦酒店(上海浦东大道店)就是远些！房子还挺不错的~停车也方便、安全，附近吃饭的地方不多~ 差不多连续住了10天啦。 \n', '短评打分': 5}
{'短评内容': '厕所有点臭，其它不错', '短评打分': 3}
{'短评内容': '威伦酒店(上海浦东大道店)就是远些！房子还挺不错的~停车也方便、安全，附近吃饭的地方不多~ 差不多连续住了一周啦。\n', '短评打分': 5}
{'短评内容': '住了一晚，感觉不错~就又续了一晚，还好，大厅里就有个上网的电脑~挺方便的~', '短评打分': 5}
{'短评内容': '就是远些！房子还挺不错的~停车也方便、安全，附近吃饭的地方不多~ ', '短评打分': 5}
{'短评内容': '就是远些！房子还挺不错的~附近吃饭的地方不多~ ', '短评打分': 5}
{'短评内容': '还好，干净、整洁，虽然较偏远，但还是性价比高。', '短评打分': 5}
{'短评内容': '还可以。价格低服务员好。热心指导路线，下次有机会还会入住', '短评打分': 5}
{'短评内容': '房间不错，就是远了点，这价格还算比较值的。', '短评打分': 5}
{'短评内容': '交通可以，远些！房子还挺不错的~附近吃饭的地方不多~', '短评打分': 5}
{'短评内容': '给别人订的，不知道好不好！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境还可以，服务态度不错，房内设施比较完善。', '短评打分': 5}
{'短评内容': '酒店大厅够气派，服务人员态度很好，室内装修属普通简洁型，唯一不好的就是隔音效果差，房间是用木板隔开的。', '短评打分': 5}
{'短评内容': '外观很豪华，但和室内装饰稍有落差，但对于这个价钱与酒店的配比，可谓是上海无第二家。', '短评打分': 5}
{'短评内容': '地点稍微偏僻，距离云山地铁站步行大约有２０分钟，但是性价比高。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': ' 价格便宜，住的也舒服，就是离地铁有点远，就这点不好', '短评打分': 5}
{'短评内容': '干净卫生，停车方便，就是偏远了一点，不过性价比蛮高的。', '短评打分': 5}
{'短评内容': '性价比比较高，各方面也都不错。有机会还会选择。', '短评打分': 5}
{'短评内容': '停车比较方便，酒店预订比较方便（在世博期间），位置较偏。用餐情况不是很好。', '短评打分': 5}
{'短评内容': '交通还算方便,离地铁6号有4公里较远,房间好小,好小,床边放个椅子都困难,隔音效果也不好!', '短评打分': 1}
{'短评内容': '停车挺方便，但就是位置太偏了一点，房间设施也一般。', '短评打分': 5}
{'短评内容': '服务一般 地理位置远 交通不方便 但是比较干净 ', '短评打分': 1}
{'短评内容': '该酒店的环境一般，就是交通方便，去世博都是15分钟车程，到外滩也是十几分钟，还算要以！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通不便', '短评打分': 5}
{'短评内容': '卫生间的热水太小了，想要停水是的。\r\n卫生间的灯像萤火虫。', '短评打分': 1}
{'短评内容': '这个酒店很好，下次我会再住。交通还算方便，就是附近吃的东西很少！', '短评打分': 5}
{'短评内容': '＋还不错。', '短评打分': 5}
{'短评内容': '总体感觉还不错,就是房间稍微小了点,卫生间也是,在世博期间能订到这样价格,交通还算方便的住处应该还算满意了', '短评打分': 5}
{'短评内容': '挺好的 比想象的好 就是卫生间的灯改为暖色调的话会更好 ', '短评打分': 5}
{'短评内容': '环境整洁', '短评打分': 5}
{'短评内容': '停车很方便且免费。', '短评打分': 5}
{'短评内容': '地點有點偏遠...設施是還可以的', '短评打分': 5}
{'短评内容': '还行，地址有点偏', '短评打分': 5}
{'短评内容': '位置不太好，其他一般啦', '短评打分': 3}
{'短评内容': '还可以  蛮好的', '短评打分': 5}
{'短评内容': ' 有点远，附近吃东西和交通很不便，下次不会去住的', '短评打分': 1}
{'短评内容': '一般般  下次不会去住了 位置不好 服务也差', '短评打分': 3}
