{'短评内容': '还不错，', '短评打分': 5}
{'短评内容': '非常一般的招待所，凑合一晚没问题。无早。门前的停车场不大，去晚了或则想早走却被堵了会比较麻烦。22点以后不要外出～', '短评打分': 3}
{'短评内容': '非常一般的招待所，凑合一晚没问题。无早。门前的停车场不大，去晚了或则想早走却被堵了会比较麻烦。22点以后不要外出～', '短评打分': 3}
{'短评内容': '无线网信号太差', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '房间不错，服务也好', '短评打分': 5}
{'短评内容': '安静', '短评打分': 2}
{'短评内容': '在携程旅行网上订了他家两晚房间，在没超过预订时间到的酒店，结果前台查了半天硬是说没有我的预订信息，可是携程给我发了预订成功的信息了，我拿出了各种相关凭证，前台都说没我的预订！结果我本来想走的，但是已经凌晨了，可能是赌我不敢走了，最后我只能以118的价位定了一个根本不值这个价的房间了！我也就只定了一晚，天亮果断退房走了！！后来我在携程上投诉了，携程给我打了电话，携程方面说是酒店的问题，他们打电话给酒', '短评打分': 4}
{'短评内容': '酒店不错，前台服务员太差', '短评打分': 3}
{'短评内容': '环境太差', '短评打分': 3}
{'短评内容': '还不错，挺安静', '短评打分': 4}
{'短评内容': '价格便宜，环境可以。', '短评打分': 3}
{'短评内容': '酒店很安静，交通便利，周围小吃很多，值得入住。', '短评打分': 3}
{'短评内容': '可以的，房间干净而且宽敞，比较安静！', '短评打分': 3}
{'短评内容': '还行，性价比还行，可以推介', '短评打分': 3}
{'短评内容': '我住的标准双人间在一楼，信号超级不好，不知道其他房间怎样。除了这点其他都还可以。', '短评打分': 3}
{'短评内容': '就在六盘水市客车站斜对面，因为不临街，居住环境相对比较安静，热水、空调、网线一应俱全、性价比还可以。\n缺憾就是周边环境不太好，因为在客车站附近，周边环境有些复杂', '短评打分': 5}
{'短评内容': '我在网上订的108的房间，硬件还可以，就是房间地上有头发，估计是服务员未打扫干净，周围环境不算太好。', '短评打分': 5}
{'短评内容': '还可以，就是门市价也一样，网上订单没有优惠', '短评打分': 5}
{'短评内容': '挺好的，干净，卫生。也挺安静，房间宽敞大的很，热水也很好！', '短评打分': 5}
{'短评内容': '还是蛮不错的，用品比较好，电视，网络也还不错，一次性卫生用品也质量挺好的。', '短评打分': 5}
{'短评内容': '整体感觉比较差，环境也挺一般，价格有点高，性价比比较差', '短评打分': 1}
{'短评内容': '酒店环境嘛 洗手间的洗脸台漏水，不好。洗澡喷头，热水不均匀，估计是热水器有问题。当然最让我头疼的是，一个晚上我都没睡着（但申明不是酒店住宿环境太吵，是我个人原因占的比例较大，当然室内装修有点让我不适应。），第二天去办事都头疼发晕，就这么多了，谢谢酒店把客观的硬件设施解决好。', '短评打分': 1}
{'短评内容': '酒店很干净，不错，性价比很好，下次也会选择\n李连兴（由GO短信发送）', '短评打分': 3}
{'短评内容': '水馨阁宾馆不错，干净简洁', '短评打分': 3}
