{'短评内容': '经常来这住，非常好，给点个赞。', '短评打分': 5}
{'短评内容': '房间干净整洁。', '短评打分': 5}
{'短评内容': '入住免费停车，服务周到，很不错', '短评打分': 5}
{'短评内容': '房间好大，空气也很好，', '短评打分': 5}
{'短评内容': '房间里干净，舒适，挺好的', '短评打分': 5}
{'短评内容': '价格便宜，环境优雅，卫生干净，早餐丰盛可口', '短评打分': 5}
{'短评内容': '挺不错的酒店，服务也挺好的', '短评打分': 5}
{'短评内容': '离304很近', '短评打分': 5}
{'短评内容': '酒店时间太久硬件服务需要提升。服务不错早餐种类太少，距离南门广场较近。', '短评打分': 4}
{'短评内容': '房间比较老，就是周边设施比较齐全，逛街很方便', '短评打分': 5}
{'短评内容': '设施陈旧，床硬，配件差', '短评打分': 2}
{'短评内容': '不错哈，安静', '短评打分': 5}
{'短评内容': '总体不错！', '短评打分': 5}
{'短评内容': '部分房间没有网络端口，楼层共用WiFi，信号极不稳定。这些已经不重要，更烂的是服务态度极差。', '短评打分': 3}
{'短评内容': '垃圾 住的最次的房间', '短评打分': 1}
{'短评内容': '整体还是非常不错的！', '短评打分': 3}
{'短评内容': '位置很好，出行方便，设施也不错，但是服务质量不象3星，早餐的品种太少，', '短评打分': 5}
{'短评内容': '房间装修的很好，挺干净挺舒适，宽带速度也很快，用起来也很方便。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，出行还是很方便的。', '短评打分': 5}
{'短评内容': '酒店里面环境不好，房间设施很不齐全感觉东拼西凑似的，而且商务房有电脑但是也基本上使用不了，里面烟味也特别大，价格的话也不值。', '短评打分': 1}
{'短评内容': '该酒店设施不错，房间较大，也没有摆放乱七八糟的东西，这样给退房带来很大方便。地理位置也不错。', '短评打分': 5}
{'短评内容': '宾馆较差.', '短评打分': 5}
{'短评内容': '卫生设施也很一般，位置出行都很方便，服务态度我觉得比较一般。前台刷卡不方便，早餐也不行而且房间上网还老是掉线。', '短评打分': 1}
{'短评内容': '洗澡的时候卫生间是没有任何的遮挡物的所以水溅得得哪儿都是，房间还成，位置挺方便的。价格还不错。', '短评打分': 1}
{'短评内容': '主宿条件跟价格不太相符，酒店位置不太好找。建议不要入住。', '短评打分': 1}
{'短评内容': '房间布置还不错，挺干净的，住着挺舒适。', '短评打分': 5}
{'短评内容': '酒店位于繁华中心地带，周边交通还是比较便利的。', '短评打分': 5}
{'短评内容': '房间里很干净，隔音也很好，睡眠质量很好。', '短评打分': 5}
{'短评内容': '在一些小的细节上体现出服务很周到，让人感觉很贴心。', '短评打分': 5}
{'短评内容': '房间很干净，也很安静，住的很舒适，出行也很方便。', '短评打分': 5}
