{'短评内容': '话说房间很舒适', '短评打分': 5}
{'短评内容': '马桶的冲水按钮是坏的，且卫生间一直有股臭味，很昏暗。房间设施一般，感觉对不起这个价。', '短评打分': 3}
{'短评内容': '房间大，交通方便，干净舒适，性价比高。好评。', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉  布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住', '短评打分': 5}
{'短评内容': '可以。', '短评打分': 3}
{'短评内容': '酒店位置不错，离鸟巢较近，房间大。周边吃的饭店比较多。旁边就是大马路。滴滴出租车较方便出行。早餐品种较其他酒店不是太多。北京南滴滴到酒店70元左右', '短评打分': 5}
{'短评内容': '酒店位置不错，离鸟巢较近，房间大。周边吃的饭店比较多。旁边就是大马路。滴滴出租车较方便出行。早餐品种较其他酒店不是太多，但也够', '短评打分': 5}
{'短评内容': '套房房间够大，早餐一般', '短评打分': 4}
{'短评内容': '无故取消了我的订单。。。。。。。。。。。。。。。。。。', '短评打分': 2}
{'短评内容': '京东订酒店一点都不靠谱，打着限时间抢购  下单完了左等右等也等不到确认，最后偷偷把你订单取消，然后告诉你满房没房间了 但到其它平台一订却很多', '短评打分': 5}
{'短评内容': '还可以。。。', '短评打分': 5}
{'短评内容': '酒店还可以，朋友说还行，大厅有点别扭', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的东西，值得推荐，赞赞赞', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '性价比很好，方便快捷', '短评打分': 5}
{'短评内容': 'Room on the upper floors are quiet despite the noisy traffic around the hotel. The furniture and fittings are old and the bed is too hard for my liking. Despite that, the location is great with easy a', '短评打分': 4}
{'短评内容': '住过很多次，这次入住感受太差。房间一股烟味，连无烟处理也懒得做么？真该举报罚你们！房间没有冰箱，问前台说肯定有，所有房间都有冰箱，让仔细找找，翻遍了整个房间也没找到冰箱的影。后来问来做无烟处理的服务员才知道5到13层的该房型不配冰箱。就算你再做房型级别差异也不至于把冰箱都省了吧？配合迷你吧也可以啊，管理水平真是不敢恭维！', '短评打分': 2}
{'短评内容': '房间大 近奥体公园', '短评打分': 5}
{'短评内容': '酒店一般，只是离会务中心近，酒店的名字让很多人误会，不好找', '短评打分': 4}
{'短评内容': '周边环境非常不错.楼下有超市.吃饭的地方选择很多.', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 2}
{'短评内容': '最大的优点是房间非常宽敞，周围吃饭很方便。设施什么的虽然有些老旧，但在北京这个价位住这样的酒店还是很超值的。', '短评打分': 4}
{'短评内容': '环境不错，很大很干净', '短评打分': 5}
{'短评内容': '交通便利，离地铁站十几分钟，附近有个超市，购物方便。而且相较周边的酒店是价位较低的四星（其实也差不了多少钱，几十），最主要别的酒店有点偏，交通没有这条路便利。有客人来经常住这个酒店。客服服务到位，接电话也很礼貌。', '短评打分': 4}
{'短评内容': '房间很大。很适合家庭入住。周围吃的很多。酒店里早餐很丰富。离机场很近', '短评打分': 5}
{'短评内容': '酒店是商务套房，有客厅、餐厅、厨房，感觉很温馨，唯一不好的是卫浴设备，淋浴器漏水。', '短评打分': 3}
{'短评内容': '房间很大。周边交通便利。吃的也多。主要也离机场很近。推荐。', '短评打分': 5}
{'短评内容': '公寓式酒店，很不错，有家的感觉，就是不太好找', '短评打分': 5}
{'短评内容': '房间很大，设施略旧，交通方便，可以打到车，去机场便利', '短评打分': 5}
{'短评内容': '在北京常住的酒店。房间超大，位置还不错，周边比较方便。服务有待加强，不过北京的都是这么个样子，不苛求也能接受。', '短评打分': 5}
{'短评内容': '灰常好，房间很宽敞舒适', '短评打分': 3}
{'短评内容': '房间很大，很干净，相对于附近的五星级饭店，性价比超高。', '短评打分': 5}
{'短评内容': '适合长时间入住的酒店，适合家庭居住。酒店早餐简洁，可口。', '短评打分': 5}
{'短评内容': '酒店很不错，房间很大。', '短评打分': 3}
{'短评内容': '房间够大光线透气好。唯一不太好就是房间里的玻璃杯不结实一到开水炸了。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '这酒店一直在用，以前是单位合约的，现在离开了原单位是自己订的，价格高了一些，称为有一点贵但房间就是宽趟，不过祗提供1位早餐太小气了！', '短评打分': 5}
{'短评内容': '\n酒店非常舒适，房间很大，适合出差、家庭选用。早餐品种较少', '短评打分': 3}
{'短评内容': '\n酒店很好,很温馨，房间很大，设施不错，住过多次，很喜欢这里。就是一点，房间的衣架不太适合晾晒洗的衣服，不太人性化。', '短评打分': 3}
{'短评内容': '酒店环境很好很舒适，房间空间真的很大，也有点家的感觉，总体感觉比较满意。', '短评打分': 5}
{'短评内容': '酒店很不错的！环境也很好！交通也很便利！', '短评打分': 5}
{'短评内容': '离国家会议中心比较近，走路也在能接受的距离之内。\n套房的设置比较浪费空也间，外面客厅也没有电视，吧台上什么都没有。\n房间比较小，床有点硬。\n浴室用品很简陋，每天有housekeeping,但觉得保洁质量不咋的。\n早餐只能算OK，前台的服务有待加强。', '短评打分': 5}
{'短评内容': '酒店条件很好,挺干净,就是早餐有点贵', '短评打分': 3}
{'短评内容': '帮老板预定的，他说还好的。地段好的价格都不便宜哦。', '短评打分': 5}
{'短评内容': '我感覺各方面都很滿意', '短评打分': 3}
{'短评内容': '旅行、商务最佳选择，物有所值。', '短评打分': 3}
{'短评内容': '物有所值。除了酒店大门不太好找，其余都还可以。', '短评打分': 5}
{'短评内容': '十陈向东以入住', '短评打分': 3}
{'短评内容': '酒店宽敞明亮,周边环境也非常好,购物餐饮都非常方便,价格也不高,非常满意。', '短评打分': 3}
{'短评内容': '挺好的，挺大，适合朋友聚会，家庭出游,就是附件打车有点困难', '短评打分': 5}
{'短评内容': '挺好的，很大，适合一家人出游，或者朋友聚会', '短评打分': 5}
{'短评内容': '非常适合商务及家庭旅行。是非常好的选择。', '短评打分': 5}
{'短评内容': '酒店总体很好！房间绝对大，很适合商务或家庭出行。以前都是住的大床房，这次没有交代且房屋紧张，安排的是双床，而且是宽度只有900cm的小床，这个现在已经很少见到了，建议这种规模和定位的酒店，标准间尽快换成1250～1300cm的标准床。', '短评打分': 5}
{'短评内容': '这酒店已经用了不短时间，整体感觉不错，主要这个价位住上套房很值。不过前台服务态度有需要改善的空间。', '短评打分': 5}
{'短评内容': '房间很大，不错！', '短评打分': 3}
{'短评内容': '虽然不够精致但是性价比挺高的，房间有吧台，用来招待朋友开开趴体不错。', '短评打分': 5}
{'短评内容': '位置不错，环境很好。', '短评打分': 3}
{'短评内容': '酒店位置很不错，周边吃饭、购物、逛书店等十分便利，挺繁华的。楼下是个大超市。房间也够大。但是价格并非网上所公布的，有些隐性消费，如上网要交50元（房间配有电脑，超过五分钟自动生效，个人感觉像是个钓鱼工具），早餐很一般，而且只给一份，另加一人50元......个人认为不如直接把房价定的高点，取消那些零星收费，让消费者心中有数。房间设施和卫生还行，但稍有点异味。', '短评打分': 1}
{'短评内容': '很好的酒店，值得推荐。环境也很好。房间很有特点。', '短评打分': 5}
{'短评内容': '不错的酒店，下次会选择。就是价钱有点贵。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置和环境都很好，价格很合适，公寓式的酒店，很舒服', '短评打分': 5}
{'短评内容': '酒店房间内部环境不错，房间比较大，可以支持一下，附近有饭店，住这里主要是离朋友家比较近。', '短评打分': 5}
{'短评内容': '北京性价比超高的酒店,房间大位置,在大屯北好吃衔很方便,来京常住,近期房间卫生水平有下降希望保持住以前水平', '短评打分': 5}
