{'短评内容': '挺好的地方，服务热情周到，周边方便。推荐一下。', '短评打分': 5}
{'短评内容': '还好啦，加了80住了二楼', '短评打分': 4}
{'短评内容': '很安静，后面就是小吃街，环境也很好，老板人很好，会给你讲很多鼓浪屿的历史，房间不大，但是也算干净了，住了两个晚上，心情还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '无法住', '短评打分': 1}
{'短评内容': '装饰比较有特色', '短评打分': 5}
{'短评内容': '房间干净，服务很到位，到处都是画，有特色！非常满意！', '短评打分': 5}
{'短评内容': '很不错的店，还是很满意的', '短评打分': 5}
{'短评内容': '老板人非常热情，环境也还不错', '短评打分': 5}
{'短评内容': '还不错，老板很热情', '短评打分': 5}
{'短评内容': '来到艺乡人给我的感觉很舒服，优雅的小院很安静，去周边景点像早上去日光岩看日出 晚上去美华沙滩吹海风，主人家的院内小猫和小狗都很可爱，我家宝贝很喜欢。老板热情耐心地回答我们的问题，还生动讲了百年鼓浪屿的故事历史，难忘的一次鼓浪屿之旅，艺乡人我来对了，下次有机会还会来，吃住没烦恼，剩下的就是玩啦！', '短评打分': 5}
{'短评内容': '朋友帮定的艺乡人，前台电话中热情嘱咐登岛提前买船票并发来详细的来店路线，节省了候船时间  ，顺利登岛，一路平道，边走遍问，很快到了旅店，前台出门迎接我们，  ，帮我们两个小女生提拿行李到房间，房间整齐，独立卫浴，  24小时中央热水，冷热空调，南北窗户通透，采光通风也好，WiFi速度杠杠滴，  百年的别墅，现代化的配置，再多房间就显得有点挤了，幽静的小巷，旁边的别墅，时不时传来钢琴声，  温馨的庭', '短评打分': 5}
{'短评内容': ' 位置稍微远了点，住宿条件还行～', '短评打分': 3}
{'短评内容': '已入住，房间干净整齐，不错！附近有装修，噪音比较烦人。', '短评打分': 3}
{'短评内容': '还不错挺干净。', '短评打分': 3}
{'短评内容': '开始觉得地方有点偏，后来觉得位置离海边很近，所以很不错，而且很安静，老板娘非常热心，还给我们讲解了应该怎么去玩鼓浪屿。总结一下，感觉还是非常不错滴！下回还会再来滴！', '短评打分': 5}
{'短评内容': '房间很清爽,一起去的朋友都说很想再住几天,可惜时间不允许.价格也还实惠,就是走进去稍有点路.', '短评打分': 5}
{'短评内容': '酒店的房间不错！环境很好，周围硬件设施不好，周围没任何商店晚上基本没什么人，交通还算坐地铁1号线到软件大道，在打车一个起步价就到了！酒店很干净，第一天入住的房间按摩浴缸下水的坏了，当晚给我换了房间，可是要求我第2天还是要住当初开的这个房间，两间房价格是一样的，说第2天会修好！第2天让我把行李放总台，说修好会给我拿到房间里，可是等我晚上回来，还放在总台，回房后发现还是没修，打电话去总台，总台说维修的', '短评打分': 5}
{'短评内容': '我们是今年五一去的，当时只剩一楼的房间了，定了一楼的，有几个问题实在不满意：\n1.房间的隔音效果很差，不仅走廊走路的声音听得十分清楚，连路边往来行人的交谈也十分清楚，搞得大清早被吵醒，非常郁闷。\n2.其次，酒店的地理位置实在离轮渡太远了，位置太偏了，下了轮渡还要走好久，如果有带行李的话，强烈不推荐。还有就是，因为位置偏，晚上天黑了，想出去逛逛回来的时候就相当郁闷了，一路上都没人，地方又不好找。\n3', '短评打分': 1}
{'短评内容': '比较远噢..不过很安静.室内的环境还不错.舒服!最不满意其实是洗澡.水太小了.改进下就好哈', '短评打分': 5}
{'短评内容': '据说旅馆里面的油画都是原老板自己画的呢，崇拜一下。房间很干净，但是就是有点小（老板说鼓浪屿上的老房子都是这个样子滴）。有点远，下了轮渡，走了40来分钟才走到（拖着行李箱累啊），但是呢，一进院子就有点家的味道了..晚上睡觉也不吵，很安静的。总之，很不错的拉ps：小宇这个酱油打得一点不含糊的，很热情很用心哈~', '短评打分': 5}
{'短评内容': '很温馨的一个家庭旅馆，很干净！店里的人都很平和，感觉很亲切！', '短评打分': 5}
{'短评内容': '还不错吧，晚上挺安静的，新装修，小房间比较温馨', '短评打分': 3}
{'短评内容': '酒店位置不错，就是有点难找，房间是新装修的，设施齐备，要是房价再低点就很完美了', '短评打分': 3}
