{'短评内容': '经济，没有窗户，隔音稍差', '短评打分': 5}
{'短评内容': '酒店位置交通很方便，酒店门口就可以停车，有日式的榻榻米特别喜欢，早餐还没吃过，应该会很丰盛，推荐大家来住', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '床挺大', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '差评差评！必须差评！！！居住环境太差了！该出水的不出水！不该出水的瞎出水！！！喷头的眼没有几个出水的！洗个澡都冲不干净！！！！马桶的水不停的往外面溢！洗手池的水管子也不断的嘀嗒水！！！床单枕套更别说了！根本就没换！！！太脏了！', '短评打分': 1}
{'短评内容': '无线网特别差', '短评打分': 5}
{'短评内容': '拉链开口了努力了就去如我', '短评打分': 5}
{'短评内容': '很好的酒店哦', '短评打分': 5}
{'短评内容': '环境卫生还可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常不错，环境很好。装修很有格调，床很舒服。', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以吧.', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店内的设施很好，比一般的宾馆标准间的装备好些', '短评打分': 3}
{'短评内容': '房间太小，还有点味道，再不会去这家了', '短评打分': 3}
{'短评内容': '酒店装饰风格很温馨 酒店不大 几十间房 但房间配备很齐全 但就是一次性拖鞋要收费 房间没有免费的矿泉水 网速很快 而且全楼覆盖WIFI 酒店服务还可以 值得一提是可以延时退房 比较人性化 不像其他如家 汉庭必须十二点退房 总之值得推荐的酒店', '短评打分': 5}
{'短评内容': '环境不错！有电脑，床很软，就是离城太远！逛街不方便。', '短评打分': 5}
{'短评内容': '房间到是还算满意，但是退房的时候超了10分，多收了半天房费，才10分钟，人性话一点，又不是时间长，第一次入住，如果说一句这次超时不收您钱了，欢迎您下次在光临，是120的半天钱多，还是我每次去塘沽都住你那里多，一月要去7到10，哎，希望贵酒店能人性话一点，又不是晚了个把小时，其实贵酒店别到都挺好，', '短评打分': 3}
{'短评内容': '酒店环境舒适干净', '短评打分': 3}
{'短评内容': '住的挺好，屋子也很干净，就是一次性拖鞋和普通的矿泉水是收费的，酒店应该免费才对，其实值不了多少钱，反而会因小失大，请酒店的管理人员考虑一下。\n房间里的台式机设置的电视功能非常不错，值得推广，可以直接在电视上看电脑的屏幕，看大片爽死了。', '短评打分': 5}
{'短评内容': '感觉挺好的，挺舒服的，就是没有免费提供一次性拖鞋', '短评打分': 5}
{'短评内容': '房间很有特色 并配备电脑 而且还覆盖无线网络房间里 网速很快 价格很优惠 比较值得推荐的酒店', '短评打分': 5}
{'短评内容': '酒店的装饰风格很独特 房间很大 酒店旁边有个红蜡烛餐厅是24小时营业 十分方便 酒店不足之处就是楼层每层房间较多 且楼层结果较复杂不太好找房间 前台业务水平稍差待提高 总体来说还是不错的', '短评打分': 5}
{'短评内容': '电脑晚上的网速特别的慢，估计都是情侣在看片，电脑显示器可以转换到电视上看片特别方便，下次我也带妞去', '短评打分': 5}
{'短评内容': '服务态度很好，但是硬件实在是，尤其房间内没有一次性拖鞋，一次性拖鞋是收费的。免费找半天也没找到。千万不推荐大家住无窗的，因为淋浴间很小很小，并且是平行的，不是一体淋浴，里面洗完澡都是水，必须一直开着排风扇。电脑网速很快，但是，切记但是，很多很多网站都是打不开的。', '短评打分': 1}
{'短评内容': '设施比较新比较全，每个房间都带电脑，圆床很舒服，没有窗户的房间住起来不太舒服，晚上必须一致开着排风扇', '短评打分': 5}
{'短评内容': '很不错，和土豆住了两天大圆床房，房间很温馨，很有情调，非常适合情侣入住。', '短评打分': 3}
