{'短评内容': '好，很舒服，不错', '短评打分': 5}
{'短评内容': '环境不错，性价比较高。', '短评打分': 4}
{'短评内容': '早餐不如以前的汉庭，周边应该是朱泾的中心地段，但房间实在不行窗户有朝街的也有朝天井的，我基本提前一个月订的房间，还是给的朝天井的，感觉实在不好！', '短评打分': 4}
{'短评内容': '和家人一起住，开了3间房。我住商务房，面朝大街，所以没有霉味。有里外两间，外间是客厅，有沙发，茶几，面积是大的。', '短评打分': 4}
{'短评内容': '酒店位置还算镇上中心，在寺后面，下午去，停车位都没有，晚上去肯定会有位子。几年来连住好多次了，酒店今年换名称了，其实配置一样，感觉越来越低档了。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '装修不算差', '短评打分': 4}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '位置的话还挺方便的算是金山最热闹的地方了 不过设施还是比较一般 空调基本没什么作用 房间内因为是地板也比较脏 房间尽管不小但是有些设备没有比如冰箱之类的 从性价比来说还算是可以了 ', '短评打分': 4}
{'短评内容': '帮朋友预定的。环境还不错，停车也相对方便。来住过好几次了。周围吃饭，逛街都很方便。晚上，周围吃夜宵的地方也多', '短评打分': 5}
{'短评内容': '还OK拉，反正很对得起这个价钱，实惠方便', '短评打分': 4}
{'短评内容': '在家里面都会在一起了？我是你是个别的哥哥们儿在于自己怎么这么', '短评打分': 5}
{'短评内容': '整洁，舒适，交通便利，服务态度好', '短评打分': 5}
{'短评内容': '停车场方便，安静清洁   很方便的住宿环境', '短评打分': 5}
{'短评内容': '房间超级大，床业超级大，周边有不少吃的，早饭只能管饱，不能管好', '短评打分': 4}
{'短评内容': '环境舒适 卫生整洁 服务周到', '短评打分': 5}
{'短评内容': ' : 不好.我订了3个房间2间有问题.1间网线坏的.另外一间电水壶坏.顶灯坏.淋浴房门关不上.真是无语', '短评打分': 3}
{'短评内容': '房间很干净，因为是特价大床房，无窗户，所以里面有点闷，隔音不太好。', '短评打分': 5}
{'短评内容': '房间比较大，性价比很高。位置在镇中心，交通方便，离汽车站步行10分钟左右', '短评打分': 5}
{'短评内容': '在朱泾是比较好的酒店了，出差住1-2个晚上还是可以的', '短评打分': 5}
{'短评内容': '环境不错，卫生干净，最好的是上网很快，不足是IPTV电视盒不能用，白天楼下有点吵。', '短评打分': 4}
{'短评内容': '房间里没有吃的，其他还好，2010年的，很新，很舒服', '短评打分': 5}
{'短评内容': ' 酒店还是蛮干净的就是特价房闷了那么一点不过环境还不错。', '短评打分': 3}
{'短评内容': '酒店上面在装修，很吵，前台服务态度也很差，很失望！', '短评打分': 3}
{'短评内容': '挺好的，上网也蛮快的，很干净不错。\n挺宽敞的，服务也很好', '短评打分': 5}
{'短评内容': '特价大床房床挺大，挺干净，只有有线网络没有无线网络。', '短评打分': 5}
