{'短评内容': '还行，有早餐，老板人挺好的。', '短评打分': 3}
{'短评内容': '停车的位置不多，房间干净整洁，离古城也不远', '短评打分': 4}
{'短评内容': '地方安静，房间干净，24小时热水，无线网。觉得比古城里的客栈优惠，性价比高。且老板接送去古城。很热情！', '短评打分': 5}
{'短评内容': '老板很热心，很体贴，服务很好，一定介绍给朋友们，点个赞！', '短评打分': 4}
{'短评内容': '服务很好，下车了老板来接我们回宾馆，晚上逛完古城也会来接我们，挺方便。宾馆周围很安静，室内设备挺齐全，wifi空调电视等等也齐全。室内有独立卫生间热水，洗漱用品也很齐全。', '短评打分': 4}
{'短评内容': '服务很好，从火车站出来了就用车来接我们，房间干净，宾馆周围也很安静。老板给我们一些平遥古城游览的中肯建议，避免了很多弯路。', '短评打分': 4}
{'短评内容': '老板很热情，房间干净整洁，很满意', '短评打分': 5}
{'短评内容': '服务态度非常好，老板非常热情，车接车送还帮忙买又见平遥的票，看完都晚上十点了还去接我们，非常感谢。', '短评打分': 4}
{'短评内容': '环境不错，很安静，老板人很好，还给了古城地图并细心的讲解', '短评打分': 5}
{'短评内容': '还不错，老板很热情～', '短评打分': 5}
{'短评内容': '十一当天入住，老板很热情，环境也挺好，假期的价格很算合理，离古城南门步行15分钟。出门就是很多饭馆，总体来说很不错。', '短评打分': 5}
{'短评内容': '老板很热情，待人诚恳！以后有机会还会来！', '短评打分': 5}
