{'短评内容': '京东酒店的服务还是蛮不错的，下单方便也便宜。', '短评打分': 5}
{'短评内容': '距离使馆很近，交通方便', '短评打分': 3}
{'短评内容': '干净整洁，签证太方便啦', '短评打分': 5}
{'短评内容': '环境不错挺安静的！服务也不错！有专门的停车场！适合带孩子！楼下有花钱的早餐！环境也不错！一次不错的住宿！为如家酒店点赞', '短评打分': 4}
{'短评内容': '环境不错挺安静的！服务也不错！有专门的停车场！适合带孩子！楼下有花钱的早餐！环境也不错！一次不错的住宿！为如家酒店点赞', '短评打分': 4}
{'短评内容': '美国大使馆面签选择入住，位置极佳，干净，一楼隔壁就是粥屋，地铁站东北角出口很容易找到，不会绕远～', '短评打分': 5}
{'短评内容': '好极了', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '不错，交通方便快捷，地理位置好', '短评打分': 5}
{'短评内容': '不想多说 其实都心知肚明 没有意见可提 提了也白提 一直这样下去吧 差评一定越来越多 拭目以待', '短评打分': 1}
{'短评内容': '到北京签证的时候住的，离地铁和使馆都很近，周围说不上繁华，吃饭的地方挺多的，外观没有拍照，内景跟酒店介绍图片相符，入住以后跟朋友聊天时拍的一个小细节，净水器不错，可见酒店做的很用心，上传吧。总得来说，挺满意的，如果朋友来，也会推荐的', '短评打分': 4}
{'短评内容': '位置特别便利，出门就是超市，离地铁站近，出行很方便。酒店卫生环境干净，服务态度也不错。在北京这样子是很赞的了。价格也还公道。建议入住。', '短评打分': 4}
{'短评内容': '位置特别便利，出门就是超市，离地铁站近，出行很方便。酒店卫生环境干净，服务态度也不错。在北京这样子是很赞的了。价格也还公道。建议入住。', '短评打分': 4}
{'短评内容': '交通方便，环境好。', '短评打分': 5}
{'短评内容': '不错吧！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '还可以吧！多次住了，这次住的是正价房感觉装修好一点，结构都一样', '短评打分': 5}
{'短评内容': '酒店位置就在美韩使馆边上 距离地铁距离也还不远 房间有点小了 服务还不错 早餐需要另外花钱一楼外包每人35元', '短评打分': 5}
