{'descr': '非常差 ，墙都发霉了 极不推荐入住此店 卫生非常差  墙上很多污渍 你懂得', 'star': 1}
{'descr': '酒店不错，地理位置好。', 'star': 5}
{'descr': '位置非常好，但条件一般，环境一般', 'star': 3}
{'descr': '还好吧，帮朋友定的，虽然是地下型的，不过在帝都中心，这样的性价比已经很高了，赞', 'star': 5}
{'descr': '周边环境很好，交通方便，各种特色美食全都有。酒店服务态度好，提供了出游指导，旅游地图，免费保管行李，真的方便，省心多了！', 'star': 4}
{'descr': '环境一般', 'star': 1}
{'descr': '很方便，客服也很热情，还有送京豆', 'star': 5}
{'descr': '搞忘了，好像不是我去住的，这个价格估计也好不到哪儿去', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '订房快，很方便，以后还会用的', 'star': 5}
{'descr': '订购成功以后，店家打电话说房间有问题。让撤单！', 'star': 1}
{'descr': '。。。。？？。。。。？？？？', 'star': 4}
{'descr': '货真价实超级给力送货速度真心快！！', 'star': 5}
{'descr': '挺好的 比较便捷 干净', 'star': 5}
{'descr': '不错不错不错不错不错不错', 'star': 5}
{'descr': '这个服务不错，可以24小时值守定合适的酒店，快，方便，让人省心，下次还用它。', 'star': 5}
{'descr': 'la机中的战斗鸡。京东这样的商家也合作，真是无语。这酒店脏乱差，还要两百多。', 'star': 1}
{'descr': '酒店出地铁站，走几步，就到了，价钱便宜，环境不错，卫生整洁，服务态度很好。下次还会再去', 'star': 5}
{'descr': '不错不错不错bucuo', 'star': 5}
{'descr': '很不错的东西，蛮喜欢的。很适合。大爱京东！！！一如既往的支持!', 'star': 5}
{'descr': '很不错的东西，蛮喜欢的。很适合。大爱京东！！！一如既往的支持!', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '入住还是要交押金100。退房还要检查的。比起飞猪感觉不够方便。而且特价房都是地下室的。一分钱一分货吧。', 'star': 4}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '设施有点旧，但是很整齐，虽然住的地下室，但是通风很好，而且很明亮！地理位置也很方便，建议居住', 'star': 5}
{'descr': '酒店位置很好找，从地铁7号线珠市口站A口出来就能方便找到。从酒店到前门，天安门，大栅栏等地方都很方便。周边吃饭也很方便，老字号很多。', 'star': 5}
{'descr': '地点很方便', 'star': 5}
{'descr': '第一感觉不好，住了一天感觉挺好！！', 'star': 5}
{'descr': '挺好的，环境都不错', 'star': 5}
{'descr': '前门这里比较实惠的酒店了，离天安门又近', 'star': 4}
{'descr': '带老妈来玩住了十天，感觉不错，吃饭出行都很方便。下次来还住这里。', 'star': 4}
{'descr': '位置挺好的，就在前门步行街隔壁几米的美食街里面，旁边有7号和2号地铁站，7号地铁更近一些，去天安门那边比较方便，吃的多，玩的也方便，但是唯一的不好的就是酒店的无线上网很不好，我们住5楼都基本连不上线，希望在这方便能改进，是目前入住宾馆住的最差的无线上网了。', 'star': 5}
{'descr': '还好', 'star': 3}
{'descr': '位置很好找，就在前门大街，逛街很近，也很干净。', 'star': 5}
{'descr': '酒店不错，房间比我想象中的要大，虽然是地下室，但是基本没有感觉到潮湿，周边购物早餐都很方便，除了地铁站稍远点。房间空间还是很大的，设施也齐备。酒店桌子稍显小了，貌似只能是电脑桌，行李啥的只有放床上或者地下了。虽然是双床间，但是床的尺寸也足够大了，比一米宽的强多了。', 'star': 5}
{'descr': '就在前门商业街里面的胡同里面，价格便宜，挺干净的，很方便出行。唯一不是太好的就是没有窗户。', 'star': 4}
{'descr': '前门大街靠近珠市口大街，有个农行自助银行，斜对面的小道穿进去，就找到了~~', 'star': 4}
{'descr': '没去过北京在网上订的，去了以后现场发现还有很多比这好的酒店，价格也不贵！', 'star': 5}
{'descr': '房间还可以，关键是地方很不错！ 公交站地铁站都很近！  每天都可以逛前门大街！ ', 'star': 5}
{'descr': '住速8真方便。', 'star': 3}
{'descr': '交通便捷服务态度很好离天安门很近旅游好落脚点', 'star': 3}
{'descr': '住了4天，酒店装修一般，有点旧了，电脑也没有，还得自带电脑，其他的还好。', 'star': 5}
{'descr': '房间卫生不行，异味特别重。本人入后要求更换，结果换了一间正对胡同女厕所的房间，后来极力要求下才免强更换。', 'star': 1}
{'descr': '2楼味道大，湿度大，叫换房，第一天竟然没给我换还说我给迟卡了早上7点我就给卡了，前一天晚上就叫换的，结果说我卡给迟了，还是发火了，他们老板看到了叫换才换。', 'star': 1}
{'descr': '不能住二楼，味道太大。叫换房间不知道什么原因就是没换。', 'star': 1}
{'descr': '距离天安门近，环境可以，就是贵了些。短期住一下还值\n', 'star': 5}
{'descr': '房间空气不是太好，但还算干净，地理位置很好。', 'star': 5}
{'descr': '酒店位置挺不错的，在地下有点潮，空气不是很清新，还算比较的干净', 'star': 5}
{'descr': '酒店条件太差，200多住地下室。。。。。', 'star': 1}
{'descr': '唯一不满意的是订的是带窗户的房间，结果不是按我订的安排的，希望以后提高服务质量吧。', 'star': 5}
{'descr': '房间还不错，交通也便利。唯一美中不足的就是顶的其中一间房的窗户关不上!', 'star': 5}
{'descr': '总想扣掉押金 这样要扣钱 那样要扣钱的。挺不舒服的。', 'star': 1}
{'descr': '定的特惠房，无窗，地下室，卫生还可以、就是很潮，需要是位置很方便、性价比算可以的', 'star': 3}
{'descr': '虽然我点了推荐，但有两个小问题，一是我来之前在网上选的房，到了却没有了，还好给我换了别的户型，也没什么，但为什么不守信，这其实也不是小问题。还有我最后一天忘记拿回押金了，酒店也没提醒我，我让北京的朋友帮我去取了。房间还是不错，没有特别差的地方，但离公交站很远。能住在前门，也是不错的，周围热闹好玩，将来附近在新修一条地铁，估计修好之后这个酒店就好了。反正这个价位还是值得了', 'star': 5}
{'descr': '周边虽然饭店多，但不便宜，也不卫生，也不好吃，可能北京前门就这样，酒店的卫生还可以，性价比一般吧', 'star': 5}
{'descr': '基本卫生，但没有想象中好，比差的要好，相信也有更好的，主要是体验一下住前门的感觉', 'star': 5}
