{'短评内容': '必须满分', '短评打分': 5}
{'短评内容': '老板非常热情', '短评打分': 5}
{'短评内容': '住了三天同样的房间，床单被罩都是一样的花纹，掀开被子看床单上还有头发，不是新换的，内心非常膈应，但是老板比较好，也就那样了', '短评打分': 5}
{'短评内容': '住了好几天，环境不错。但是连续住两天的时候第二天居然都不给打扫房间', '短评打分': 5}
{'短评内容': '小老板很用心经营客栈的花花草草，非常有味道，住过这么多客栈，头一次有想续住的感觉，院子里还有鱼和摇椅噢', '短评打分': 5}
{'短评内容': '非常棒的一家客栈！在束河古镇里，距离北门不远。客栈装修很漂亮，房间布置更是温馨！入住的感觉超级温暖，卫生很好，房间干净，睡到自然醒非常舒服！最喜欢房间里的日式榻榻米的装饰，感觉很有爱！提前一点打电话到客栈，是客栈管家接的，因为独自旅行，客栈管家还专门到北门来接我。管家是个90后帅哥！也是广东的，晚上带我逛束河古镇，在客栈内喝茶聊天，很想在这里住上一个月哈哈', '短评打分': 5}
{'短评内容': '首先澄清一下，酒店的位置、房间设计、卫生都不错，奈何携程没有一个总的评价，所以只能牺牲这些项目的评价了。为什么打这么低分，因为遭遇了第一次半夜撬门。。。凌晨五点，睡梦中听到门在响，而且声音越来越大。在被吵醒后，惊慌中才明白到有人在撬门。第一次在异地遇到这样的事情。因为带着老婆出行，而当晚客栈只有两间房有人入住，担心安全问题。我大声咳嗽并亮起灯。。。庆幸的是在此之后，撬门没有继续。打电话给店家，店家', '短评打分': 2}
{'短评内容': '价格实惠。环境很美，地理位置刚好，服务也很棒，赞', '短评打分': 5}
{'短评内容': '客栈很漂亮，老板人也很好哦，给了我很大帮助，又是问吃的，又是加枕头的等等，也不嫌麻烦。总之是次很好的住宿。', '短评打分': 5}
{'短评内容': '两位帅哥老板人特好，到店后免费给我们升级为蜜月房，帮我们提行李，晚归还特意电话询问，房间宽敞漂亮。客栈周边环境也漂亮，下次来还选择这家。束河古镇比大研古镇好多啦，风景又漂亮，人也不会那么多，消费也实惠。', '短评打分': 5}
{'短评内容': '环境还可以，总体还行吧！！！！', '短评打分': 2}
{'短评内容': '不错，吃的方便，美丽！老板好！方便交通！', '短评打分': 3}
{'短评内容': '环境卫生好 老板娘很热情', '短评打分': 5}
{'短评内容': '客栈清静，老板热情，房间很个性化哦！大落地窗，巴士！', '短评打分': 5}
{'短评内容': '房间都不错哦，环境也很好', '短评打分': 3}
