{'短评内容': '不错 干净卫生', '短评打分': 5}
{'短评内容': '酒店位置很好、很方便，周围吃的也挺多，房间还算整洁，对面就是好又多超市，旁边水果、小吃都挺多，房间有小小霉味，可能是近期雨水天气造成的', '短评打分': 4}
{'短评内容': '附近景点房间的床有点小，其他还不错', '短评打分': 5}
{'短评内容': '酒店真心很冷，晚上空调只有制冷没有制热，而且冲凉的水也很冷，整体来说我只能给3分，已经算是很高的了。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境差非常差，和价格不符合', '短评打分': 3}
{'短评内容': '房间设施比较陈旧，吃饭和交通很方便。', '短评打分': 3}
{'短评内容': '还可以，房间有点小，其他的不错。', '短评打分': 5}
{'短评内容': '家门口方便，来了客人临时住还行。', '短评打分': 3}
{'短评内容': '还行吧，只是坑爹的，我住了两晚，给我返了一晚的现金，前台是个蠢货', '短评打分': 3}
{'短评内容': '环境交通都可以', '短评打分': 3}
