{'descr': '不错，方便', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '没有免费停车场', 'star': 5}
{'descr': '地理位置好', 'star': 4}
{'descr': '差评，严重不符合图片。', 'star': 1}
{'descr': '货真价实  很愉快的一次购物 希望店家生意兴隆', 'star': 5}
{'descr': '有点小 然后还没有窗户 主要五一没有房了 不是很推荐 老板人不错', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好好好，非常好好好好好好好好', 'star': 5}
{'descr': '酒店很好 每次都会住 而且服务态度非常不错  也不贵 早餐也是非常的丰盛 而且地理位置又正好在路口打车出行都非常方便', 'star': 5}
{'descr': '环境优美，地理位置好，交通方便，房间舒适卫生，服务人员很热情，乐于提供各种帮助，早餐丰富。设施很人性化，网络高速信号好，窗外风景好。有特别的开床服务，房间小摆件的设计也很有特色。性价比不错，下次还要入住', 'star': 5}
{'descr': '挺好的，还不错', 'star': 4}
{'descr': '还不错便宜', 'star': 4}
{'descr': '还可以，价位比周边的便宜一些，交通，饮食都方便，楼下还有个大的苏果超市，买什么都挺方便，就是房间装饰有点成就，不过前台的小姑娘很漂亮很可爱的。', 'star': 5}
{'descr': '前台服务态度较差，房间设施较差', 'star': 3}
{'descr': '位置很好，周围很方便，房间很大，但设施比较陈旧了。', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '房间的环境和设施都不行！', 'star': 3}
{'descr': '非常好哈老板娘人也很好哦。', 'star': 5}
{'descr': '没有正式发票，条件也比较差，卫生状况也不满意\n\n', 'star': 1}
{'descr': '酒店位置还算不错，周围有大小饭店、KFC、苏果超市等等。\n\n说几点不足的：\n1、隔音效果不好\n2、有一块浴巾上有鼻涕渣\n3、马桶的O型圈上有明显的尿渍\n4、早餐（一碗米饭+一根油条+一个鸡蛋+一碟咸菜）确实有点太简陋了\n\n希望店家改善，不然很难和莫泰、如家、七天等竞争。\n', 'star': 1}
{'descr': '门口单行道不方便', 'star': 3}
{'descr': '环境很好', 'star': 3}
