{'短评内容': '早餐非常好，还有停车场', '短评打分': 5}
{'短评内容': '非常好，很干净，交通便利，环境也不错', '短评打分': 5}
{'短评内容': '商务还行', '短评打分': 3}
{'短评内容': '早餐挺好，环境尚可', '短评打分': 5}
{'短评内容': '有停车场，卫生还可以，周边环境一般，吃饭比较方便', '短评打分': 3}
{'短评内容': '不错 赶上下雨 屋子里特别凉快', '短评打分': 5}
{'短评内容': '还可以就是人少', '短评打分': 5}
{'短评内容': '经常住、第一次用白条、很方便！', '短评打分': 5}
{'短评内容': '住了很多次了，肯定是满意才继续住的，哈哈！环境不错，价格也合理，暖气有点热，主要还是不太习惯那边的气候吧。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错，早餐好。服务态度有待提高', '短评打分': 4}
{'短评内容': '周边全是饭店 酒店设施有点老旧 其他都不错 服务也可以 这个价格也可以了              ', '短评打分': 5}
{'短评内容': '西站乘坐高铁很方便，周边有餐饮、超市，出行也很便捷，酒店比较老，房间卫生一般，主要是马桶没有洗刷干净。很是别扭！', '短评打分': 3}
{'短评内容': '酒店周边交通比较方便，早餐也比较丰盛，感觉房间内设施旧了点，而且隔音效果不好，房门周围缝比较大', '短评打分': 4}
{'短评内容': '早餐不错，应该含两个人的就好了', '短评打分': 5}
{'短评内容': '服务太一般，硬件???哎!网速那叫一个慢，几乎为零，您要有正事最好别住，邮件接发都困难，太!', '短评打分': 4}
{'短评内容': '有点贵，卫生不错。餐饮还可以。', '短评打分': 4}
{'短评内容': '酒店比较干净，性价比好，交通比较便利，下次还入住', '短评打分': 5}
{'短评内容': '很不错啊，比想像的要好很多，干净，早餐也不错了。', '短评打分': 5}
{'短评内容': '需要对服务员进行严格培训，态度忒差。房间设施方面也还算可以，周边不远处有一个大超市。不过，出门不好打车。', '短评打分': 5}
{'短评内容': '很不错的酒店，推荐！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '离火车站很近，交通很方便！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好的酒店，离火车站比较近，交通很方便！！！！！！！！！', '短评打分': 5}
{'短评内容': '我去长春的时候就住的这家酒店，性价比很高，经济实惠，早餐很不错！', '短评打分': 5}
{'短评内容': '房间很干净，设施和用品很新，交通也方便，总之，很满意，尤其是女儿很满意，表示每次来探亲都这儿。', '短评打分': 3}
{'短评内容': '性价比不是很高，和100多元的经济型酒店没啥区别', '短评打分': 1}
{'短评内容': '一个字：不爽一个字：不爽一个字：不爽一个字：不爽一个字：不爽', '短评打分': 1}
{'短评内容': '朋友已经习惯住这了。物美价钱还不贵。不要涨价就好。以前要比这便宜。', '短评打分': 5}
{'短评内容': '酒店设施很新，感觉是个全新的酒店，服务也很周到，总体感觉不错！长春的雪下的好大，头一次看到雪很高兴，很兴奋！', '短评打分': 5}
{'短评内容': '同事给推荐的酒店，非常不错~住的很舒心！', '短评打分': 5}
{'短评内容': '朋友给介绍的酒店，确实不错。给人的感觉很温馨，很舒适，服务也很周到，下回还来！', '短评打分': 5}
{'短评内容': '到大众办事非常方便的酒店，离着很近。酒店环境很好，很舒适。下回还会来', '短评打分': 5}
{'短评内容': '头一次来长春，朋友给订的酒店，感觉很好，设施什么的都很新。', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，是一家很干净很舒适的酒店，值得推荐！', '短评打分': 5}
{'短评内容': '头一次入住这个酒店，感觉酒店很新，床单什么的感觉都是新的，非常干净！楼层的服务员也非常好，非常耐心的帮我设置好了电脑的IP。做了一天的飞机，非常累，靠小区这边的房间很安静，睡的很好，非常满意！', '短评打分': 5}
{'短评内容': '酒店环境很好，离一汽也很近，来回办事非常方便！之前自己过的来的时候就住过一次，可能是酒店刚开没多久的原因吧，服务没怎么跟上。这回来了之后有很大的改善，非常满意，希望能继续保持！', '短评打分': 5}
{'短评内容': '该酒店每天基本接待的都是团组和会议，对我们这些从网上订单的散客，根本不怎么理会，态度很不好，而且也不能向其他客人哪样14点退房，必须12点就退房。', '短评打分': 1}
{'短评内容': '酒店很不错，地理位置很好，交通很方便，早餐也还可以', '短评打分': 5}
{'短评内容': '在这家酒店住过几次了，都不满意，但为什么住，主要是客户都集中在这，且周围没太多可选择的。首先，管理混乱，其次前台水平太差，办个入住至少5分钟，包括退房，所有办手续的客户都在叹气', '短评打分': 1}
{'短评内容': '帮朋友定的，朋友住过几次了，他超喜欢。挺好的。', '短评打分': 5}
{'短评内容': ' 很干净，房价很大，服务不错。。。交通还可以', '短评打分': 5}
{'短评内容': '酒店环境不错，前台服务不错。房间很宽敞，干净，满意。', '短评打分': 5}
{'短评内容': '环境非常好,房间很宽敞,干净,服务也很好,周边交通比较方便!', '短评打分': 5}
{'短评内容': '非常感谢亿龙客服为我协调酒店，额外加了床，解决了一家三口入住；酒店的设施和服务让人非常满意，有机会到长春还会入住。', '短评打分': 3}
{'短评内容': '前台接待先是说没房间了。我就说我是亿龙定的。我中午接近12点到的，竟然说没有房。我就怒了。她查了半天后又说有房间了。我就告诉她，正常情况下。你酒店没有标注必须下午2点后有房，都该给我房间，这个国际酒店惯例，如果你没有房间，就该自动升级高一级别房间。可人家就是爱理不理的。\n这个酒店在绿园区，估计接待很多都是政府会议，所以根本不在乎散客。\n另外酒店的床单不干净，我皮肤比较敏感，住了2天，第1天身上就起', '短评打分': 1}
{'短评内容': '很好的酒店 我一直在这里住，就是服务一般，总体来说还好', '短评打分': 5}
{'短评内容': '性价比很高的酒店，早餐很丰富，值得推荐。', '短评打分': 5}
{'短评内容': '离要去的地方很近，这个价格算是很不错得酒店。', '短评打分': 5}
{'短评内容': '酒店很好 ，很新。物美价廉。早餐也可以。这个价很值。', '短评打分': 5}
{'短评内容': '房间很宽敞，设施也很新很不错，可是前台的服务不怎么样，一直也没见到笑容，速度也比较慢。总的来说还可以。', '短评打分': 3}
{'短评内容': '很差的酒店，实在愧对4星等级。房间是大，但很多都是浪费的面积，没有意思；早餐也很简陋，另外，因有事跟前台协商1点退房，结果告诉我电脑会在12点自动跳账的，没法延时，人脑难道真的不如电脑啦？？？', '短评打分': 1}
{'短评内容': '性价比不错，说不上很好，也不差，总体还行吧', '短评打分': 5}
{'短评内容': '酒店房间设施比较心，价格还可以，位置有点篇，前台服务有待提高。', '短评打分': 5}
{'短评内容': '住的是标间，房间很干净，卫生间、地板等都很干净舒服。而且价格很核算。', '短评打分': 5}
{'短评内容': '房间宽敞,硬件条件不错', '短评打分': 3}
{'短评内容': '谢谢，这里环境不错', '短评打分': 3}
{'短评内容': '该酒店环境好 服务态度非常好。。。。。。。 ', '短评打分': 5}
{'短评内容': '酒店整体设施不错，都比较新，环境也还可以。就是大床房太贵，床单有点不太干净，其他方面都相当满意，房间很大，温度舒适。', '短评打分': 5}
