{'短评内容': '地方出行很方便，价格实惠，下次再来。', '短评打分': 5}
{'短评内容': '很棒喔', '短评打分': 5}
{'短评内容': '最温馨的是，房间尽然有洗衣机……', '短评打分': 5}
{'短评内容': '酒店真的一般，没图上那么好', '短评打分': 4}
{'短评内容': '还可以，老板人挺好，住二楼也不潮湿。房间小了点，但是性价比挺高。楼下有烤肉和麻辣烫，出门公交站方便着呢', '短评打分': 5}
{'短评内容': '位置好，离历史博物馆和大雁塔都近，这两个景点，我们都是走路去的。房间设施还好，就是未提前告知电费另算（服务台上有写，我们未看到。我个人认为老板应该提前知会一下，毕竟另收电费的旅店好少。这是我遇到的第一家。房间不是取卡自动断电的。下午，我跟孩子去参观博物馆，老公一人在房间休息，他晚上出门时电视空调都没关，浪费了电，我们也交了不少电费。） 服务态度好。', '短评打分': 4}
{'短评内容': '这是一家公寓酒店，出行还挺方便，有小寨地铁，有公交车站。购物也很方便，旁边就是海港城，还有大超市，有几家美食城。电费是自理的。', '短评打分': 4}
{'短评内容': '房间挺好的，设备也齐全，最主要的是有wifi。每次都去他们家，好评好评。', '短评打分': 5}
{'短评内容': '位置挺好的，交通挺方便的。。。', '短评打分': 5}
{'短评内容': '环境特别好，是楼上最好的，转了好多家选择这家，干净卫生，服务态度好，老板很热情，很好。下次还来住这里', '短评打分': 5}
{'短评内容': '价格合理，地暖很不错，环境不错', '短评打分': 5}
{'短评内容': '环境挺好 服务也可以  房间挺干净的 床睡着也比较舒服', '短评打分': 5}
{'短评内容': '房间卫生很差。服务员像个白痴一样什么都不懂。而且态度非常不好。总之没有一处值得再去的地方', '短评打分': 1}
{'短评内容': '总体还是不错的，房间很大，卫生间比图片上看起来大些，本来是订标间，但是我的同伴没能一起入住，于是就换了单间，单间也是大床间，大床间很大，床也很大，我一个人住有些浪费空间，而且和标间的价格也一样。一个人住有些划不来，如果能有一个人住又不浪费空间的房间就好了，住了两天花了300的房费（加了半天），电费用了20元。不过比起其他酒店，这个酒店的价格算是便宜的了。另外，西旅国际大楼的电梯真是让人等到吐血~', '短评打分': 5}
{'短评内容': '地段很不错。在市中心。不过去东线景点和西安周边县城的景点略远。去市区的景点很方便，大雁塔、历史博物馆、大唐不夜城……如果高兴，可以步行的~门口公交很多。坐到哪的基本都有。最多也就转一班车。\n环境还行。是公寓式的。有电脑及网络。没有无线（至少我没找到）。有一间小厨房。但是煤气没通，用不了。\n连住几天，不像一般的连锁快捷酒店，不会每天给你打扫卫生，换毛巾浴巾，拿新的沐浴液洗发水卫生纸 。我们自己带的有', '短评打分': 5}
