{'短评内容': '舒服、环境不错', '短评打分': 5}
{'短评内容': '服务好，设施齐全', '短评打分': 5}
{'短评内容': '酒店位于成都太古里附近，房间面积大，有洗衣机。周围很繁华，有小龙坎，大龙焱，好多购物中心，离成都东站也很近。', '短评打分': 5}
{'短评内容': '很满意！超值', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '暂住四天，很不错！位置不错，太古里丶春熙路很近，值得推荐！', '短评打分': 5}
{'短评内容': '3966feea45608901dd8a6ac0f45ca55ec6eb73bc3fd047889f772fad35306a5f', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '老顾客了……一切都如常！', '短评打分': 4}
{'短评内容': '很不错性价比高  干净', '短评打分': 5}
{'短评内容': '在这酒店住过好几次了，环境不错，离红星路也特别近，赶地铁只需要走十分钟左右。不错的选择，下次还回来。', '短评打分': 5}
{'短评内容': '价格实惠，在携程网上订房间也特别方便，离红星路只有几百米远，确实很方便。每次都是到店付，下次还选这酒店。', '短评打分': 5}
{'短评内容': '经常住花城 要求不高的话 还行 正常的公寓酒店', '短评打分': 5}
{'短评内容': '有点旧，总体性价比还可以', '短评打分': 4}
{'短评内容': '很棒很棒！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '感觉还可以，看我这个房型不是应该有120元茶叶礼包吗？怎么没给我？', '短评打分': 4}
{'短评内容': '酒店还是相当不错的，地理位置也相当的好，到太古里只需过个马路', '短评打分': 5}
{'短评内容': '位置不错。。去哪里都近。。环境方面也不错，就是这一栋大厦里很多同类型的酒店。几乎都是外地来旅游的人！', '短评打分': 5}
{'短评内容': '位置很棒，房间也很舒适很棒，值得入住', '短评打分': 3}
{'短评内容': '說是全景房，確實是全景，但是和照片出入較大，裝修很糙，十分潮濕，窗戶還關不嚴，衛生間是開放式的。上下樓要躲避高峰時間，由於是寫字樓式公寓，樓內辦公人員較多 ', '短评打分': 1}
{'短评内容': '房间里的设置还不错，但我不习惯家庭式的酒店,何况还不能刷卡', '短评打分': 1}
{'短评内容': '还不错，地方好找，卫生也不错，下次还会去', '短评打分': 5}
{'短评内容': '楼层安排的可以，房间比较大，热水供应不足，洗澡很快就冷了，就是地毯旧了点！', '短评打分': 5}
{'短评内容': '停车很贵！一晚上五六十，位置不错，床很大', '短评打分': 5}
{'短评内容': '非常好的酒店，下次还会选择他们家', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，离春熙路步行几分钟，楼下的公交车站有直接到达宽窄巷、青羊宫、杜甫草堂及锦里的公交车。门在农行与小超市之间比较隐蔽。前台服务热情。房间比较有家的感觉，室内配有洗衣机、微波炉、电磁炉、灶具等，适合家庭出行选择。另外，我住的房间有WIFI，网速还不错。整体感觉方便、经济实惠。提一点小建议：1、希望提高一些房间的洁净程度，例如：地面、水池。2、卫生用品可以再提高一点品质。', '短评打分': 5}
{'短评内容': '方便实用的公寓，自己弄点吃的很舒服，装修很时尚。', '短评打分': 5}
{'短评内容': '很好，会再来。推荐大家去', '短评打分': 3}
{'短评内容': '这个酒店位于一栋大厦里面，大厦门口并没有挂牌，驴友找到标有“趣园”的大门就到了。大门左手是贵阳银行和工商银行，大门右手是烟酒店和WOWO便利店。进去直接坐电梯上27楼，2712室是这家酒店的接待处，入住时前台会给房间卡和门禁卡，不能刷卡只能交现金，客房在其他楼层。房间里有厨房，可以自己做饭，不过只有一个电磁炉和不粘锅，炊具和调料都没有。有电热水壶可以烧开水，房间送两瓶矿泉水。像成都这种湿热的天气，', '短评打分': 5}
{'短评内容': '非常不错的酒店，单元很大。', '短评打分': 3}
