{'短评内容': '酒店很干净，不吵，房间不大但设施很齐全', '短评打分': 5}
{'短评内容': '床还挺大的呢！位置好。马路边上。', '短评打分': 5}
{'短评内容': '有停车场的', '短评打分': 5}
{'短评内容': '位置不错，五一大道，什么都挺方便，', '短评打分': 5}
{'短评内容': '酒店地理位置不错，房间很也干净，就是在马路边上，比较闹，附近有几家比较好的饭店。总的来说性价比还是不错的。', '短评打分': 5}
{'短评内容': '环境好！服务好', '短评打分': 5}
{'短评内容': '环境不错  服务态度不错', '短评打分': 5}
{'短评内容': '不错，还来汉庭', '短评打分': 5}
{'短评内容': '房间大小还行，也比较干净，让人不满意的就是空调制热太差哒！整个晚上我身上没热过。真要改造下才行了！', '短评打分': 5}
{'短评内容': '酒店的房间比较大，设备也比较全，总体感觉不错，', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 4}
{'短评内容': '房间挺干净的，位置也挺好，一次性用品都有，在马路边，有点吵，其它还好，住了三天还不错，', '短评打分': 4}
{'短评内容': '市中心，交通方便，卫生也可以。就是临街，晚上有点吵。', '短评打分': 5}
{'短评内容': '很好啊', '短评打分': 5}
{'短评内容': '环境不是太好！感觉一般！', '短评打分': 3}
{'短评内容': '统一便携式连锁酒店的设施。坐车方便，离地铁，机场大巴近', '短评打分': 4}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '房间特别小，而且也不是特别干净，就是服务态度很好。', '短评打分': 4}
{'短评内容': '这快捷酒店也就只能这样了！总体也就一般过的去吧', '短评打分': 4}
{'短评内容': '离火车站方便', '短评打分': 4}
{'短评内容': '房间还算干净，价格也很实惠。地理位置很好离火车站和机场大巴都很近', '短评打分': 5}
{'短评内容': '有无线网不错，但是房间实在太小了！离火车站和机场大巴都挺近！', '短评打分': 5}
{'短评内容': '住的很舒服，蛮安静的，工作人员服务态度好，房间很干净，可以放心的休息，我很满意，下次还来', '短评打分': 3}
{'短评内容': '第二次住了,挺好.下次还住这.\r\n郭红波', '短评打分': 3}
{'短评内容': '环境还可以,服务让人满意,下次还会住的\r\n郭红波', '短评打分': 3}
{'短评内容': '房间还可以，但是楼房整体设计较为粗糙，细节不够重视。', '短评打分': 5}
{'短评内容': '环境好、干净、服务态度很好，向朋友推荐的好酒店。', '短评打分': 5}
{'短评内容': '环境和服务都非常好', '短评打分': 3}
{'短评内容': '位置比较好，离民航酒店比较近。位置比较好，离民航酒店比较近。', '短评打分': 5}
{'短评内容': '总体还不错。就是去的时候找了好久。。就在省公安厅对面很安全哦。', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务态度很好，下次还来这里!', '短评打分': 3}
{'短评内容': ' 大床房很不错。服务态度很好。值得推荐！', '短评打分': 3}
{'短评内容': '我住过不少汉庭，没见过如此令人失望的。', '短评打分': 3}
{'短评内容': '地段什么的都不错。就是描述地址的时候是不是能更详细点。简单的几号，对第一次入住的朋友有点难找。', '短评打分': 5}
{'短评内容': '干净舒适！服务周到。非常好啊。', '短评打分': 3}
{'短评内容': '房间不大，就是矿泉水可以免费喝，洗漱用品和拖鞋都是收费的，因为长沙市政府规定的', '短评打分': 5}
{'短评内容': '节日百元房就是划算，汉庭的设施，旅馆的价格', '短评打分': 5}
{'短评内容': '房间很小，只能摆张床！其他还好，有免费的矿泉水喝', '短评打分': 3}
{'短评内容': '这个酒店离火车站不是特别近，但是环境还行，交通也便利，就是水盆有些漏水，房间卫生间和浴室是分开的，感觉不错。', '短评打分': 3}
{'短评内容': '特价房有窗户，惊喜，干净，隔音好，没有味道，就是刷卡才可以上楼的限制没有了，谁都可以通过电梯上楼，入住和离店都很快', '短评打分': 5}
