{'短评内容': '有停车场，位置很好', '短评打分': 5}
{'短评内容': '装修比较老，性价比算比较高了，早餐比较简单，停车挺方便的，值得一提的是三楼的餐厅，菜的味道不错，价格也不贵，就是太咸了，厨师家里应该是开盐场的吧。', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '外装修挺好的，里面设施太陈旧。电视不能看。卫浴下水不好。 夜里总有足疗女生电话骚扰，影响睡眠质量。 早餐还好啦，餐厅比较小了点儿。', '短评打分': 5}
{'短评内容': '酒店有点老，附近吃饭地方不多，性价比还不错', '短评打分': 4}
{'短评内容': '京东的服务一流，满意！', '短评打分': 5}
{'短评内容': '外观高大上，服务态度也很不错！已经第二次入住啦！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '挺好的。早餐不错，煎蛋是现场做，厨师态度也很好。就是离马路比较近，来往车辆比较多，有点吵。这个价格还行。', '短评打分': 5}
{'短评内容': '早餐不错。', '短评打分': 5}
{'短评内容': '紧临马路，有点吵，早餐不错。', '短评打分': 5}
{'短评内容': '不错，环境很好', '短评打分': 5}
{'短评内容': 'Great, value for money, good breakfast, close to NanShan ski village. ', '短评打分': 5}
{'短评内容': '啥无线网络骗人，用不了，太慢', '短评打分': 2}
{'短评内容': '设施比较老的三星酒店。酒店早餐很不错。荤素肉蛋奶粥面杂粮，都有。', '短评打分': 3}
{'短评内容': 'We stayed for 2 nights as we went skiing at the NanShan Ski Village resort. It was very close and convenient. Just a 10 minute drive away. The breakfast was Chinese and good! I think for the price, it', '短评打分': 5}
{'短评内容': '不说什么了、空调根本不管用。还特别吵。睡到半夜给我们冻醒了。一点兴致都没有了', '短评打分': 4}
{'短评内容': '酒店周边吃饭购物方便，离景区半个小时左右，比较方便', '短评打分': 3}
{'短评内容': '标间，还是不错的。服务员挺细心的，至少比某此酒店要好得多。', '短评打分': 5}
{'短评内容': '不错，已是第二次入住了。饭店前台工作人员服务热情，细致，对老人照顾很好。房间干净，整洁。我么全家都很满意！', '短评打分': 5}
{'短评内容': '房间宽敞，早餐种类还较多，住的人多，去晚了就没了，主要是酒店对面就是密云奥运公园，早晚遛弯休闲逛逛非常好', '短评打分': 5}
{'短评内容': '酒店不错，但服务有待改进。', '短评打分': 3}
{'短评内容': '酒店硬件不错，服务水平一般，因为离南山滑雪场很近，性价比较高，入住时可能是在年前，餐饮难以保证，好在有送餐服务，呵呵', '短评打分': 5}
{'短评内容': '不在市中心，出行和吃饭都不方便，前台服务还挺好的。', '短评打分': 1}
{'短评内容': ',北京文锦世博国际大酒店房间、卫生间大,但灯光不够亮。', '短评打分': 3}
{'短评内容': '酒店设施还是比较新的，还提供浴袍，洗澡水还是很好的，提供早餐不错，下次还会去住的', '短评打分': 5}
{'短评内容': '房间的灯都打开还是感觉很黑，只有台灯，干净程度一般，地毯也很脏，房间电视是坏的，无语，忘了拍照！', '短评打分': 1}
{'短评内容': '十房间干净，空间较大，住9层，视野开阔，设施较新，前台服务热情。值得一住。', '短评打分': 3}
{'短评内容': '不错，房间比较大，也安静，位置还可以，早餐丰盛。', '短评打分': 5}
{'短评内容': '因为地一次到密云，连出租车司机也不晓得怎么走，打电话问竟然没人知道怎么走，到了密云打电话问怎么到饭店还是没人晓得。网络很差一会儿可以上一会儿又掉线。', '短评打分': 1}
{'短评内容': '酒店还可以。', '短评打分': 3}
{'短评内容': '设施用品有点旧了，就餐还是不错的。', '短评打分': 3}
{'短评内容': '还不错的酒店，适合在密云出差的适合入住，离密云水库也不远，早餐也还可以。\n唯一不好的就是本人入住的房间，洗浴的地方不下水。', '短评打分': 5}
{'短评内容': '每次来密云，大多住此酒店，总的感觉是，价格较好，地理位置较佳。但在里面用餐多次，每次上菜都特别慢，很不习惯，不知是否是因人少而已？另外，此次的毛巾，太旧，也有些令人惊异的黄斑，我不敢用，望能多注意，多加改善。', '短评打分': 5}
{'短评内容': '公司的供应商在此酒店附近，所以有出差人员还会入住此酒店', '短评打分': 5}
{'短评内容': '去密云多次，也是经朋友指点才住文锦的，但住过后就没改过，始终感觉性价比蛮高，值得一住，唯一提过几次意见的是上网太困难，但这次没感觉到任何困难，看来已改善了。这样，就更好了。', '短评打分': 5}
{'短评内容': '交通方便，房间干净，性价比高。服务很好。希望自助早餐能够补充食物迅速些，等的时间有点长。总之很好，推荐！', '短评打分': 5}
{'短评内容': '酒店卫生设施不是很好，双人房间床下居然有前面客人穿过的鞋都没有打扫干净。', '短评打分': 5}
{'短评内容': '晚上肯定入住。', '短评打分': 3}
{'短评内容': '环境不错，卫生条件也不错，性价比比较高的酒店。', '短评打分': 5}
{'短评内容': '酒店位置不错，附近就是公园，性价比还算可以。餐饮稍显贵些，服务可以，但遇到有办婚宴的，其他客人吃饭就不方便了。', '短评打分': 5}
{'短评内容': '地理位置较好，服务、早餐一般，但网络联接特别麻烦，每次都要找网管，住了这么多酒店，的确少见，望能简化。', '短评打分': 5}
{'短评内容': '服务有所提升，但上网仍有问题，每次上网都需找网管，感觉太麻烦，住了这么多酒店，都不这样，望尽快解决。', '短评打分': 5}
{'短评内容': '酒店服务人员素质太差，没有良好的培训。表情僵硬，语言生硬，高高在上的感觉，尤其是前台的几位，不知道是从哪里招来的女孩子，上岗前应该没有接待礼仪方面的培训。', '短评打分': 5}
{'短评内容': '酒店风景点距离较近，早餐不错，菜品丰富，缺点是离商场远且房间隔音不好。', '短评打分': 5}
{'短评内容': '服务、大堂我感觉很好，我会常去的。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
