{'短评内容': '环境一般，不是很好', '短评打分': 3}
{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '进门桌上就有老鼠屎，但房间较大，床也比较宽，非常适合家庭出游。设施也还可以，关键是价格十分美丽，出门吃的也方便', '短评打分': 5}
{'短评内容': '蛮好的，环境还好', '短评打分': 5}
{'短评内容': '酒店设施一般，热水很小，灯光很暗。', '短评打分': 3}
{'短评内容': '就事论事，房间设施陈旧，所住的房间反锁都是锁不上的，还蹿出去一只老鼠，浴霸只有一只灯亮，热水器来热水很慢。', '短评打分': 4}
{'短评内容': '还不错，只是没衣柜，衣服没地方挂。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不做评价', '短评打分': 4}
{'短评内容': '房间挺大，比较安静', '短评打分': 4}
{'短评内容': '酒店大厅在装修还营业吵死了?！而且客人入住以后，装修人员门都不敲就直接开门进来！！！！！房间卫生也不好！满桌灰尘！面盆水也小的可怜！再也不会选择了！', '短评打分': 2}
{'短评内容': '非常不错，我很喜欢', '短评打分': 5}
{'短评内容': '房间简陋，卫生不好，刚进去臭味大，床垫松垮垮的，腰疼不能睡，服务员嫌麻烦，不願刷卡要求用押金付帐，经请求最终刷卡。总之强烈不推荐。该给的现金返现也没有体现，这应是艺龙的原因吧！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般，网络不好，有点房间上不成网', '短评打分': 3}
