{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '下次还会在住', '短评打分': 5}
{'短评内容': '旁边是火车道晚上有些吵', '短评打分': 3}
{'短评内容': '主要是去考教师资格证，要去标准化考场，距离考场大概15分钟路程把，有点小远，酒店最不好的就是没有个全身镜，不透风，闷，晚上睡觉也不隔音，吵死了，总体来一般，希望面试能过！！！', '短评打分': 3}
{'短评内容': '服务很好，房间格局也很不错，下次还会来', '短评打分': 5}
{'短评内容': '还凑合', '短评打分': 4}
{'短评内容': '一般，太吵', '短评打分': 3}
{'短评内容': '厕所臭到想吐', '短评打分': 2}
{'短评内容': '火车道边上，吵死了', '短评打分': 4}
{'短评内容': '还可以，因为考试的原因订房，还是比较方便。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错的，环境可以，价格适合的的', '短评打分': 3}
{'短评内容': '还好，不错的，价格适合，', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店交通很方便，前台工作人员态度很好！', '短评打分': 3}
