{'短评内容': '还可以吧，空间一般床很大还行 习惯性好评', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '晚上超级超级吵 换了一间房还是吵 现在已经两点了 不知道是空调机箱还是周围什么设备 嗡嗡嗡嗡 很大很让人烦躁 吵 睡不着', '短评打分': 3}
{'短评内容': '感觉不太适合带孩子，隔音也很差，隔壁打呼噜都能听得见。', '短评打分': 4}
{'短评内容': '商务床适合带孩子住，酒店位置交通挺方便，附近有哈工大南区地铁站。订的特价房不包早餐，好像是加十块钱可以在楼下吃早餐。', '短评打分': 5}
{'短评内容': '帮别人订的 整体还不错', '短评打分': 5}
{'短评内容': '老顾客了，房间与房间间的隔断是板子隔的，所以隔音不是特别好，昨晚上隔壁的居然夜里一点还不睡，一个劲的聊天，也是奇葩了，大半夜不睡觉的……其他都还好。赞一个！赞一个赞一个赞一个赞一个赞一个赞一个赞一个！赞一个赞一个赞一个赞一个赞一个赞一个赞一个！赞一个赞一个赞一个赞一个赞一个赞一个赞一个！赞一个赞一个赞一个赞一个赞一个赞一个', '短评打分': 5}
{'短评内容': '单人间没有了，给我开的大床房，不错不错。中间有点小插曲，携程客服给解决了，谢谢！赞一个！赞一个赞一个赞一个赞一个赞一个赞一个赞一个！赞一个赞一个赞一个赞一个赞一个赞一个赞一个！赞一个赞一个赞一个赞一个赞一个赞一个赞一个！赞一个赞一个赞一个赞一个赞一个赞一个', '短评打分': 5}
{'短评内容': '还是时间长了，设施有些陈旧。卫生用的来说还行。枕头只给一个，服务员说再要也没有了。停车不是很方便，如果去得晚了根本就没地方停车。', '短评打分': 3}
{'短评内容': '单人间还不错，住的是靠边的房间，所以比较大，蛮好的，离合工大比较近，老顾客了，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞！', '短评打分': 5}
{'短评内容': '服务很差！', '短评打分': 1}
{'短评内容': '帮同事订的。好像不怎么样！', '短评打分': 3}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '床有点硬，感觉少个垫子吧', '短评打分': 5}
{'短评内容': '价格实惠，周边吃饭买东西方便，但卫生一般，隔音一般', '短评打分': 4}
{'短评内容': '条件不错，服务也不错，环境优雅、地理位置也很优越', '短评打分': 5}
{'短评内容': '酒店还不错，室内空间也蛮大，下次还是会考虑的', '短评打分': 5}
{'短评内容': '快捷酒店可以接收。网上订不便宜，用城市之间的会员卡要便宜的多。\n而且不含早餐，加上早餐和店入一样价。', '短评打分': 5}
{'短评内容': '位置挺好，环境也好。就是每次入住都要在厅里等老长时间，去时总是没有空房。\n\n再有就是在网上订的也不便宜，好像加上早餐和店内价格一样。', '短评打分': 5}
{'短评内容': '酒店设施还可以，就是隔音效果有点差，大早上的清洁员在外面打扫的声音都很明显', '短评打分': 5}
{'短评内容': '过的去，快捷酒店也就这样，勉强接受！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '最后面的房间闹鬼，我朋友去住的时候说的，吓死他了！', '短评打分': 1}
{'短评内容': '公司距离这店非常近，感觉周边设施也非常全，生活方便，很不错', '短评打分': 5}
{'短评内容': '酒店房间很干净，机场打的就23元钱，非常便宜。', '短评打分': 3}
{'短评内容': '房间很干净整洁，就是隔壁的会所晚上有点吵。下次来了还住那里。', '短评打分': 5}
{'短评内容': '我每次都住这，比较方便，也比较干净，性价比也合适', '短评打分': 5}
{'短评内容': '感觉可以的 感觉可以的 感觉可以的 感觉可以的 感觉可以的', '短评打分': 5}
{'短评内容': '房间打扫的很干净，卫生不错挺干净的，服务很好，房间隔音效果不错，还可以上网，蛮方便的', '短评打分': 5}
{'短评内容': '酒店性价比较高，附近交通和购物都很方便，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店靠近市区，出行还是蛮方便的，卫生条件，不错打扫的很干净，设施也比较齐全，住着还可以', '短评打分': 5}
{'短评内容': '房间布置的很干净，也很整洁，住进去之后感觉很舒服，床品很好，睡着很舒服，设施还是蛮齐全的，各方面都还不错', '短评打分': 5}
{'短评内容': '一般般啦.', '短评打分': 5}
{'短评内容': '离合肥工业大学非常近，吃饭的地方比较多，但隔音太差。', '短评打分': 3}
{'短评内容': '设施不错，值得推荐。', '短评打分': 5}
{'短评内容': '价格较适中，地理位置也不错，缺点就是隔音效果太差，走廊任何点动静都听的一清二楚。', '短评打分': 5}
{'短评内容': '位置特别好~干净舒适！隔音一般~', '短评打分': 5}
{'短评内容': '酒店离工大很近 很不错的环境 比较推荐。。虽然价格是周边最高的 但是值得一住吧', '短评打分': 5}
