{'短评内容': '网不太好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '优点：距离半升洞码头近。缺点：房间设施陈旧，空调声音太大。', '短评打分': 3}
{'短评内容': '老板服务很好，酒店位置好，距离码头很近。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置和服务都还可以，距离去普陀山的码头也不算太远。不过酒店已经很老了，硬件设施都比较老旧，卫生情况也比较一般。不过在周围几家酒店中算不会乘火打劫临时抬价的一家，这点还是不错的。', '短评打分': 3}
{'短评内容': '风景不错！能够看到船码头还有捕鱼的人，不错', '短评打分': 5}
{'短评内容': '服务卫生一般，周边环境尚可，据码头比较近。', '短评打分': 3}
{'短评内容': '没有正式停车场', '短评打分': 4}
{'短评内容': '啦啦啦', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间不是很大，迷你小户型房间，住了一晚还算可以，唯一就是客服送来的吹风机是个坏的，再要说没有了，这点有点无语，主要离码头挺近的', '短评打分': 5}
{'短评内容': '房间很好.价格不贵还是海景房.周边餐饮也很方便!', '短评打分': 3}
{'短评内容': '房间很不错;比较干净关键是有海景!', '短评打分': 3}
{'短评内容': '环境还不错吧，交通便利，但屋内卫生很差，总体还不错！', '短评打分': 1}
{'短评内容': '没房间的时候 应急备用不错！\n过个夜而已，还可以！', '短评打分': 5}
{'短评内容': '我预订在10月1日入住的金海港宾馆干净。不过没想象中的宽敞。基本设施齐全。', '短评打分': 3}
{'短评内容': '厕所不尽如意', '短评打分': 3}
{'短评内容': '宾馆条件一般，但出入比较方便。老板的的态度真不错！希望在房间设施和服务方面再加强改进！总体上还是值得推荐的！', '短评打分': 5}
{'短评内容': '环境不是很好,服务员态度还可，交通方便,房间很一般,', '短评打分': 1}
{'短评内容': '价格有些高，房间环境一般。鉴于处于旅游区，可以一住', '短评打分': 5}
{'短评内容': '挺好，感觉不错', '短评打分': 3}
{'短评内容': '所谓的海景房，紧邻马路，晚上车辆不断，吵得你睡不着觉。', '短评打分': 1}
{'短评内容': '0已入住金海港', '短评打分': 3}
{'短评内容': '走到码头不止十分钟，和描述的有点出入，离海鲜排挡有点距离，但还比较安静，房间还挺干净，另外离步行街，和大超市近，方便玩完了，买点东西回家', '短评打分': 5}
{'短评内容': '房间很小，很压抑，不是很推荐。就是位置还是不错的', '短评打分': 1}
