{'短评内容': '酒店挺不错温泉挺好', '短评打分': 5}
{'短评内容': '环境非常好，温泉舒服', '短评打分': 5}
{'短评内容': '酒店设施和温泉都非常不错，中餐馆味道很好，服务很好，停车场保安很有礼貌，莽山附近最好的酒店了，值得推荐', '短评打分': 5}
{'短评内容': '环境舒适、空气清新', '短评打分': 5}
{'短评内容': '酒店服务很好。环境很舒服。有半山温泉更是点睛之笔。有时间会回来的。希望贵店越来越好', '短评打分': 5}
{'短评内容': '酒店服务很好。环境很舒服。有半山温泉更是点睛之笔。有时间会回来的。希望贵店越来越好', '短评打分': 5}
{'短评内容': '服务质量好，有礼貌，热情，亲切，温泉水质好，房间大，下次再来，服务质量好，有礼貌，热情，亲切，温泉水质好，房间大，下次再来，服务质量好，有礼貌，热情，亲切，温泉水质好，房间大，下次再来，服务质量好，有礼貌，热服务质量好，有礼貌，热情，亲切，温泉水质好，房间大，下次再来服务质量好，有礼貌，热情，亲切，温泉水质好，房间大，下次再来，，情，亲切，温泉水质好，房间大，下次再来，', '短评打分': 5}
{'短评内容': '价格便宜又好玩，空气清新，环境优美&hellip;', '短评打分': 5}
{'短评内容': '很不错的酒店，温泉区也很舒服，下次再去住', '短评打分': 5}
{'短评内容': '东西还可以东西还可以东西还可以东西还可以东西还可以东西还可以东西还可以', '短评打分': 5}
{'短评内容': '东西还可以东西还可以东西还可以东西还可以东西还可以', '短评打分': 5}
{'短评内容': '整体过得去，温泉在大堂一边进去，感觉不太好，穿着泳衣裕袍从酒店大堂穿过不太文雅。而且整个酒店都不暖和，走廊大堂有点冷', '短评打分': 4}
{'短评内容': '酒店服务好。房间很有特色', '短评打分': 5}
{'短评内容': '酒店服务挺好的，跟一群朋友过去泡温泉，室外的池子挺不错的，各方面环境很好，下次还会继续去。', '短评打分': 5}
{'短评内容': '酒店很漂亮、舒适，温泉的服务也挺好，我们去的相对是淡季，还会再来。', '短评打分': 5}
{'短评内容': '总体很满意', '短评打分': 5}
{'短评内容': '总体很满意', '短评打分': 5}
{'短评内容': '酒店很舒适，温泉很给力。', '短评打分': 5}
{'短评内容': '总体情况很不错 餐厅也好，价格稍贵', '短评打分': 5}
{'短评内容': '山间豪华酒店，自带温泉，房间很大，温泉人不多，很舒服。', '短评打分': 5}
{'短评内容': '环境不错，温泉很好，服务好', '短评打分': 5}
{'短评内容': '在莽山来说是一间非常豪华的酒店了，虽然离景区大门有点远，可能需要15分钟的时间。但里面的设施、服务、卫生个方面都不错，温泉无限次泡，白天爬完山，晚上泡一泡温泉，可以缓解疲劳。早餐中西结合，也还不错。', '短评打分': 5}
{'短评内容': '总体感觉一般般吧，但是在莽山风景区应该算是不错的了，可能是我个人的缘故吧，对住酒店的要求稍微有点高咯，', '短评打分': 3}
