{'短评内容': '交通非常方便，干净卫生。', '短评打分': 5}
{'短评内容': '廁所门比較舊，其如還好。', '短评打分': 3}
{'短评内容': '性价比很高哦', '短评打分': 5}
{'短评内容': '80块钱的实惠旅馆都比这好', '短评打分': 1}
{'短评内容': '挺不错的酒店！服务很棒', '短评打分': 5}
{'短评内容': '浴室可以换个手握花洒吗？', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错？？？？？-/-27661679646-*', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店订错了，没有去住', '短评打分': 5}
{'短评内容': '感觉还可以吧。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比超高的', '短评打分': 5}
{'短评内容': '还没去过，帮人订的', '短评打分': 5}
{'短评内容': '感觉环境还可以，价格也不算很贵。楼下就有小吃和步行街，非常方便', '短评打分': 5}
{'短评内容': '环境不错性价比高', '短评打分': 5}
{'短评内容': '还不错性价比很高', '短评打分': 5}
{'短评内容': '还行，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '地點方便，附近有地鉄站及食飯地方很多，酒店前台服務不錯，只是熱水器電綫太短，要放在地上煲水，很不方便，其他還可以。客房內電視接收一般', '短评打分': 3}
{'短评内容': '还是不错！', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间阴暗潮湿，太差！4层拐角最里面的房间！', '短评打分': 4}
{'短评内容': '住了很多次，非常方便，以后还会选择', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 4}
{'短评内容': '酒店的位置很满意，楼下有很多小吃店，去东门步行街也比较近，离罗湖关口也近。就是房间都没吹风筒', '短评打分': 5}
{'短评内容': '历史悠久，设施有点老旧了，建议重新装修，不过很方便', '短评打分': 3}
{'短评内容': '比较老的一家酒店。', '短评打分': 3}
{'短评内容': '這一次幫別人代訂房間,臨櫃chech in竟然發生沒訂到房,害我房錢跟違約金各付乙次', '短评打分': 1}
{'短评内容': '進地鐵晒布站,升級住的還不錯,周遭吃喝玩樂都很方便', '短评打分': 5}
{'短评内容': '跟之前一樣, 位置方便, 但洗澡地下去水很有問題. 那久了也沒解決. 不用一分鐘就滿瀉了.', '短评打分': 5}
{'短评内容': '服务态度不好，没有早餐，价格贵，装修老。', '短评打分': 1}
{'短评内容': '酒店的房间感觉很旧，阴森森的，服务态度也不好！', '短评打分': 1}
{'短评内容': '房间蛮宽敞的，紧邻商业街，出行购物非常之方便，大大赞一个！', '短评打分': 5}
{'短评内容': '帮朋友订的，具体情况不清楚', '短评打分': 5}
{'短评内容': '很普通的一家酒店，房间有点小，服务一般，设施也很普通，不过地段确实是不错，在那样的地段这样的价格算是还可以的了。', '短评打分': 5}
{'短评内容': '4楼在重新装修,6楼上还好。房间大小一般，但是还是蛮干净的，服务也不错，主要是位置好紧邻东门步行街和乐园路食街。\r\n马来西亚朋友先住两天，第4天回来还要求住这里。', '短评打分': 5}
{'短评内容': '房间小，环境还不错', '短评打分': 5}
{'短评内容': '昨天住进去的 一楼在重新装修很呛人的味道，不过楼上还好。&lt;br /&gt;\n房间很小但是还是蛮干净的，服务也不错，主要是位置好紧邻东门步行街。二楼还有小肥羊火锅。。。。。', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '我五一在这里住了几天，感觉还不错，一出门就是深圳东门商业步行街，很适合逛街，一出门有公交车站，走不远有地铁站，老街地铁站，设施齐全，但是有老化的现象，不太好用，环境还不错．我住的大床房，感觉空间很小．两个人住有点压抑，空调声音太大，房间隔音效果不好，吹风机不好用，结帐速度超慢', '短评打分': 3}
{'短评内容': '酒店方面表示下次如果再次入住将以贵宾待遇，有机会再试试吧！', '短评打分': 3}
{'短评内容': '交通便利，周围很多吃饭的地方。酒店服务不错，比较满意。虽然在闹市中，但房间里很安静。推荐入住。', '短评打分': 3}
{'短评内容': '没有三星的铜牌，宾馆有股味道，设施与上海的锦江之星差不多。', '短评打分': 3}
{'短评内容': '位置不错，处于闹市繁华地段，逛街购物及出行都很方便，房间有点小但很干净整洁，房门智能卡不太好用，不过230元/晚的价格很值啦，下次来还住这里。', '短评打分': 3}
{'短评内容': '三楼的那个会所价格是三钟68元桑拿加按摩，推油再加150。桑拿房很小，按摩房和房间一样大。小姐技术一般。', '短评打分': 3}
{'短评内容': '才从那里回来。&lt;br /&gt;\n还可以，服务比较好！房间小，但这个价钱你还能指望住多大的呢？相比较性价比还是不错的！&lt;br /&gt;\n地处最繁华的市中心东门！地段好交通便利！&lt;br /&gt;\n三楼有个VIP按摩会所，呵呵俺没进去过，就不发表意见了！&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '不好!!!', '短评打分': 3}
{'短评内容': '交通方便，酒店不大，但很温馨，房间虽然小点，但还可以接受，可以说物超所值', '短评打分': 3}
{'短评内容': '雖然在交通,購物上都很方便,&lt;br /&gt;\n但是房間實在太小,&lt;br /&gt;\n讓人住得好壓抑!!!', '短评打分': 3}
{'短评内容': '房间很小，但非常干净和舒适。交通很方便，离东门市场很近。200多的价钱我感觉很值。服务也很好。', '短评打分': 3}
{'短评内容': '非常的不好！我在6月2日入住。。酒店正在装修。服务态度也不怎么样，房间布置也不好。。。房间也很小。。&lt;br /&gt;\n我很不满意。。真是看走了眼。', '短评打分': 3}
