{'短评内容': '环境好，每次出差上饶都住这家，值得推荐给大家', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错的酒店，值得推荐', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店', '短评打分': 5}
{'短评内容': '房间很大，很干净，服务也很好，楼下就是公交车站，交通很方便。送了咖啡吧的免费券，可惜第二天早上才看到，没用，不过感觉非常贴心。', '短评打分': 5}
{'短评内容': '设施旧了，还很干净', '短评打分': 5}
{'短评内容': '前台服务很好，客房阿姨也很好', '短评打分': 5}
{'短评内容': '一个房间就一个插座充电，还不在床边，极其不方便，其它差不多', '短评打分': 5}
{'短评内容': '挺好的价格也合适！不错', '短评打分': 5}
{'短评内容': '服务很好环境也很好，特别是早餐很丰富，京东上预订也便宜', '短评打分': 5}
{'短评内容': '总体感觉还是可以的吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好，挺好，很好', '短评打分': 5}
{'短评内容': '环境优雅方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好，环境好，京东确实很给力', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '上次来住过，床很舒服，走的时候没有开发票，酒店很快就寄了过去，所以这次又推荐同事来住。但是今天又给了一个我很大的惊喜，一大早电梯坏了，走楼梯去餐厅消防通道竟然是锁的，前台退房态度很差劲，名字就不说了8:50在前台的可以查监控。真以为上饶就一家酒店么，下次是不会再住了。', '短评打分': 4}
{'短评内容': '位置不错，周边比较热闹，出行饮食方便。以后还会去住。', '短评打分': 4}
{'短评内容': '不错，下次出差还来住。', '短评打分': 5}
{'短评内容': '地理位置不错的，坐公交打车都很方便，服务周到，随叫随到，店员也比较友善，会主动打招呼，早餐结束的稍早了点，宽带有待提高！', '短评打分': 5}
{'短评内容': '甜甜表示还能接受，嗯嗯', '短评打分': 5}
{'短评内容': '价格合适，服务好。', '短评打分': 3}
{'短评内容': ' 噪声大，设施旧', '短评打分': 3}
{'短评内容': ' 噪声大，设施不好', '短评打分': 3}
{'短评内容': '不错，地段好，价格也还适合，就是边上没什么吃饭的地方，特别是象我们这样外地过去的，是个烦恼！', '短评打分': 5}
{'短评内容': '老酒店了，性价比还可以，整个房间厕所比较不理想！总体还行！', '短评打分': 3}
{'短评内容': '，酒店总台的服务比较好，但客人用的2台电梯不知为何一直停在10楼，看到电梯门口贴着在修空调管道的通知，是与之有关吧', '短评打分': 3}
{'短评内容': '房间隔音不太好，第一天有点吵。房间空间比较大。', '短评打分': 5}
{'短评内容': '没有想象中的好，前台服务一般，硬件设施较老化，早餐也一般。房间还算大。', '短评打分': 1}
{'短评内容': '交通便利， 但酒店陈旧，装修不行，隔音不行，早餐也不行。下次不会入住。', '短评打分': 1}
{'短评内容': '房间还不错，满舒服的，下次还会来住的，周边环境还是不错的', '短评打分': 5}
{'短评内容': '酒店很好,设施也不错.周边环境也很好.交通方便.', '短评打分': 5}
{'短评内容': '是家老酒店了.地点不错.到市中心和出市中心都有好方便.房间设施太旧了,早餐好差.品种很少.', '短评打分': 5}
{'短评内容': '四星级，位置还可以，我们住12楼，有点小吵，其他都还行。', '短评打分': 5}
{'短评内容': '酒店还可以，但设施有点旧，早餐也还可以，停车不太好停，有点挤。', '短评打分': 5}
{'短评内容': '装修 太过旧了 房间的设备不够多  四星级的酒店的设施应该比这个多', '短评打分': 1}
{'短评内容': '装修太过陈旧！', '短评打分': 3}
{'短评内容': ' 外观不错，装修太久了，旧了点', '短评打分': 3}
{'短评内容': '酒店地理位置比较好，设施干净，房间舒适，离火车站也不远，交通便利。', '短评打分': 5}
{'短评内容': '在上饶还不错的一家酒店，离火车站相对较近，但早餐实在不怎么样', '短评打分': 5}
{'短评内容': '酒店环境不错，交通方便，挺好…', '短评打分': 3}
{'短评内容': '酒店性价比还是不错的，就是房间设施比较陈旧了，该装修了', '短评打分': 5}
{'短评内容': 'jiu dian xing jia bi bu cuo ,dan jiudian sheshi yijing bijiao chenjiu l ', '短评打分': 5}
{'短评内容': '还不错的一家酒店45666666666666', '短评打分': 5}
{'短评内容': '卫生间没有专门的淋浴房,淋浴后下水又慢,整个卫生间地面都是水,感觉很不好。空调不错,主要是没什么噪音。', '短评打分': 3}
{'短评内容': '上饶市内实在没有什么好酒店，这家酒店的早餐实在太糟糕，希望花点心思好好改变一下，地理位置还是不错，附近吃饭的地方倒是挺多的', '短评打分': 5}
