{'descr': '豪华标准间 房间有点小。', 'star': 5}
{'descr': '家庭房很不错，比较宽敞。', 'star': 5}
{'descr': '家庭房宽敞明亮，服务好，供暖好，交通方便。', 'star': 5}
{'descr': '怎么连个招牌也没有？半夜下了民航班车在楼下找不到宾馆的门！订这里就是因为离民航班车近，希望以后不要再骗人了！', 'star': 2}
{'descr': '挺好的，房间暖和，布置温馨，和西单大悦城，君太，汉光，明珠都很近，走路就到，吃饭周边也很多选择，推荐！', 'star': 5}
{'descr': '京东物流很快！！！给快递小哥点赞！！！！！', 'star': 5}
{'descr': '，', 'star': 3}
{'descr': '还算不错，就是价格有点小贵，缺点无窗', 'star': 5}
{'descr': '好好陆陆续续', 'star': 5}
{'descr': '项目结题汇报，虽然定晚了，但入住体验还是不错的，性价比比较高，但是老师不大满意，可能觉得不够档次吧', 'star': 5}
{'descr': '地理位置相当好，来北京旅游这最好，早上步行去天安门才15分钟，', 'star': 5}
{'descr': '位置特别好 出行方便', 'star': 5}
{'descr': '都系一样的次所问题，房间就够大，不过五似酒店似民宿改型！个次所卫生差，不断会有臭味从d下水道到飘出黎', 'star': 3}
{'descr': '满意', 'star': 4}
{'descr': '满意', 'star': 4}
{'descr': '环境挺好，西单逛的很爽……就是要挑有窗的，没窗简直不能呼吸。', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '酒店环境不错，同学住的说挺好，而且位置很方便。', 'star': 5}
{'descr': '地理位置很好 就是不知道为什么煎中药的味道很大 老板很热情 作为落脚点还是不错的', 'star': 5}
{'descr': '地理位置很好，服务也可以，如果装修一下就更好了！如果要求太高的，建议不要住。', 'star': 4}
{'descr': '宾馆还不错！地理位置好！门口有停车位可以停车！去附近购物时真方便！', 'star': 5}
{'descr': '经济实惠，比较干净。', 'star': 3}
{'descr': '＋帮客人订的，客人反映不好，酒店条件不怎么样，位置还好', 'star': 3}
{'descr': '房间偏小,还比较干净', 'star': 3}
{'descr': '住宿条件一般，服务不错，交通便利，尚可。', 'star': 3}
{'descr': '环境一般吧。只能说离西单商场近，有优势，确实很方便。也不是第一次住这家酒店了。整体还行吧。我觉得吧。应该好好装修下。你们还是挺有优势的。', 'star': 5}
{'descr': '每次来西单都住这儿 比较干净 位置也很方便 楼下就是各种小吃', 'star': 3}
{'descr': '感觉还行。基本算可以。', 'star': 3}
{'descr': '酒店不错，房间小巧温馨，设施齐全，窗帘颜色和我家一样，呵呵，唯一缺憾就是隔音不太好', 'star': 3}
{'descr': '＋很满意，Good horse,酒店一楼还有个餐馆也不错…', 'star': 3}
{'descr': '貌似黑店，就像不伦不类的名字。没大厅，标志不清。房间窗子不严风呼呼的，卫生间味大，房间整体卫生不干净，柜台一号称负责人的黑大汉态度差。。这里不建议住', 'star': 1}
