{'短评内容': '挺好的挺好的', '短评打分': 5}
{'短评内容': '干净卫生、交通方便。', '短评打分': 5}
{'短评内容': '干净卫生、交通方便。', '短评打分': 5}
{'短评内容': '不错，前台小姑娘服务很好，', '短评打分': 5}
{'短评内容': '帮朋友预定的，不错，服务各方面都很好，每次来都会选择住这里', '短评打分': 5}
{'短评内容': '啦咯啦咯啦咯啦啦咯啦咯啦咯啦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生服务都很好哦~环境也挺好的', '短评打分': 5}
{'短评内容': '酒店设施设备都很不错，前台服务很随意，其他都还好', '短评打分': 5}
{'短评内容': '服务不错，房间也挺大的', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '物美价廉。服务不错。赠早餐', '短评打分': 5}
{'短评内容': '挺好!', '短评打分': 4}
{'短评内容': '不错哦，继续入住', '短评打分': 5}
{'短评内容': '不错，继续入住？', '短评打分': 5}
{'短评内容': '酒店环境卫生服务比五星级的还要好。', '短评打分': 5}
