{'短评内容': '这个价格超级优惠', '短评打分': 5}
{'短评内容': '房间小点儿。但这个价格 确实超级优惠', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '还不错 有加湿器', '短评打分': 4}
{'短评内容': '环境好，有大窗户不怕闷，房间还配有吸氧寄（我没用到，据说要另外收费）。早上6点起来赶飞机，出酒店左边还有许多出租车。', '短评打分': 5}
{'短评内容': '不错，步行到布达拉宫10分钟，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很专业，很舒适，很方便，下次还会选择入住。很专业，很舒适，很方便，下次还会选择入住。很专业，很舒适，很方便，下次还会选择入住。', '短评打分': 5}
{'短评内容': '还可以，挺好的', '短评打分': 5}
{'短评内容': '环境不错，服务到位', '短评打分': 5}
{'短评内容': '环境不错，干净，房间宽敞', '短评打分': 5}
{'短评内容': '位置不错，服务佳，交通方便，直接步行至白塔大约15分钟即可。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店不错……还可以远眺布达拉宫……*_*……', '短评打分': 5}
{'短评内容': '在布达拉宫附近，晚上陪父母走过去布宫广场看夜景。离西藏博物馆也很近。房间有加湿器，非常好。推荐朋友', '短评打分': 4}
{'短评内容': '挺好的，离布宫，博物馆和罗布林卡都近', '短评打分': 5}
{'短评内容': '比一般的锦江之星好，价格也贵些。房间比较干净，还有加湿器。但挂衣桂里面灰比较多，要注意。', '短评打分': 5}
{'短评内容': '已入住,很满意！', '短评打分': 3}
{'短评内容': '不怎么样，房间和实际想象差距太大，空间小。', '短评打分': 1}
{'短评内容': '条件很好，交通方便，就是不打折，消费券也不能用，', '短评打分': 3}
{'短评内容': '房间挺好，就是餐厅上菜速度太慢', '短评打分': 3}
{'短评内容': '酒店服务一般，设施有点旧，和别的锦江不一个风格，餐厅不还算错。酒店服务一般，设施有点旧，和别的锦江不一个风格，餐厅不还算错。', '短评打分': 5}
{'短评内容': '住过的最贵最高的锦江之星。不过也是最好的，算是物有所值吧。早餐15元，一般。', '短评打分': 5}
{'短评内容': '秉承了锦江之星一贯的标准，虽然是在拉萨这样的高原，但设施和服务都没有打折，而且个人感觉还有升级，很难得。\n下午去拉萨，还会选择。\n唯一遗憾的是，9：30分下去，已经没有早餐吃了，还收了我们每人15元。', '短评打分': 5}
{'短评内容': '酒店总的不错。房间卫生不错，热水很好，虽然洗手池上方有点漏水，但下次还会入住。', '短评打分': 5}
{'短评内容': '房间性价比很好 离布宫不远，但不如大昭寺一带方便好玩 酒店餐饮不推荐', '短评打分': 5}
{'短评内容': ' 不错 床相当舒服 环境舒适 很有感觉', '短评打分': 3}
{'短评内容': '酒店的阳台可以看到布达拉宫，步行到广场10分钟，周边吃饭的地方很多，川菜为主，也有藏餐。\n酒店很干净，服务很好，网速能达到400k/s。', '短评打分': 5}
{'短评内容': ' 是拉萨五星下住过的最舒服的一个 唯一就是早餐不免费十五块还不怎么样 床很舒服', '短评打分': 3}
{'短评内容': '老婆和朋友在9月份分别在这里住了3次，真的很好啊！终于在拉萨也有了锦江之星了……起码能享受到一致的服务了……\n\n另外那两次我就不用评价了。', '短评打分': 5}
{'短评内容': '酒店位置好 环境不错 下次还是会去住     ', '短评打分': 5}
{'短评内容': '卫生还行，隔音效果一般，服务态度也可以，配套服务一般般', '短评打分': 3}
{'短评内容': '挺温馨的！', '短评打分': 5}
{'短评内容': '必须澄清一下，这家锦江之星是按四星级标准建造的，按西藏的标准看，也属于四星里面比较好的。价格虽然比一般锦江之星高，但在拉萨，算是性价比很不错的了。房间很干净，床很舒服，卫生间也比较现代（都是按西藏的标准）。我前后住了三四次，两次锦江之星都帮我升级到套房，推荐一下，套房的卫生间非常棒，有个超大浴缸，泡澡很舒服。另外锦江大厨餐厅菜做得非常好，说实在的在上海也不是很多餐厅有这样水准的。大概因为旁边是上海', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '奇怪了，08年冬天我怎么没来这家酒店，真的很不错，除了亚宾馆，也就是这家了。', '短评打分': 5}
{'短评内容': '这家宾馆挺好的。', '短评打分': 3}
{'短评内容': '酒店位置好，交通便利，房屋舒适度好，就是价格偏高。。。', '短评打分': 5}
{'短评内容': '临街的房间比较吵一些.隔音效果不是很好.其它各方面都非常好,服务人员都很周到热情.综合性价比还是蛮高的.', '短评打分': 5}
{'短评内容': '地属市中心，交通比较便利，就是在拉萨的价格属比较高的', '短评打分': 5}
{'短评内容': '一如既往舒适的床和枕头，缓解了因为高反带来的痛苦，亲切的服务让人忘记身处高原，酒店位置距离布达拉宫也很近，除了价格略高外，其他一切都很完美，不过在旺季的拉萨，既要舒适又要安静并且安全的这里是不错的选择', '短评打分': 5}
{'短评内容': '房间布置的很漂亮，打扫的也很干净，床睡的很舒适。', '短评打分': 5}
{'短评内容': '房间很整洁，网速不是很好，价格还是比较合理的。', '短评打分': 5}
{'短评内容': '位置不错，离景点挺近的，乘车也蛮方便的。', '短评打分': 5}
{'短评内容': '环境.硬件设施还不错.服务一般.没有提供早餐.用餐不方便.选择商务酒店主要因为以出差为主，如果能提供就餐就再方便不过了.', '短评打分': 5}
{'短评内容': '对酒店的环境硬件都还是比较满意的，位置出行交通方便，卫生服务也很达标，就是价格有点偏高，根据酒店性价比来讲有点偏低。连锁型酒店里面价格不算是优惠的。', '短评打分': 5}
