{'短评内容': '位置不错，紧临春熙路，有地铁到哪都方便！早餐一般，热菜全素，煎蛋小面，自助管饱！酒店感觉有年头了，除个别房间重新装修，大多房间设施陈旧！最最最...要吐槽的是，预订的高级商务大床房，实际跟图片相差甚甚甚...远，前台却一口咬定这这这...就是！！！', '短评打分': 4}
{'短评内容': '', '短评打分': 4}
{'短评内容': '有停车场，早餐一般。', '短评打分': 4}
{'短评内容': '房间还不错，可能是位置比较好，性价上有一点点低。服务人员都不错！', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '太一般了，除了地理位置好！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '位置和环境都不错！', '短评打分': 5}
{'短评内容': '房间装修时间太久3，', '短评打分': 4}
{'短评内容': '6呃呃呃额额的得得得呃呃呃额额的得得得', '短评打分': 5}
{'短评内容': '早餐太差了，8点30去早餐，几个素菜中一半都没有了，稀饭、馒头倒还有，一旅客当场发飙了，要求退钱。煮面条处调料空了几个碗，叫厨师添加，居然说面条有汤就可以了，不须其它东西。', '短评打分': 4}
{'短评内容': '酒店位置特别好，过个天桥就是春熙路，其他也还不错', '短评打分': 3}
{'短评内容': '酒店不错，位置便利，紧临省政府。不错，离春熙路也比较近！', '短评打分': 5}
{'短评内容': '不错，位置好，卫生，给朋友订的，朋友反应好。', '短评打分': 3}
{'短评内容': '酒店停车竟然要收停车费，而且按照时间累计，最高五十元。酒店停车收费闻所未闻，长见识了。而且问酒店车停在那里时候，前台并没有告知收费，移车时却要收费。想不明白。还有含早的早餐并不咋的。以后不会住了。', '短评打分': 3}
