{'短评内容': '都很不错(*๓´╰╯`๓)♡', '短评打分': 5}
{'短评内容': '酒店在马路边容易找，但是没有配套的停车场，建议的停车场停满的要另行再找，好麻烦。卫生还可以地板还算干净，周边交通堵车好严重。', '短评打分': 3}
{'短评内容': '房间卫生不怎么好', '短评打分': 4}
{'短评内容': '感觉一般般', '短评打分': 3}
{'短评内容': '环境很安静还有纯净水感觉不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 0}
{'短评内容': '旺中带静，附近食肆好多。', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '还不错啊！', '短评打分': 5}
{'短评内容': '环境不错，设备也挺齐全的，而且房间浴室都挺干净的', '短评打分': 5}
{'短评内容': '周边方便', '短评打分': 5}
{'短评内容': '总的来说，还不错！房间整洁，卫生，服务员态度较好，地处番禺繁华地段，出行比较方便。有机会还会遭此入住。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '便宜实惠', '短评打分': 3}
{'短评内容': '不错，卫生很干净，服务也挺好的，总的来说挺满意的。', '短评打分': 5}
{'短评内容': '还可以。就是房间小了点点！颜色搭配很温馨！', '短评打分': 5}
{'短评内容': '住的地方很方便，出去玩，买东西都不错。酒店不错，红色的床单很温馨。要是房间能再大点就更好了。', '短评打分': 5}
{'短评内容': '环境不错，交通也便利，就是网速太差，有时还开不了网页，这个有待改进', '短评打分': 3}
{'短评内容': '感觉很差··房子特小··然后有些消费欺诈的嫌疑··酒店实际房价都没那么高··然后消额费劵的现金至今还没回到账上···', '短评打分': 1}
{'短评内容': '还是如家的感觉,房间很整洁,周围的交通也便利,很好', '短评打分': 5}
{'短评内容': '位置不错，性价比高', '短评打分': 3}
{'短评内容': '非常舒服，被子是粉色的', '短评打分': 3}
{'短评内容': '安全干净，价格比七天实惠', '短评打分': 3}
{'短评内容': '去长隆玩才来这里订的酒店，要搭两站公车到地铁站，附近吃饭和逛街的地方都很多', '短评打分': 5}
{'短评内容': '此处位置较好，交通方便，周边购物也好！服务人员也不错！价格不错，值得推荐！', '短评打分': 5}
{'短评内容': '交通便利，晚上也蛮安静，周边设施也还好！值得推荐', '短评打分': 5}
{'短评内容': '交通环境还可以，包双早！就是这个房间有点小', '短评打分': 5}
{'短评内容': '京东的价格和如家会员一样，很好', '短评打分': 5}
{'短评内容': '很干净，交通神马的也很方便。早餐味道还算不错的！！！值得推荐·', '短评打分': 5}
{'短评内容': '环境和服务态度都很好！很喜欢！下次还会继续光临！', '短评打分': 5}
{'短评内容': '房间干净，布局合理，床还算大，总体值得肯定（推荐）', '短评打分': 5}
{'短评内容': '比想像中好更多，就是房間太小了', '短评打分': 3}
{'短评内容': '酒店的环境很好，我第二次去时候明明网上定了房结果说没有了，换了一间也是也好的', '短评打分': 5}
{'短评内容': '环境好，卫生也好，下次还住，就是离地铁站有点远。', '短评打分': 5}
{'短评内容': '很不错的服务，。环境优雅。有机会会再去。如果增加开放式无线网络就更好。', '短评打分': 5}
{'短评内容': '还不错，中间有些误会，导致特惠大床房也因此变成了双人床。希望前台的工作能够做的更完善一些。', '短评打分': 5}
{'短评内容': '房间大小刚好，很温馨，被子闻起来怪怪的，不知是不是潮湿的原因，总体不错。', '短评打分': 5}
{'短评内容': '小了点  但是位置比较好！卫生方面也可以。', '短评打分': 5}
{'短评内容': '交通很方便，门口就是星湖公园公交站，离市桥地铁口3站左右，附近有步行街及商场，房间不大，很干净，服务态度很好，值得推荐。', '短评打分': 5}
{'短评内容': '人员服务差，尤其一个捏着强调的女的，处处都是解释。', '短评打分': 5}
{'短评内容': '整体不错，对面就是公园，交通方便。下次有机会再入住。', '短评打分': 5}
{'短评内容': '整体不错，还有早餐对面就是公园。下次有机会还会入住。', '短评打分': 5}
{'短评内容': '不错 ,还有早餐  服务人员都很热情............................................................................', '短评打分': 5}
{'短评内容': '酒店很不错，环境很好，设施比较简单，但是感觉很舒服！', '短评打分': 5}
{'短评内容': '但是他们的前台服务质量差，不说实话。浴巾不是很干净。', '短评打分': 5}
{'短评内容': ' 环境不错，挺安静的~', '短评打分': 3}
{'短评内容': '如家环境不错，值得外出时入住，以后还会选择如家', '短评打分': 3}
{'短评内容': '靠近商业中心,晚上可以去步行街逛逛.离市桥地铁站也比较近,搭公交车才2,3个站,一下车就是酒店了.但是房间比较小,比以前住的如家的房要小.而且房间里好像缺少一些必须的生活用品,例如纸巾...而且我住的房间,浴室的排水系统是塞的...', '短评打分': 5}
{'短评内容': '地方时商业中心  但是出行却不太方便，价格实惠。', '短评打分': 5}
{'短评内容': '房间大小一人正好，卫生可以，早餐不错：）', '短评打分': 3}
{'短评内容': '交通比较便利，空间虽然小了点，但环境还不错。', '短评打分': 5}
{'短评内容': ' 去广州本人首选如家，服务到位，设施完备，关徤是房间干净，睡得舒适', '短评打分': 3}
{'短评内容': '不错，就是小了点', '短评打分': 3}
{'短评内容': '不错，就是难找一点.....................', '短评打分': 5}
{'短评内容': '交通方便，门口就是公交车站，酒店很干净，前台也很热心，下雨借伞给我们。朋友都超级满意，若要鸡蛋里挑骨头，那就是厕所的纸巾实在是太粗糙了，！！', '短评打分': 5}
{'短评内容': '星海公园站下车就到了 ，非常方便。附近还有步行街。房间比较小，不过该有的设备齐全~！', '短评打分': 5}
{'短评内容': ' 酒店的位置很好交通很方便，房间也很干净舒服', '短评打分': 3}
{'短评内容': '新开不久的酒店，很不错，环境很好，里面也挺干净的。住进来很舒服，下次来还会入住。', '短评打分': 3}
{'短评内容': ' 干净舒适，灯光啊不错！只是没有吹风机要问前台拿。', '短评打分': 3}
{'短评内容': '酒店是新装修的，颜色很温馨，地理位置不错，交通方便。\n服务好。', '短评打分': 5}
{'短评内容': '总体还好，只是房间太小了。门口是公交站，出门口给人一种奇怪的感觉', '短评打分': 5}
{'短评内容': '价格优惠 服务态度很好 比我想像的更要好', '短评打分': 5}
{'短评内容': '如家快捷酒店（广州番禺市桥店），酒店房间太小，走道还要经过两道门', '短评打分': 1}
{'短评内容': '其它方面都很好，就是有点小，安全方面做的很到位，服务态度也很好，', '短评打分': 5}
{'短评内容': '不错，比想象的好', '短评打分': 3}
