{'短评内容': '赞一个！！！！！', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '酒店设施较好，服务、卫生不错。', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 4}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '早餐好', '短评打分': 5}
{'短评内容': '挺好，在京东上订比携程便宜，而且还送京豆', '短评打分': 5}
{'短评内容': '挺好，房间设施稍显老旧，但是酒店递礼位置真的不错', '短评打分': 5}
{'短评内容': '还不错，横向对比性价比很高啊，暑期同地段普通快捷酒店也只便宜一百来块，而且没房了', '短评打分': 5}
{'短评内容': '交通便利！周边吃饭方便', '短评打分': 5}
{'短评内容': '房间空间大，服务员态度好。房间有的设施很陈旧了，离安贞医院近，旁边有很多餐馆吃很方便。', '短评打分': 5}
{'短评内容': '住宿条件不错！空气也好！性价比高！', '短评打分': 5}
{'短评内容': '今天晚上用餐订在涪城区青年路11号龙汇花园，＂海谷阳光＂二楼206雅间，恭候您的光临！高毅', '短评打分': 5}
{'短评内容': '这是帮朋友预定的酒店，到达时间已经是晚上九点，办理入住时间快，并且酒店隔音效果比较好，干净，交通便利。', '短评打分': 5}
{'短评内容': '应该不错', '短评打分': 5}
{'短评内容': '应该还不错', '短评打分': 5}
{'短评内容': '不错，就是要担保', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '干净舒适，距离安贞医院很近。', '短评打分': 5}
{'短评内容': '干净舒适，距离安贞医院很近。', '短评打分': 5}
{'短评内容': '总体不错，性价比还可以。', '短评打分': 5}
{'短评内容': '还不错，很方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '服务不错 挺好的酒店 可以再来', '短评打分': 5}
{'短评内容': '还可以。就是老酒店了，设施有点老了', '短评打分': 4}
{'短评内容': '设施很老&amp;#183;&amp;#183;&amp;#183;位置还行', '短评打分': 4}
{'短评内容': '交通便利，房间宽敞明亮，价格适中！服务意识较强！', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 3}
{'短评内容': '地理位置好，距离奥体公园较近；老酒店装修设施陈旧。', '短评打分': 5}
{'短评内容': '房间很大，环境很好，出入方便，下次来还会住这间酒店', '短评打分': 5}
{'短评内容': '服务还不错', '短评打分': 3}
{'短评内容': '交通便利，老牌酒店，急需翻修！', '短评打分': 3}
{'短评内容': '酒店挺好的，值得表扬！', '短评打分': 3}
{'短评内容': '酒店干净服务态度好!', '短评打分': 3}
{'短评内容': '一般情况，这个价位还可以，房子内很干净，但是观景不是很好，可能跟我住房子的位置有关。', '短评打分': 1}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '条件还可以，出行方便,还要求字数啊，需要20个子', '短评打分': 5}
{'短评内容': '房间设备有些旧了，房间的面积较大，卫生间的毛巾应该更换新的了。早餐品种比较精致，西湖醋鱼做的味道还算不错。就是房间较为难定，最难受的是早上上班时等电梯，因为大楼里是浙江住京办和大量的写字楼，人员较多。', '短评打分': 5}
{'短评内容': '房间设备有些旧了，房间的面积较大，卫生间的毛巾应该更换新的了。早餐品种比较精致，西湖醋鱼做的味道还算不错。就是房间较为难定，最难受的是早上上班时等电梯，因为大楼里是浙江住京办和大量的写字楼，人员较多。总体还不错', '短评打分': 5}
{'短评内容': '酒店很舒服，服务也不错，总体感觉很好。经常住的地方', '短评打分': 5}
{'短评内容': '该酒店位置不错,但酒店内的设施略显陈旧,早餐花样不多.', '短评打分': 5}
{'短评内容': '前台服务员态度不错，效率还算快。这位置性价比还算可以。', '短评打分': 5}
{'短评内容': '房间面积令人满意，不错。房间设备有些旧了，电视每个房间还不一样。早餐比较满意，总体还不错。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间面积令人满意，不错。房间设备有些旧了，电视每个房间还不一样。早餐比较满意，总体还不错。\n\n', '短评打分': 5}
{'短评内容': '这一间酒店不错，特别是地理位置，有其独特的优势。距离客人要去的安贞医院很近。', '短评打分': 5}
{'短评内容': '楼下的张生记酒楼非常不错。酒店设施略显陈旧，服务还不错。', '短评打分': 5}
