{'短评内容': '（:.&hellip;⋯:&hellip;：一一一一一', '短评打分': 5}
{'短评内容': '床大房间大，工作人员态度很好，总之不错。', '短评打分': 4}
{'短评内容': '酒店位置出行非常方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务很好！干净！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '都挺好的。', '短评打分': 5}
{'短评内容': '酒店挺好的。', '短评打分': 5}
{'短评内容': '服务还可以。', '短评打分': 5}
{'短评内容': '环境非常好，干净，卫生，还会继续入住', '短评打分': 5}
{'短评内容': '住的比较舒服', '短评打分': 5}
{'短评内容': '经常入住有到澳門基本都会住金堡，房間乾淨卫生。', '短评打分': 5}
{'短评内容': '还不错，挺好的酒店。我喜欢', '短评打分': 5}
{'短评内容': '假日酒店第一次入住感覺酒店房間装修太陈旧了，房間卫生做得还是比較干净，床上用品不錯！卫生间冲涼水不是很给力，前台服務不錯。', '短评打分': 5}
{'短评内容': '地理位置很好，楼下不远就是澳门著名的荣记牛杂，还有24小时的餐厅。距离葡京走路大概六七分钟，距离大三巴景点走路十五分钟左右。如果要去氹仔就要走路到永利皇宫坐免费的大巴过去。\n不足之处就是房间比较老旧，如果不是假日酒店标配的洗浴用品真的还挺难相信这是假日酒店，应该是express 级别的。', '短评打分': 4}
{'短评内容': '这个是我遇到过最垃圾的星级酒店，房子规模小得像旅店。', '短评打分': 1}
{'短评内容': '店服务很好，很热情，下次来，还会在来的，房间卫生，够大很舒服的一晚！', '短评打分': 5}
{'短评内容': '房间十分干净，因为入住时间关系，是2个双人大床房，不想等待所以拿了间吸烟房，有烟味，无烟房是严禁吸烟的哟，1至3层为赌场，4M为餐厅，所住楼层需刷卡才能去到，总体满意。', '短评打分': 5}
{'短评内容': '酒店位于住宅娱乐区，周围吃的蛮多。连锁酒店标准一贯，因等了1小时多，所以免费升级了房间。大床房的隔音稍微差些。', '短评打分': 5}
{'短评内容': '地点很不错', '短评打分': 4}
{'短评内容': '不错，环境舒适，酒店漂亮，房间安静宽敞，又干净，服务员的服务挺周到，提出的要求都尽量帮我们解决。下次还去这家酒店。', '短评打分': 5}
{'短评内容': 'Service as always very good and attentive. Rooms are good too', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '经常的订的酒店，可能习惯在你附近', '短评打分': 4}
{'短评内容': '交通方便，房间干净，挺不错的！', '短评打分': 4}
{'短评内容': '服务很好！从港澳码头过去，有班车接送！地理位置方便，出门走几步，就有车站！出门有便利店，吃的地方有很多！推荐', '短评打分': 5}
{'短评内容': '第一次入住是朋友在旅行社帮订，觉得性价比还可以，第二次就还是住他家，真的不错单人床可以睡两个人，不像香港的酒店单人床就真的是单人睡！', '短评打分': 5}
{'短评内容': '还好，国际连锁品牌嘛，反正说不出哪好也说不出哪不好，早餐可以推荐', '短评打分': 5}
{'短评内容': '入住4间房', '短评打分': 3}
{'短评内容': '房间干净就是有味道，没有免费网络不方便', '短评打分': 3}
{'短评内容': '環境不錯,房間很好...交通還算方便,餐廳也很好', '短评打分': 5}
{'短评内容': '酒店服务还不错，除了卫生间其他的设施都还好，酒店的很多员工不会普通话，沟通有些不方便，但前台，总机接线员都能懂普通话。', '短评打分': 5}
{'短评内容': '不错的酒店，会介绍朋友再去的。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错。玩1起来很方便', '短评打分': 3}
{'短评内容': '酒店位置很好,去娱乐场和外出购物非常方便.员工服务态度热情,早餐希望丰盛一些.', '短评打分': 5}
{'短评内容': '地段很好，出行方便。房间里自带两孔220V的插座 很方便。', '短评打分': 5}
{'短评内容': '市中心地带，房间大，价格也便宜，800-1000港币的范围这种房间真的算可以了。', '短评打分': 5}
{'短评内容': '订了2个房间，一间在17楼的比较差，还有一间安排在20几楼的是新装修的，比较好，卫生间很新，房间也比17楼的大。17楼的就比较小，卫生间地砖看上去脏兮兮的，洁具也旧。总体来说还可以。酒店服务也不错，出门去哪里吃喝玩乐，问前台就可以，大致费用也可以问前台。另外酒店有每半小时一班小巴去外港码头。如果去威尼斯人就乘这车去外港码头，然后在外港码头换乘威尼斯人的班车。', '短评打分': 5}
{'短评内容': '酒店的地理位置，环境，和客房都不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的床很舒服', '短评打分': 3}
{'短评内容': '有大巴的接送服务，非常方便。而且服务生国语讲的好，态度也很好。赶到很满意。', '短评打分': 5}
