{'短评内容': '交通方便，价格合适，马路噪音有。态度很好。', '短评打分': 4}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '如果逛瓷器，各种方便，理陶艺街，陶瓷厂走着去就可以。边上亮仔食家更是超赞。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，地理位置很好，环境还可以，好评', '短评打分': 5}
{'短评内容': '环境不错 非常舒适 前台也挺好讲话', '短评打分': 5}
{'短评内容': '走步去陶溪川也很方便', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '发现最近酒店在逐步更新，对一家老店来说真的很用心，冲着这一份为顾客考虑的心情，出差我会一直锁定这家新厂七天。', '短评打分': 5}
{'短评内容': '前台接待服务态度好，客房干净', '短评打分': 5}
{'短评内容': '设施简陋，厕所门上的锁都坏的，烧水的也破的。', '短评打分': 3}
{'短评内容': '符合预期', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '设施齐全，地面有点脏', '短评打分': 4}
{'短评内容': '酒店交通方便，还算干净，服务员态度很好。', '短评打分': 4}
