{'descr': '服务好  房间干净交通便捷', 'star': 5}
{'descr': '房间干净卫生，设施齐全', 'star': 5}
{'descr': '房间干净卫生，服务热情，交通便利', 'star': 5}
{'descr': '房间干净卫生 前台服务热情 通风效果很好 好评', 'star': 5}
{'descr': '房间很干净 舒适。交通便利。服务好。网速快。安全性好。 前台服务技能娴熟', 'star': 5}
{'descr': '房间干净。卫生。服务好。交通便利淋浴水大。 通风好', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '都一样都一样，整体还行，凑合。', 'star': 5}
{'descr': '前台服务热情 房间干净卫生 无线网速流畅 设施设备齐全 周边小吃挺多的 好评', 'star': 5}
{'descr': '随便住住，交通还是蛮方便的！', 'star': 5}
{'descr': '还可以，离地铁有一段距离。', 'star': 4}
{'descr': '不行', 'star': 3}
{'descr': '这附近还是蛮实惠的', 'star': 4}
{'descr': '很干净、住得很舒心。', 'star': 5}
{'descr': '房间还干净，出差住宿还可以，就是没有窗，心里有点压抑，如果有窗户就更好了！服务还是挺好的，距离地铁口也近！', 'star': 4}
{'descr': '廉价型', 'star': 3}
{'descr': '可以停车 挺安静的 睡到自然醒 周边有一些吃早餐的地方', 'star': 4}
{'descr': '出门200米就是11号线，交通挺方便的。楼下有许多小饭店。', 'star': 5}
{'descr': '环境不好 厕所卫生差', 'star': 3}
{'descr': '还行还行', 'star': 5}
{'descr': '稍有点旧，房间空间过小，交通便利，床还算舒服', 'star': 4}
