{'短评内容': '老板做菜味道不错!', '短评打分': 5}
{'短评内容': '老板和老板娘人挺好的，服务热情，周到。我们到的当天，孩子感冒了，老板娘又给建议，又专门给弄吃的，煮的是特产水米线。小孩都很感动，鼓起劲吃了一大碗。感谢满满！回去一定发到朋友圈。', '短评打分': 5}
{'短评内容': '老板娘很热情！面对湖景，不错！', '短评打分': 4}
{'短评内容': '酒店的位置好，就在新华乡，通过导航就能到。距离浪巴铺土林比较近，驾车半个多小时。房间里的设施也比较新。酒店的观景平台非常棒，站在平台上就能看到河尾水库和日出。推荐入住。', '短评打分': 5}
{'短评内容': '酒店距离景区约10多公里，在镇政府旁边，房间很大，卫生也不错，老板娘非常热情，应该是性价比非常高的！可以下午看完夕阳，过来吃住，晚上睡觉也非常安静，满天星星⭐', '短评打分': 5}
{'短评内容': '老板老板娘人都热情，有观景台面对湖，天气好的话可以看日出', '短评打分': 5}
{'短评内容': '在农村乡下，条件已经不错了。卫生和安全都不错。老板娘也很热情。宾馆就在湖边，傍晚还看到一群群白鹭飞到院子下边竹林栖息，非常漂亮。', '短评打分': 4}
{'短评内容': '不太干净被子睡了痒痒的 地方也很难找全是黄泥巴路 离景区也还有一个小时的烂路车程 但是老板娘人奇好', '短评打分': 3}
{'短评内容': '非常满意！干净整洁！值得推荐！', '短评打分': 5}
{'短评内容': '非常好，非常感谢老板娘的早点，比较适合广东囗味。', '短评打分': 1}
{'短评内容': '酒店设施虽简单，但胜在干净卫生，老板娘服务态度超赞，有求必应，推荐！', '短评打分': 5}
{'短评内容': '就在水库边上，景观不错。屋顶有个休息平台，清晨可以观日出，夜晚可以看星星。镇子很小只有两家餐馆，没什么可逛的。', '短评打分': 5}
{'短评内容': '酒店位置很好，楼上有观景阳台，晚上看星星，早上看日出。老板和老板娘都是热情的本地人。最安逸的不愁吃，方便，强烈推荐', '短评打分': 3}
{'短评内容': '环境不错，吃的少，卫生可以，Wi-Fi可以', '短评打分': 5}
{'短评内容': '老板娘夫妇确实很热情，房间打扫得很干净，早饭八元一碗的面条也很好吃，量也足。晚上可以看星空，面对着湖。', '短评打分': 4}
