{'descr': '空调不行。这个价格有些高。', 'star': 3}
{'descr': '屋子大小还凑合，但是，很脏，很老旧，到处都是坡儿，稍微不注意就磕到脑袋，服务员的态度虽然很好，也抵消不了这个房间的质量，洗手池子没热水，电话能免费打国内长途，但是电话机是坏的，杂音很大，总之，不推荐，它的对面就有如家，格林豪泰等连锁，价格稍高一点也比这个强，我很后悔，强烈不推荐\n\n最后走的时候，在床上发现一个类似于蜱虫的虫子，吓死我了', 'star': 1}
{'descr': '住过一晚以后只能用“恐怖”来形容，以后我宁愿露宿街头我也不愿意住这家酒店了。', 'star': 1}
{'descr': '住宿很一般比图片差多了', 'star': 3}
{'descr': '位置不错，交通购物很方便，就是有点旧，电梯里面很破旧的感觉！', 'star': 3}
{'descr': '街边小店…好破…受骗啦…XX你个OO', 'star': 3}
{'descr': '酒店卫生条件很差，除了便宜一点其他一无是处。', 'star': 1}
{'descr': '比较满意.', 'star': 3}
{'descr': '不错，干净，快捷。总体感觉满意。\n早饭品种太少。环境还不错', 'star': 5}
{'descr': '交通方便，还可以，性价比不错，就是前台阿姨服务不是很好，房间里一股烟味。', 'star': 5}
{'descr': '房间布置的很温馨，卫生条件很干净，早餐蛮丰盛的，住着很舒服', 'star': 5}
{'descr': '房间卫生条件很好，蛮干净的，每天都有专门的人过来打扫，房间比较大，住着蛮舒服的', 'star': 5}
{'descr': '酒店周边环境还可以，对面就是商场，购物很方便，房间装修的比较现代，硬件设施很齐全，价格合理', 'star': 5}
{'descr': '酒店总体一般。服务态度还行。有的房间很吵，有的很安静。要看运气。', 'star': 1}
{'descr': '酒店处于市中心，交通出行蛮方便的，性价比也比较高，住宿环境还可以', 'star': 5}
{'descr': '酒店位置还可以，在市中心，离火车站不远，交通比较便利，卫生条件挺好，蛮干净的，住宿环境不错', 'star': 5}
{'descr': '太吵了,而且也太旧了,不推荐去.', 'star': 3}
{'descr': '实在是不怎么样的酒店。 再也不住在这家旅店了。 ', 'star': 1}
{'descr': '地段较好，去旅游景区很方便哦，附近都有到各大景区的公交。\n性价比还行。如果你是会员的话就更好了。住10天送一天，呵呵。', 'star': 5}
{'descr': '很一般 不推荐 楼下很吵', 'star': 1}
{'descr': '靠马路，吵杂，唯一可推荐早餐不错，这样的经济型店有这么个早餐不错。一种豆沙糕尽管冷的，但口感真的不错，唯一记得的东西。牛奶一点奶味没有，估计是奶粉加开水产物，不会有三鹿吧，我突然想起来了', 'star': 1}
{'descr': '靠马路，吵杂，唯一可推荐早餐不错，这样的经济型店有这么个早餐不错。一种豆沙糕尽管冷的，但口感真的不错，唯一记得的东西。牛奶一点奶味没有，估计是奶粉加开水产物，不会有三鹿吧，我突然想起来了', 'star': 1}
