{'短评内容': '很不错，很人性化', '短评打分': 5}
{'短评内容': '酒店位置挺好找的，我们拿着行李提前入住，老板娘态度炒鸡棒❤', '短评打分': 5}
{'短评内容': '同事说还可以吧', '短评打分': 5}
{'短评内容': '老板娘人很热情，附近交通方便，去景区都不算太远。', '短评打分': 5}
{'短评内容': '不错，价格便宜，', '短评打分': 3}
{'短评内容': '地段好 但是环境还是不如连锁的满意', '短评打分': 4}
{'短评内容': '酒店位于市中心，地理位置优越，出行很方便，性价比非常高。旁边就是食街，吃饭很方便。老板服务很好，很主动提供咨询。', '短评打分': 5}
{'短评内容': '隔音效果不好，有一台电脑，房间里面有点脏，其他的，还行。', '短评打分': 2}
{'短评内容': '挺好，挺干净', '短评打分': 5}
{'短评内容': '酒店服务态度很好，而且旁边就有小吃街，位置还可以。', '短评打分': 5}
{'短评内容': '位置好，每次去客户处都住这儿', '短评打分': 5}
{'短评内容': '老板是个热心肠，少收了我4块??', '短评打分': 5}
{'短评内容': '位置不错，价格也很合理，隔音比较好', '短评打分': 4}
{'短评内容': '地理位置挺好 卫生挺好 其它一般吧 毕竟只是住一晚没有太高的要求这个价钱已经不错了', '短评打分': 4}
{'短评内容': '酒店环境很好，出门左转就是小吃巷，出门就有站台交通也方便！老板娘人很好，原本订的大床房给我免费升了豪华圆床！感谢，果断五星好评！感觉唯一的不足就是没有窗户，有点闷…', '短评打分': 5}
{'短评内容': '服务态度不错！', '短评打分': 5}
