{'短评内容': '房间大 就是装修老旧', '短评打分': 5}
{'短评内容': '服务好，环境卫生等都不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '全家出游很便利、有免费停车场:，旁边文清路、到八镜台也不远、好评', '短评打分': 5}
{'短评内容': '很不错方便:，服务也好:，免费停车赞', '短评打分': 5}
{'短评内容': '酒店位置不错，在厚德路上，一中附近，周边吃东西方便。酒店门不大，进来一个小院子可以停车，但车位不多，如果停满只能选择路边停车位。房间在2楼，临街的方向，有点吵闹。光线不好，灯光也差，有点抠门，弄个看得清的灯也不难啊！厕所比较宽敞，但马桶盖快松脱了！墙纸破旧发霉，卫生看着不太好。拖鞋也不是一次性的，看着有点恐怖，纸也是最差的，很粗糙！总体来说，除了方便，没有啥性价比。不推荐！', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '。。。。一二三', '短评打分': 5}
{'短评内容': '空调冬天也跟着吹冷风我也只能呵呵了！', '短评打分': 3}
{'短评内容': '和父母自驾游在赣州凑合一夜！有个停车场很方便！旁边有炒菜！早饭有家牛肉汤味道很不错', '短评打分': 4}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '嗯', '短评打分': 4}
{'短评内容': '酒店设施有点陈旧，卫生方面也只能呵呵了，不过价位摆在那里，只能说一分钱一分货，不能要求太高，你们懂的。。', '短评打分': 3}
{'短评内容': '酒店位置挺好的，离文清路、钓鱼台不远，周边餐饮购物都挺方便的，就是酒店的设施比较陈旧了，卫生感觉一般，但网速还是很快的', '短评打分': 4}
{'短评内容': '还好，住两次了，出行方便。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，就是有点小，而且在携程订好像还更贵', '短评打分': 4}
{'短评内容': '去参加考试，住的一楼，蛮安静的。出门往左有很多小吃店蛋糕店。性价比高。', '短评打分': 4}
{'短评内容': '在网上预订的房间都是顶层的，还没有电梯。比酒店标价更贵。如我在网上预订的这家酒店的远景房是125，酒店自己的标价是110，还可以打折。总之，太一般了', '短评打分': 1}
{'短评内容': '蛮干净的，空间大，床大，卫生间也大，舒服，就是没电梯，，遗憾', '短评打分': 5}
{'短评内容': '空调不给力，马桶还堵了，刚去那会儿连浴巾都没放', '短评打分': 1}
{'短评内容': '相当细心的服务。住得很舒心。卫生很好。而且是下午三点退房。', '短评打分': 5}
{'短评内容': '住的3号楼靠近街道，有点吵，还没有电梯。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '房间打扫还是挺干净的装修时间也不是很长，就是房间不是很大，服务态度还好，酒店位置也是很好找，价格也是很合理的。', '短评打分': 5}
{'短评内容': '酒店性价比较高。', '短评打分': 3}
{'短评内容': '酒店不错，处在老城市区！环境也算安静且干净！只是前台服务不够人性化！变更房间类型的时候非常麻烦。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，闹中幽静，离商业区不远，步行可到', '短评打分': 5}
{'短评内容': '服务非常好，环境也非常舒适，性价比绝对高，下次还要住，', '短评打分': 5}
