{'descr': '很好房间很干净，服务态度也不错，价格适中经济实惠会再来的', 'star': 5}
{'descr': '大冷天居然没有暖气，靠吹空调取暖，想洗个热水澡吧，洗手间居然发现蟑螂在墙壁上爬。害的睡一夜就感冒了，最要命的是靠近马路，一夜过往车辆能吵死你，酒店位置可以，交通方便，周边配套齐全。', 'star': 1}
{'descr': '酒店的位置不错，周边都是大学。吃饭也方便。酒店内也干净整洁。与网上描述的一致。交通方便，里地铁口很近。。', 'star': 5}
{'descr': '交通方便，服务好，很干净。', 'star': 5}
{'descr': '又一次出差订的酒店，位置不错，交通便利，离地铁很近，还挺方便的。总体感觉不错，房间也够大，还卫生干净。', 'star': 5}
{'descr': '卫生条件烂到爆。。。不会再住七天', 'star': 2}
{'descr': '。。。。。。', 'star': 5}
{'descr': '房间干净，周围比较安静，房间有点小，不好挂衣服。', 'star': 5}
{'descr': '非常好的京东酒店服务，既经济又实惠。', 'star': 5}
{'descr': '很不错哦环境好', 'star': 5}
{'descr': '房间太小了，楼顶也太低。不值这个价钱', 'star': 2}
{'descr': '挺好要是床没有异响就好了', 'star': 5}
{'descr': '不错挺好，就是床有异响，不敢动作太大', 'star': 5}
{'descr': '干净 附近交通方便  公交出门就是  早餐就在酒店旁', 'star': 5}
{'descr': '一直住在这里 除了房间小一点之外别的都挺不错的', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '太棒了非常非常棒', 'star': 5}
{'descr': '性价比非常好的酒店，希望继续努力多多优惠，谢谢！', 'star': 5}
{'descr': '性价比挺高，服务也不错。', 'star': 5}
{'descr': '挺好的，的，入住方便', 'star': 5}
{'descr': '挺不错的哈哈哈哈', 'star': 5}
{'descr': '不怎么样', 'star': 1}
{'descr': '很好，交通方便，房间也不错。', 'star': 5}
{'descr': '因为连锁酒店的服务还有设施到位，所以即使及格偏贵也选择这个，房间很干净舒适，烧水壶什么的很满意，但是这个房间的浴室顶棚有点低，一不小心容易磕头，上次的还可以。不知道为什么这次没有放毛巾，懒的下楼要了。还是非常满意的!', 'star': 5}
{'descr': '代朋友预订，没听朋友抱怨什么', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '很好哦！交通也方便', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '一般般吧，不过在那个位置这个价位也还好吧。。', 'star': 4}
{'descr': 'f服务一般，设置一般', 'star': 3}
{'descr': '没有毛巾！没有毛巾！没有毛巾！醉了', 'star': 3}
{'descr': '地理位置、周别环境尚可，房间环境与价位自认有点偏高，无洗簌用品，外人可随意进入有待改善。', 'star': 4}
{'descr': '条件一般，不过服务态度很好！', 'star': 5}
