{'descr': '酒店不错，房间大，不过在八层的房间有点热，有点异味！', 'star': 5}
{'descr': '挺好的！哈哈大，有空调', 'star': 3}
{'descr': '比较便宜  质量凑合吧 满足基本条件  和价格相匹配吧', 'star': 5}
{'descr': '服务热情，房间干净。地理位置较好。大床房很温馨', 'star': 3}
{'descr': '出差定的是特价大床房，有窗户还不错，装修有点久，但是这个价钱也就这意思了，第三天换了一个房间还是不错的，挺干净的，比上一个好。不知道是什么原因，入住的那几天有黑客入侵酒店的网络，弄的有一天晚上上不了网，应该注意呀，但是整体感觉还是不错的。', 'star': 5}
{'descr': '值这个价！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '值这个价！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '值这个价！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '房子很宽敞，不错', 'star': 3}
{'descr': '房间够大，设施也还行。只是有点味儿，卫生需要加强', 'star': 5}
{'descr': '宾馆性价比一般，房间大，早餐不给力，鸡蛋限一个，早餐券再多，也是一个。房间内电视信号不是太好。一百元价格的房间还不能刷卡。', 'star': 5}
{'descr': '地毯看起来比较脏，墙皮掉落也没有修缮，总体感觉设施比较陈旧', 'star': 1}
{'descr': '帮公司出差的同事订的，住了5天，据说还不错，还很经济。', 'star': 5}
{'descr': '房间挺大，比较安静，卫生间也很大，就是卫生纸很少，另外就是浴巾和毛巾质量很一般。其他都还不错。', 'star': 5}
{'descr': '地方不错，环境还可以，房间比较宽敞，值得入住', 'star': 5}
{'descr': '价格还算可以,酒店设施一般,在修路，不方便出行', 'star': 1}
{'descr': '老实说这个价格没什么好挑剔的，不过房间烟味确实太重了。。。。148也就这样吧', 'star': 5}
{'descr': '房间的空气质量、环境、设施、卫生条件都不敢恭维：墙皮脱落，房屋给人感觉比较阴暗，蚊子多，还好有电蚊香；空调漏水漏了一枕头，旁边的地面也湿了，都不知道怎么渗出来的：（；浴室和马桶都不太干净；毛巾有些泛黄发黑；网络很慢，都不如手机快；电视看上去SONY的薄的不错，但收台不多，频道转换慢；床垫能感觉到很硬的弹簧，大家注意安全，小心膝盖；提供早餐，但实在没啥好吃的，晚去点鸡蛋也没了。第一次去太原，或许其他', 'star': 1}
{'descr': '环境很不好 有一股霉臭的味道，毛巾也有味道，网络堪比蜗牛，电视只有十来个台，太不给力了。下次绝对不能来。', 'star': 1}
{'descr': '设施还可以，，服务态度好，出门方便，坐车方便。', 'star': 5}
{'descr': '设施还可以，服务态度好，出门方便，坐车方便。', 'star': 5}
{'descr': '房间真是很宽敞,有沙发茶几,桌椅.服务也不错.以后还来住.', 'star': 5}
{'descr': '退房的时候停电，没有打印发票，留下地址，说是邮寄给我。时至今日，我已经打了四次电话，先说是邮寄了，后说不是她当班不知道，留下我的手机号，一定打给我。票没有收到，电话没有接到。这辈子都不会住这家了。', 'star': 1}
{'descr': '住了一天又继续入住的，价格划算，便宜，家里设施一般，该装修了。', 'star': 5}
{'descr': '还不错\rFrom：孙瑞祥', 'star': 3}
{'descr': '酒店安静 交通方便 服务较好 可以选择 来入住吧', 'star': 5}
{'descr': '本酒店服务不是很好，主要是地段好，价格便宜，很实惠；', 'star': 5}
{'descr': '还算可以吧，性价比比较高，就是床比较硬，不是软床，还好啦。', 'star': 5}
{'descr': '房间很大，但感觉不是很干净。第一次见洗手池在房里的宾馆···', 'star': 1}
{'descr': '十酒店位置不错,出入方便。酒店卫生有待加强。', 'star': 3}
{'descr': '距离火车站，车站都不是很远，酒店卫生很干净，服务也很好！', 'star': 5}
{'descr': ' 环境很不错 很满意', 'star': 3}
{'descr': '环境很好，房间很大，但是中午居然断电了，正是热的时候', 'star': 5}
{'descr': '比较干净，位置也不错，总体还行，值得推荐！', 'star': 5}
{'descr': '价格经济，房间味道重，刚开始给我个最差的屋子，里面有刺鼻的臭味，后来一间还可以，房间很大，设施陈旧，墙皮脱落，如果翻新一下还是很有档次的。', 'star': 1}
{'descr': '我已入住两标房，房间很大、卫生再改进就更好了', 'star': 3}
{'descr': '总的来说还可以,就是隔音有点不好,呵呵.房间收拾的不够勤,应该每天一次吧!', 'star': 5}
{'descr': '酒店的环境不错的，服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。\n\n', 'star': 5}
{'descr': '好不错服务好房间好人员热情喜欢下次一定继续去', 'star': 5}
{'descr': '还不错，总的来说还算是不错的，以后还会定吧', 'star': 5}
{'descr': '设施简单陈旧，电视没几个台可以看，不会再来了，不好。', 'star': 3}
{'descr': '已入住,还可以,返的30元在哪里?忽悠', 'star': 3}
{'descr': '酒店太破，床太硬，一点不值这个价，性价比太低。第二天换金广了。', 'star': 1}
{'descr': '位置还可以，内部装饰一般般，卫生条件需要加强。', 'star': 5}
{'descr': '实在是太旧了，一股霉味，房间格局很奇特，隔音差，电视收不到几个台，连CCTV5都没有', 'star': 5}
{'descr': '环境好，交通便利不用说了。室内空间大，大床房内还有专门的会客角，贴心呀。价格也是适中的说。浴室的花洒我也爱，最喜欢里面有考虑客人的口味准备的两款茶叶。我喜欢这些小细节。', 'star': 5}
{'descr': '酒店有些陈旧还没有早餐。服务还不错。', 'star': 3}
{'descr': '内部装修很旧，洗澡水流大，价格便宜', 'star': 3}
{'descr': '大床房的布局挺新颖的，给人感觉房间很大，虽然房间老旧点，但在这个省会城市，这个价格已经算比较地道的，性价比不错。', 'star': 5}
{'descr': '房间很大，隔音很差，床板很硬，木有wifi', 'star': 1}
{'descr': '性价比很不错，交通也很便宜，里火车站很近，，，！房间很大，洗澡水很给力', 'star': 5}
{'descr': '这次入住的是特价房，相比四楼的大床房还是差点档次。\n特价房没有席梦思软垫，仅是10cm的床垫有点硬，不过还凑合。\n维客商务酒店还是挺不错的！推荐各位朋友入住！', 'star': 5}
{'descr': '还不错。     位置很好，落地窗感觉很舒服的。。。', 'star': 5}
{'descr': '环境一般 觉得不是很干净 但一分价钱一份货嘛', 'star': 1}
{'descr': '挺好，干净，值得去.....  服务也好', 'star': 5}
{'descr': '卫生间洗澡不是很好,排风扇是坏的.洗了衣服不干,服务部怎么样,屋内设施太老旧,不过也对得起这个价格了', 'star': 5}
{'descr': '又旧又脏，桌子上一层灰，看着哪都不舒服，住过的最烂的地方', 'star': 1}
{'descr': '比较干净，就是隔音不太好，隔壁电视都能听见', 'star': 5}
{'descr': '标准间住起来还是挺不错的，床比较大。但是隔音效果不是很好。', 'star': 5}
{'descr': '不错，环境还可以，下次还会入住，地段挺好', 'star': 5}
{'descr': '总体还不错~~就是位置有点偏，下次还会去~~~~~', 'star': 5}
{'descr': '房间挺大的，交通也方便，就是卫生条件要加强点\n', 'star': 5}
{'descr': '位置不错，而且价钱很合理，很值这么个假。条件也很不错，最起码干净整洁！', 'star': 5}
{'descr': '还可以，对得起价钱', 'star': 3}
{'descr': '交通便捷，距离太原火车站打车10元左右。', 'star': 5}
{'descr': '房间很大！价格很实惠！！地理位置也不错！哦哦 ', 'star': 5}
{'descr': '房间太差！不干净！！不隔音隔壁的客人打呼噜我都能听得见！！不推荐！！', 'star': 1}
{'descr': '装修风格非常有格调，房间也挺大，我很喜欢', 'star': 5}
{'descr': '酒店风格独特，这个价格比较合适。推荐入住', 'star': 5}
{'descr': '交通方便交通方便交通方便交通方便交通方便交通方便', 'star': 5}
{'descr': '常住，交通方便，服务也不错。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境设施一般，房间内有霉味。', 'star': 3}
{'descr': '网速不行，网页都打不开', 'star': 4}
{'descr': '位置还可以，但是房间一般般（特价房），墙壁表面有大面积的严重脱落，刚进来时七只灯只亮了俩，后来倒是都换了灯泡，换灯泡的师傅态度也还不错。电话机、桌面上还有一层灰。网速也不敢恭维。另外木质原色家具看起来不错。', 'star': 1}
{'descr': '凑合吧，太原价格较贵，但是房间一般，都这样', 'star': 5}
{'descr': '不错  价格实惠', 'star': 3}
{'descr': '环境一般，总体卫生一般，姑且能住。有少量停车位。屋内可见比较明显的头发在地上，墙皮脱落明显，有霉味，有窗的房子通风尚可。房型为日式榻榻米类型，床旁边台阶落差较大，晚间上下床有一定安全隐患。上网速速还成。148的价格，不如去住格林豪泰或者7天。', 'star': 1}
{'descr': '还不错，基本来太原就住这里，交通比较方便，就是房间里的墙皮要修一下就好了。', 'star': 5}
{'descr': '一塌糊涂，尤其是边角房，我要不是没有时间，我宁愿入驻招待所也不愿意住，要求换房，我知道那么多间空的就不给换，而且服务态度超差的，墙壁都脱落了。不提了 反正不能住，我觉得和旅社差不多！！！！', 'star': 1}
{'descr': '酒店还行，周边便利，房间不错。', 'star': 3}
{'descr': '房间还行，就是前台服务员没什么笑容', 'star': 3}
{'descr': '酒店经济实惠，房间干净。服务也还可以。就离火车站不是特别近。', 'star': 5}
{'descr': '还行。价位在150以下可以考虑的一个酒店。距离火车站汽车站挺近，打车坐公交都可以。', 'star': 5}
