{'短评内容': '东方海港很干净', '短评打分': 4}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '早餐还不错，但没有以前种类丰富。', '短评打分': 4}
{'短评内容': '不错，每次都住这里。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '在！在这里的？这？这个时候的自己？这是要把这种事件发生在', '短评打分': 4}
{'短评内容': '出差一直住，酒店干净而且安静，相关设施也不错', '短评打分': 5}
{'短评内容': '价格合适', '短评打分': 4}
{'短评内容': '装修还比较新，房间大，挺好！缺点是，大门口没人开门，好歹得站个人在哪里吧！', '短评打分': 5}
{'短评内容': '不错，出差住的，一直住这边，就是每天都要刷押金有点小烦', '短评打分': 5}
{'短评内容': '早餐挺丰富的！服务也不错，地段好，不会吵！', '短评打分': 5}
{'短评内容': '环境不错，各个方面比较满意，下次还会入住。\n\n', '短评打分': 5}
{'短评内容': '酒店很时尚，服务也很热情，位置就在市区。唯一缺点就是房间烟味很重。', '短评打分': 5}
{'短评内容': '房间非常宽敞干净，配置丰富，早餐中西种类繁多，选择颇多。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，适合自驾一族，下次还会入住。', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务人员也很热情，来北仑的常住酒店', '短评打分': 5}
{'短评内容': '北仑地区环境最好的酒店，比老板娘新光大酒店的新。', '短评打分': 5}
{'短评内容': '不错的酒店 设施挺新的 干净整洁 服务也不错', '短评打分': 5}
{'短评内容': '北仑地区性价比不错的酒店，房间干净整洁，前台的效率有待提高，自助早餐的品种少了点，总体来说还算不错，值得推荐。', '短评打分': 5}
{'短评内容': '是北仑地区一个相当不错的酒店,周边还比较热闹.晚上的海鲜自助餐还是比较丰富的. 有机会还会来住. ', '短评打分': 5}
{'短评内容': '北仑地区不错的酒店，房间设施完备，酒店设施略少了些，服务质量待提高', '短评打分': 5}
{'短评内容': '酒店很新，服务很热情。设施很好，就是我的房间烟味很重。', '短评打分': 5}
{'短评内容': '这家酒店很新，我每次出差去北仑总是喜欢订这家酒店。服务很好，设施有时代感。这次就是房卡出点小错误。不过还是纠正过来了。', '短评打分': 5}
{'短评内容': '入驻的是豪华大床房，第二天中午退房时，将笔记本电源适配器忘到酒店里了。从宁波南站冒雨打车回去寻找，酒店居然告知，没有看到。富士通笔记本的电源线，别人留着又有何用！太黑了吧。奉劝朋友们入住小心，别忘东西，否则有丢无回。', '短评打分': 1}
{'短评内容': '很满意，几乎没什么缺点，干净、舒适，设施很现代化，触摸屏的开关是亮点，酒店的早餐很丰富，下次一定还会入住。', '短评打分': 5}
{'短评内容': '服务挺好！自助餐品种也很齐全，用餐环境很舒服！', '短评打分': 5}
{'短评内容': '一如既往，非常满意。', '短评打分': 3}
{'短评内容': '酒店不错硬件设施很好', '短评打分': 3}
{'短评内容': '房间装修非常新、空间很大。还有浴缸可以泡澡！前台服务特别亲切', '短评打分': 5}
{'短评内容': '酒店的装修很新、设备很齐全。只是没有健身房等休闲设施，比较无聊。不过，旁边很多足浴店非常方便。', '短评打分': 5}
{'短评内容': '非常好，基本上都会住这里。非常舒服。...', '短评打分': 5}
{'短评内容': '东方海港真的很不错的酒店，房间特别大，就是前台再提速点就好了，另外早餐需要改进，不怎么样。', '短评打分': 3}
{'短评内容': '酒店很新，服务很热情。房间也很干净。就是烟味太重。', '短评打分': 5}
{'短评内容': '酒店房间整理的很干净，很舒服。冬天房间要是放点润肤霜比较好，冬天皮肤干燥。\n另外，希望礼宾部人员早上给叫正规出租车，不要叫黑车。出了交通事故谁负责，\n你们酒店负担吗？估计不太可能。', '短评打分': 5}
{'短评内容': '不错，下次还会在来，附近走5-10分钟有吃的。有赠送水', '短评打分': 5}
{'短评内容': '酒店设施很新，位于区中心，很方便，每次到北仑都是订这家酒店。', '短评打分': 5}
{'短评内容': '硬件设施超好，早餐撤的太早，小酒店作风 。', '短评打分': 5}
{'短评内容': '北仑性价比最高的酒店', '短评打分': 3}
{'短评内容': '酒店设施还不错，就是房间隔音效果不好。', '短评打分': 3}
{'短评内容': '酒店新，早餐丰富。四星级的价格，四星级的享受！', '短评打分': 5}
{'短评内容': '来宁波北仑就住这酒店，房间服务都好', '短评打分': 3}
{'短评内容': '旁边都是足浴啊！九酒店很不错，吃到还算方便', '短评打分': 5}
{'短评内容': '喜欢 房间很干净 也很大 离办事的地方很近，以后还住这', '短评打分': 5}
{'短评内容': '很宽敞 我喜欢 旁边还有海鲜一条街 算不错了', '短评打分': 5}
{'短评内容': '还不错，老板每次去都指定住这个酒店，性价比还比较高，关键离工厂比较近，方便\n\n', '短评打分': 5}
{'短评内容': '还不错，老板每次去都指定住这个酒店，性价比还比较高，关键离工厂比较近，方便', '短评打分': 5}
{'短评内容': '装修比较新，挺干净的，早餐不错。\n这次住的房间旁边是中餐厅，吃饭的时间段鼓风机噪音有点大。', '短评打分': 5}
{'短评内容': '非常不错，早餐很丰盛，中西餐都有，西点、面包，有的还是现做的，且\n离客户那里只有2公里\n感觉还不错 新修的酒店\n', '短评打分': 5}
{'短评内容': '还不错，离工厂比较近，交通也还算方便，性价比也还好，反正下次来宁波，还住这。', '短评打分': 5}
{'短评内容': '很不错，性价比高，房间也比较大，交通也还可以，下次去宁波，还住这间酒店', '短评打分': 5}
{'短评内容': '设施还可以，设计一般，价格偏贵，附近没有超市，遥控器只能控制1米距离。毛巾啊，卫生纸啊，都是普通的。', '短评打分': 5}
{'短评内容': '房间还不错，就价格高了一点，早餐一般，希望早餐好一点。', '短评打分': 5}
{'短评内容': '海港东方在北仑算是很不错的酒店了。房间比较新，交通比较方便。', '短评打分': 5}
{'短评内容': '干净整洁，房间也很新，地理位置好，以后还会来住。', '短评打分': 5}
{'短评内容': '房间比较新,不错', '短评打分': 3}
{'短评内容': '酒店挺好的，服务设施环境都可以，交通也挺方便的', '短评打分': 5}
{'短评内容': '客人来了必订的酒店，在北仑算是很不错的，交通方便，酒店设施也不错，值得一住', '短评打分': 5}
{'短评内容': '床睡得蠻舒服的，最近自助餐好像也變好吃了', '短评打分': 5}
{'短评内容': '多次去北仑都住这个酒店，房间不错，干净卫生，客房服务上乘，前台服务也不错，建议改善餐厅服务，服务水平继续提高，特别是早餐品种比较单调', '短评打分': 5}
{'短评内容': 'everything is good for me..', '短评打分': 5}
{'短评内容': '经常来北仑出差，第一次入住海港，总体感觉满意，服务态度也很好。早餐品种方面需要再提高点', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高，帮别人定的，下次还是会来住！', '短评打分': 5}
{'短评内容': '还不错，挺干净的，下次来还会住的！房间是差不多四星的了。', '短评打分': 5}
{'短评内容': '酒店的服务态度不好，我去登记的时候中间这个服务员的态度非常不好，是9月22下午和9月23的班，这个要好好的改善一下', '短评打分': 5}
{'短评内容': '不错得酒店 价格合适 性价比高 干净 50字50字50字50字50字50字50字50字50字50字50字50字50字50字', '短评打分': 5}
{'短评内容': '好不错 早餐ok 房间很新  位置也还可以  周围足疗的店不少~  为啥非要50字为啥非要50字为啥非要50字为啥非要50字为啥非要50字为啥非要50字为啥非要50字为啥非要50字', '短评打分': 5}
{'短评内容': '非常不错，早餐很丰盛，中西餐都有，西点、面包，有的还是现做的，且\n离客户那里只有2公里\n感觉还不错 新修的酒店\n舒服极了哦\n下次还住这里', '短评打分': 5}
{'短评内容': '宁波海港东方酒店酒店位置很方便找，同三高速下来沿泰山路到长江路左转再走一段即到。只是要注意同三下来时匝道口要走舟山方向，那个指示牌有点迷惑，我们朝泰山路方向下去结果开去了反方向，离长江路越走越远。酒店很简洁，但是设施都很新，开关果然都是触摸式的。只是不知道为什么北伦这样的地方酒店价位也要这么高', '短评打分': 5}
{'短评内容': '不错的酒店，各方面都不错。就是退房时间太死板了。现在酒店都是2点的。挺干净，设施也挺好。\n\n就一点不太好，早饭在底楼自助餐厅用餐，本人中午也在那里用餐，感觉就是一样的菜，就是中午比早上多一些而已。\n\n建议有一个点餐的餐厅。', '短评打分': 5}
{'短评内容': '酒店不錯，附近吃的地方很多，只是這銀行也太多了吧。因為除了銀行和洗腳的之外，沒有什麼特色了。下次來的話，會再來住。因為CP值不錯', '短评打分': 5}
{'短评内容': '整体上还干净，床品也舒适，房间够大，设施很新。早餐一般，出门打车很难，不过这是宁波的通病.周边吃饭地方很多，但一个人没啥可吃的，自助餐比较贵，和早餐没啥区别。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，酒店装潢不错，早餐也可以，价位也合适，离海港乐园很近，但是那个乐园很垃圾，大家千万不要去那里玩，酒店附加有美食一条街', '短评打分': 5}
{'短评内容': '酒店不错.\n宁波海港东方酒店地处北仑区黄金地段、繁华的商业中心，位于长江路和明州路的交叉口，紧邻金汇百货、太平洋大厦及宁波港大厦。酒店前往普陀山的大榭客运码头开车只需半小时。', '短评打分': 5}
{'短评内容': '每次到北仑都是喜欢订这家酒店。酒店比较新，服务员很热情。位置就在繁华地块。能符合出差需要。', '短评打分': 5}
{'短评内容': '酒店不错，进去以后吓一跳觉得房间挺好，就是早餐应该再丰富一些，这样会更好', '短评打分': 5}
{'短评内容': '酒店挺不错的，价格也还好，推荐一下，希望继续保持', '短评打分': 5}
{'短评内容': '交通方便，离美食一条街很近，酒店环境也不错，挺安静的', '短评打分': 5}
{'短评内容': '酒店位置佳，交通方便，环境也比较安静，也还挺新的，挺好', '短评打分': 5}
{'短评内容': '豪华间比普通标准间要好很多， 酒店地点很不错， 很方便吃喝玩乐。 ', '短评打分': 5}
{'短评内容': '不错的酒店，各方面都不错。就是退房时间太死板了。现在酒店都是2点的。', '短评打分': 5}
{'短评内容': '挺干净，设施也挺好。\n\n就一点不太好，早饭在底楼自助餐厅用餐，本人中午也在那里用餐，感觉就是一样的菜，就是中午比早上多一些而已。\n\n建议有一个点餐的餐厅。', '短评打分': 5}
{'短评内容': '门面不怎么样，大厅也很小，但是房间很不错', '短评打分': 5}
{'短评内容': '酒店门口标识不清晰，没有看到明码实价标牌，酒店档次不详，周边环境可以，房间设施还行。', '短评打分': 3}
{'短评内容': '公司大老板没次来都会选择这个酒店，交通很方便，环境也比较安静，在北仑这是个很不错的酒店', '短评打分': 5}
{'短评内容': '去北仑以前住老板娘，现在都住这家了，早饭也比以前好了，，', '短评打分': 5}
{'短评内容': '，酒店服务一如既往的不错，但是隔音有待加强', '短评打分': 3}
{'短评内容': '整体感觉不错。\n躺在床上，床头灯光一打，看到了墙壁上的灰尘。\n细节还是应该再做好点。', '短评打分': 5}
{'短评内容': '豪华房要比普通房档次提高很多。性价比要高一些。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店不错,早餐挺丰富.就是周边吃饭的地方少了点.', '短评打分': 5}
{'短评内容': '不错啊，值得推荐，干净，整洁。。。。。。。。。。\n', '短评打分': 5}
{'短评内容': '洒店不错，早餐挺丰富。提出一点小建议，前台结账太慢。', '短评打分': 5}
{'短评内容': '宁波这家酒店不错，下次还会选择 ', '短评打分': 3}
{'短评内容': '酒店非常好，自助餐厅品种多。', '短评打分': 3}
{'短评内容': '还不错！酒店比较干净,卫生。就是有点小贵。', '短评打分': 5}
{'短评内容': '帮同事订的，评价不错，价格也挺好，以后到宁波还住他家', '短评打分': 5}
{'短评内容': '帮同事订的，评价说不错，值得推荐，价格也挺好，以后到宁波还去他家住', '短评打分': 5}
{'短评内容': '大堂太小，房间比较新。地理位置优越，下次还会入住。', '短评打分': 3}
{'短评内容': ' 很不错的地方，物有所值的宾馆。', '短评打分': 3}
{'短评内容': '住宿环境不错，唯一遗撼的是酒店无购物超市', '短评打分': 5}
{'短评内容': '酒店很新，每次去宁波出差总是喜欢选这家。开关是触摸式的。早餐也很丰富。附近就是商场，购物也比较方便。', '短评打分': 5}
{'短评内容': '准四星，同老板娘酒店是几乎一样的价格，但是早饭稍微逊色。老板娘有房的情况下，不会选择该酒店。', '短评打分': 5}
{'短评内容': '因为我们的供应商在北仑。第一次去是住在另外一家酒店 ，虽然也是星级酒店。但有点旧。今年2月份我又去，重新在网上选了，这家宾馆比较新。里面的电器开关是触摸式的。房间也很大。早餐不错，值得选择。', '短评打分': 5}
{'短评内容': '结束宁波的工作行程，在东方也住了有几十个晚上了。不错的酒店，以后来北仑还会住这里。', '短评打分': 5}
{'短评内容': '第二次入住，仍然很满意，刘先生', '短评打分': 3}
{'短评内容': '应该属于北仑比较不错的酒店里，服务不错，东西落在酒店，还能找到，给快递回来', '短评打分': 5}
{'短评内容': '這是我們第二次住進來了，明天的早餐希望可以有變化一些，因為上次住四天，都是一個樣子，說真的啦。只有早餐有問題，其它都ok啦。', '短评打分': 5}
{'短评内容': '酒店位置ok。內裝ok。價格ok。服務也ok。唯一不ok的是早餐。因為我離關門半小時前去吃，老實說，沒有什麼東西了', '短评打分': 5}
{'短评内容': '酒店很高檔，又離美食街很近，所以很方便。下次還會再來住，如果說唯一的問題的話，是這的早餐，我吃了三天，好像沒有什麼變化。', '短评打分': 5}
{'短评内容': '宁波海港东方酒店喜欢这里的枕头，睡得很好。也可能是太累的缘故吧。\n\n住了好几个星期了，跟服务人员也都眼熟了，会热情的招呼我~ 不错。\n\n常住客是否能送点增值服务啊？\n\n我也一樣哦', '短评打分': 5}
{'短评内容': '为了我的消费券，每周都要来点评一次。\n每个星期过来住，住了快一个月了。感觉还不错。\n不过早餐已经吃腻了，希望能多一些品种花样。', '短评打分': 5}
{'短评内容': '不錯的酒店。價格尚可。下次出差還會再來住這裡的。\n唯一問題是，附近好像都是銀行，沒有地方可以走走的。', '短评打分': 5}
{'短评内容': '喜欢这里的枕头，睡得很好。也可能是太累的缘故吧。\n\n住了好几个星期了，跟服务人员也都眼熟了，会热情的招呼我~ 不错。\n\n常住客是否能送点增值服务啊？', '短评打分': 5}
{'短评内容': '已经住了三个星期了。还要继续住一段时间。\n跟他们想谈常租一个月的价格，不过好像没什么优惠。\n\n这个星期总算订到商务大床房了。', '短评打分': 5}
{'短评内容': '海港东方酒店房间设施还算可以，床很舒服，酒店娱乐等辅助设施少了点，一楼自助餐质量还行，如果能给住客更大的优惠就可以了。酒店离美食街很近，不过外出打车不方便，不驾车的朋友要注意了。酒店价钱不算太便宜，不过宁波总体水平就高，所以海港东方还是值得推荐的。', '短评打分': 5}
{'短评内容': '从大榭去普陀，住北仑，这家算是当地不错的一家酒店，位处北仑中心城区。难怪这家酒店到了晚上酒店的西餐厅，中餐厅都爆满，很同情北仑人民，除去这家酒店外，周围转转实在没有什么其他的休闲设施了。', '短评打分': 5}
{'短评内容': '这次又是订不到大床房，只好升级订了豪华大床房。有这么热门吗。。。\n住的很舒服，喜欢他们家的枕头。\n\n就是电视机小了点，还只是720P高清。接上HDMI玩游戏，得坐的比较近。\n\n早餐品种要改善了啦。', '短评打分': 5}
{'短评内容': '看着好像很不错的样子，还在住呢\n看着好像很不错的样子，还在住呢', '短评打分': 5}
{'短评内容': '在北仑住了几个星期，换了几家酒店，这家算是最满意的了。当然价钱也贵一点。枕头睡的很舒服。下周还要继续住这里。', '短评打分': 5}
{'短评内容': '因为在北仑执行项目，和来自国外的同事们多次入住海港东方。虽然曾入住多家各城市的五星国际连锁酒店，但觉得海港东方的房间和服务并不逊色，而且多了很多人情味。礼宾、前台、餐厅、客房的很多服务员都十分亲切热情。客房设施很新，很先进。缺点在触摸式开关，关灯后面板太亮，睡觉不舒服。另外酒店缺乏除客房外的配套设施，如健身房，大堂吧。餐饮也选择不多，希望改进。', '短评打分': 5}
{'短评内容': '酒店档次较好，免费早餐不错，周围环境以及美食购物都很方便，值得一住。', '短评打分': 5}
{'短评内容': '不错的新酒店，性价比很高，值得推荐！！！！', '短评打分': 5}
{'短评内容': '酒店很新，环境还不错，设施好。上网速度很快啊~', '短评打分': 5}
{'短评内容': '酒店档次较好，免费早餐不错，值得一住。不过交通不方便，尤其打的较难。', '短评打分': 5}
{'短评内容': '酒店还行                         ', '短评打分': 5}
{'短评内容': '新装修的酒店 \n位置不方便打车 \n去美食街倒是很近的 周围银行较多', '短评打分': 5}
{'短评内容': '洗脸盆水龙头太高，水溅的到处都是，另门口打车不方便。', '短评打分': 5}
{'短评内容': '挺多客户都喜欢住这里, 北仑的四星酒店里算是比较新的', '短评打分': 5}
{'短评内容': '不错的酒店 我喜欢 离嵩山路美食街很近的 不错的地方', '短评打分': 5}
{'短评内容': '酒店不错，晚上很安静，早上出租车较少，有点麻烦。', '短评打分': 5}
{'短评内容': '离客户那里只有2公里 \r\n感觉还不错 新修的酒店 \r\n舒服极了哦 \r\n下次还住这里', '短评打分': 5}
{'短评内容': '+房间很安静早餐也很好', '短评打分': 5}
