{'短评内容': '价格便宜，其他一般', '短评打分': 4}
{'短评内容': '总体还可以 毕竟价格在那里', '短评打分': 4}
{'短评内容': '借个充电器都没有', '短评打分': 1}
{'短评内容': '临近建材城物流中心 很吵 和服务台说换房间 不给换 啊啊啊 抓狂', '短评打分': 1}
{'短评内容': '酒店干净，价格实惠', '短评打分': 5}
{'短评内容': '！', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '没安全没隐私', '短评打分': 1}
{'短评内容': '房间很宽敞，光线不错，卫生干净，空调效果不错，被单也比较干净，毛巾厕所都比较干净。美中不足就是木有座机，其他不错', '短评打分': 5}
{'短评内容': '太便宜了，环境也不错', '短评打分': 5}
{'短评内容': '经济实惠，环境不错', '短评打分': 5}
{'短评内容': '还好…………………', '短评打分': 4}
{'短评内容': '太差了，睡到半夜，一转身竞然发现别人遗留使用过的陪避孕套。', '短评打分': 1}
{'短评内容': '入住环境虽然简单，但是比较舒服。', '短评打分': 5}
{'短评内容': '基本整洁 …。    ....', '短评打分': 3}
{'短评内容': '房间好久没人做了，里面都有尘土，门口色情卡片一堆。靠近大马路，晚上很吵！', '短评打分': 2}
{'短评内容': '比较陈旧，毛巾改换了', '短评打分': 4}
{'短评内容': '差，差', '短评打分': 2}
