{'descr': '挺好的，很实惠，房间空间，嗯，就是空间很大，很大，比普通宾馆或者旅馆好多了，价钱上又和普通宾馆差不多，设施齐全，无线网也很不错', 'star': 5}
{'descr': '进去自己拍死两只苍蝇，前台态度也不好。只是客观陈述', 'star': 3}
{'descr': '不错性价比比较高', 'star': 4}
{'descr': '不错，多次入住，', 'star': 5}
{'descr': '还行吧，挺干净的，靠近公路难免有些声音', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '环境好服务好，无线网不是很好', 'star': 3}
{'descr': '环境好，无线网差点！服务很好！', 'star': 3}
{'descr': '环境不错，挺干净的，服务周到', 'star': 3}
{'descr': '房间很不好，总台服务员态度差', 'star': 3}
{'descr': '还好。zzzz。。。', 'star': 3}
{'descr': '房间总体尚可，就是床垫不是一般的差，睡得太累了，希望酒店老总亲睡一晚，体会一下。', 'star': 3}
{'descr': '服务很不错，主要是环境好，干净，还挺温馨的，不错。', 'star': 3}
{'descr': '相当不错 尤其是在唐山 因为唐山的酒店都很破旧 而且价格高的不要脸 这个真的合理 ', 'star': 5}
