{'短评内容': '价格比实体店优惠，我觉得很不错！非常满意！！', '短评打分': 5}
{'短评内容': '卫生、空间也大，交通方便，有停车场，开车的话附近就有大商场，美食、购物、电影都比较方便！前台人不错，方便沟通！推荐入住！', '短评打分': 5}
{'短评内容': '卫生、空间也大，交通方便，有停车场，开车的话附近就有大商场，美食、购物、电影都比较方便！前台人不错，方便沟通！推荐入住！', '短评打分': 5}
{'短评内容': '卫生、空间也大，交通方便，有停车场，开车的话附近就有大商场，美食、购物、电影都比较方便！前台人不错，方便沟通！推荐入住！', '短评打分': 5}
{'短评内容': '干净舒适整洁', '短评打分': 5}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店环境不错，卫生还可以', '短评打分': 5}
{'短评内容': '非常差的一次预订，京东预付131，酒店只开118的发票，还扯什么这是协议价，我付了这么多钱就要那这么多的发票，连这都不懂？', '短评打分': 5}
{'短评内容': '比较一般的酒店', '短评打分': 3}
{'短评内容': '服务态度一般。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一般化，还行，', '短评打分': 2}
{'短评内容': '隔了一天又去住第二次了，其它都好，就是房间没有免费水送的，都是收费的，这里要赞一下携程，住宿发票很快就快递给我了！', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '赞一个，其他不多说了，前台有美女?', '短评打分': 5}
{'短评内容': '对得起这个价格了', '短评打分': 3}
{'短评内容': '服务很差，其他还行', '短评打分': 4}
