{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '杭州中强假日大酒店 值得推荐，地理学位置十分优越，在临平古镇的繁华北大街老街上，酒店三楼是饭店，做的菜不错啊，下次还会入住的', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置是很好的 在城市的中心区，酒店的卫生还可以的，服务水平只能说一般，希望能让住酒店的人感到宾至如归的感觉。还有这里的配套设施很完善，吃饭娱乐很方便的哦。', '短评打分': 5}
{'短评内容': '中强在临平镇上是老牌子的酒店了，入住就是冲着这个牌子去的，但实际给人感觉一般，装修有点陈旧，订的房间在17楼，电梯较慢，总体感觉一般。', '短评打分': 4}
{'短评内容': '住了几次了！总体还可以，但最近住的那次房间设施有点旧！其次是床头柜上没有可充电的地方', '短评打分': 5}
{'短评内容': '位置好，交通方便', '短评打分': 4}
{'短评内容': '很不错的酒店，有餐饮，有娱乐洗脚，处于市心繁华地段，绝对商务优选酒店。', '短评打分': 4}
{'短评内容': '房间空调制热效果差，热水供应紧张。', '短评打分': 3}
{'短评内容': '住着还不错', '短评打分': 5}
{'短评内容': '还行，离商业中心比较近。', '短评打分': 3}
{'短评内容': '设施老旧！空调根本没效果，开了3个小时房间依旧冷的发抖！前台接待态度极差，登记单上明明写着顾客姓名，居然直接用房号称呼客人！垃圾至极！一点礼貌都没有！', '短评打分': 2}
{'短评内容': '网络太差了，为什么不把网络改善一下？', '短评打分': 3}
{'短评内容': '房间面积超小，价格小贵，下次不会再住了', '短评打分': 4}
{'短评内容': '酒店无线网络不行', '短评打分': 3}
{'短评内容': '早餐越来越差了。', '短评打分': 4}
{'短评内容': '性价比不错，周围也很热闹！\n就是吃饭不方便', '短评打分': 5}
{'短评内容': '总的性价比不错，房间比较干净，离我的客户很近，所以选择这里', '短评打分': 5}
{'短评内容': '恩，出行非常方便，设施齐全，服务好。。出差至此。。下次还会考虑入住！', '短评打分': 5}
{'短评内容': '设施陈旧\n网络也有问题\n用餐需要提前预定\n一个人都没法吃\n叫送也不送', '短评打分': 1}
{'短评内容': '硬件设施太差,太陈旧', '短评打分': 3}
{'短评内容': '环境不错 就是 晚上居然施工~休息的不怎么好', '短评打分': 5}
{'短评内容': '很好，很干净，服务员态度很好。位置在闹市，周边都是商业区，逛街很方便！', '短评打分': 3}
