{'短评内容': '1', '短评打分': 5}
{'短评内容': '酒店在老城区，外部环境一般，内部设施有点陈旧', '短评打分': 3}
{'短评内容': '有停车场，但较小；大床是一米五的，有点小。酒店外的道路，属于单行道，行车要特别小心。附近的当地小吃众多，地段有优势。', '短评打分': 4}
{'短评内容': '在一起时！', '短评打分': 5}
{'短评内容': '在家就是，', '短评打分': 5}
{'短评内容': '位置很好，安静，宜睡眠，房间干净整洁，无异味', '短评打分': 4}
{'短评内容': '房间一般，该有的都有。前台服务员态度不好', '短评打分': 5}
{'短评内容': '在网上预定时标注的商务标间全是8楼装修过的房间，但到达酒店后却说我是特价只能是4楼的旧房间，房间虽然还算干净，就是房间的设施设备要陈旧些，心里还是有点不爽，感觉被误导了。希望以后网上标识清楚，不管是不是特价，标的是几楼就应该按几楼开房。', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '住得舒服！还不错呢，值得', '短评打分': 5}
{'短评内容': '好哈后好好好', '短评打分': 5}
{'短评内容': '就在农大校区隔壁，张家山边上多安静的，相当的好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的吧！我感觉还是不错的。', '短评打分': 5}
{'短评内容': '时间短了一点点啊', '短评打分': 5}
{'短评内容': '交通方便，市中心', '短评打分': 5}
{'短评内容': '很不错的酒店，108个赞', '短评打分': 5}
{'短评内容': '外观很漂亮，晚上吃宵夜近，停车很方便。服务员服务好，能提供各种类型的充电器，网上订的房间不好，全部是最吵的房间。', '短评打分': 4}
{'短评内容': '环境比较好，空调不是很给力', '短评打分': 5}
{'短评内容': '都比较一般…', '短评打分': 3}
{'短评内容': '环境很好！价格也比较便宜？地段不错！', '短评打分': 5}
{'短评内容': '很久之前的订单，忘评价了，很不错的，提前预订方便多了', '短评打分': 5}
{'短评内容': '房间里的厕所门就在床旁边，因此始终有种臭臭的感觉！美其名曰大酒店，但实际上就与招待所差不了多少。有免费停车场，酒店开介绍信碧峰峡门票可以打八五折。附近吃的比较多，方便', '短评打分': 4}
{'短评内容': '房间布置比较有创意', '短评打分': 5}
{'短评内容': '酒店很干净、舒适。服务还是很好、很满意。', '短评打分': 3}
{'短评内容': '还可以，住的是商务间，唯一缺点是外面刮风下雨的话窗子晃的太厉害，吵得很', '短评打分': 5}
