{'短评内容': '不知道从哪里开始吐槽，一进房间好大股烟味，开空调痛风很久都没有散去，厕所也很臭，排气的没什么用，而且房间很不隔音，感觉房间就是隔断的那种墙，床垫弹簧都崩了，一个晚上有三个塞那种卡片的，从门缝上面塞的也没人管？半夜一群女人在走廊叫把我吵醒了还吵了半天才有，半夜一点啊，不知道住的是什么人，没有一点安全感……住的很不开心', '短评打分': 3}
{'短评内容': '大床房还行 就是设备比较老旧 但是服务响应速度还行 有停车场 距离湖北大学步行十分钟左右 不能加床 早餐没吃', '短评打分': 4}
{'短评内容': '很好、服务态度超级赞', '短评打分': 5}
{'短评内容': '服务态度超级好，床很大很干净', '短评打分': 5}
{'短评内容': '没早餐，去武汉出差，就近选了7天，在网上预订，来了后告知要下午2点后才有房间，设施较简陋，武汉到处修地铁，全是灰。我们房间靠马路，晚上只能关了窗睡，价格很便宜', '短评打分': 4}
{'短评内容': '条件不错，住的舒服，还会再定', '短评打分': 5}
{'短评内容': '挺不错的，房间干净，空调好使', '短评打分': 5}
{'短评内容': '房间有点小，位置有点远，其他还可以', '短评打分': 5}
{'短评内容': '求求你们答应我，不到万不得已不要住这家酒店???', '短评打分': 5}
{'短评内容': '环境不错，交通非常方便！', '短评打分': 5}
{'短评内容': '房间隔音效果不大好，其他还行。', '短评打分': 4}
{'短评内容': '还不错。干净卫生，交通方便！', '短评打分': 5}
{'短评内容': '房间虽小，但设施齐全，特别是无线网络信号很好，速度很快，卫生间里的浴巾都是密封包装的，防止二次污染，热水很大', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '非常一般', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '大床房，隔音不太好，空调外机噪音很大，除了位置去考场方便以外乏善可呈', '短评打分': 4}
{'短评内容': '房间宽敞明亮，卫生不错，好评', '短评打分': 3}
