{'短评内容': '环境好，不错。', '短评打分': 5}
{'短评内容': '环境很好，房间也非常干净，早餐有待提高', '短评打分': 5}
{'短评内容': '房间挺干净，还给免费升级，很好！', '短评打分': 5}
{'短评内容': '早餐充足，停车很方便，环境优美，设施齐全。', '短评打分': 5}
{'短评内容': '携程网订的房间，早餐没吃，不知道怎么样!宾馆无论位置，服务，设施都绝对物超所值。', '短评打分': 5}
{'短评内容': '我没有定过此间，但是安庆迎宾馆我很喜欢！！！！', '短评打分': 5}
{'短评内容': '我已经从安庆归来！ 只眼拜只眼     伸手摸到天 ！      对宾馆服务非常满意！！1', '短评打分': 5}
{'短评内容': '物超所值！酒店设施先进，服务很好，早餐不错！', '短评打分': 5}
{'短评内容': '很老的酒店，室外环境和绿化较好，离湖边较近，便于早、晚散步，服务和早餐还可以，值得推荐，下次去安庆还住该酒店！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '常住的酒店，早餐依然超好，特色牛肉面风味别具，客房送的夜宵水果小吃酸奶突显温馨，还有一微型手电，超赞！但也提一个建议对携程担保客人可否免押金免查房，这样提高入离店效率，而且顿显尊信！', '短评打分': 5}
{'短评内容': '环境很好，安静!', '短评打分': 5}
{'短评内容': '环境幽静，地段不错，房间舒适，酒店还会赠送小礼品。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '政务接待酒店。安静，干净，服务态度好。', '短评打分': 5}
{'短评内容': '环境还不错，比较满意', '短评打分': 4}
{'短评内容': '房间有点旧了但还干净，服务也不错，价格便宜', '短评打分': 5}
{'短评内容': '房间有点旧了，听说五一后会停业装修。房间上网很快。早餐还行，卫生一般。', '短评打分': 5}
{'短评内容': '外部环境还不错，房间太一般，餐厅服务太一般，前台还不错。', '短评打分': 5}
{'短评内容': '已经交了款,人下午到\r\n安庆佰联杜艳春', '短评打分': 3}
{'短评内容': 'ddddddddddddddddddddddddddd', '短评打分': 5}
{'短评内容': '不错，干净，就是房间隔音有点差', '短评打分': 3}
{'短评内容': '还可以，价格不算贵，以后到安庆还可以住这里', '短评打分': 5}
{'短评内容': '酒店不错，服务态度挺好，早餐丰富，交通便利', '短评打分': 5}
{'短评内容': '服务挺好，房间设施也不错，唯一不足就是电视效果比较差还有就是没有中央五套。', '短评打分': 5}
{'短评内容': '现在正在施工，中午也不让客人睡觉，早晨6点不到工人又开始工作了。', '短评打分': 1}
{'短评内容': '环境不错，比较安静。空调也很舒服，上网也快，总的感觉还可以。...................................................', '短评打分': 5}
{'短评内容': '酒店整体比较老，住着还可以，有点国企的感觉，位置好像在开发区。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置较好，过了安庆长江大桥就到了，房间很好，特别是上网速度快。卫生间有点旧，早餐一般。', '短评打分': 5}
{'短评内容': '很不错的酒店，早餐很丰盛。下次去，还住这家。', '短评打分': 5}
{'短评内容': '环璄优美安静,离火车站很近,交通也便利,唯一缺点毛巾旧了点,总体物有所值！', '短评打分': 5}
{'短评内容': '环境还算可以，服务也还可以，设施旧了点！', '短评打分': 5}
{'短评内容': '结婚前日，媳妇住这边，相比较还是不错的！', '短评打分': 5}
{'短评内容': '房间很大，交通不错', '短评打分': 3}
{'短评内容': '不咋样,房子奇大无比,设施一般,服务一般,位置很一般,如果去火车站倒很方便打车3分钟就到,去市区就远了些,不如安庆宾馆好.', '短评打分': 1}
{'短评内容': '卫生一般，服务和早餐很好，宾馆内有饭店和很大的停车场，位于市中心，出行很方便', '短评打分': 5}
{'短评内容': '酒店绿化环境还可以，晚上很安静，但服务及配套设施很差，四星级酒店吃饭，菜单跟小餐馆一样简单！', '短评打分': 1}
{'短评内容': '不错的酒店 ，位置稍差点，下次来还会住的！', '短评打分': 5}
{'短评内容': '酒店装潢比较陈旧，位置稍微偏了点。但是酒店的服务很好，餐厅的饭菜也很可口，就是早餐品种少了点。尤其值得一提的是，酒店的网络奇快，用一句流行的广告语形容就是：飞一般的感觉！！下次还会去。忘记说了，展鸿楼经常会无故停电，每次约5分钟左右，我在酒店住了三天，碰到3次。', '短评打分': 5}
{'短评内容': '入住了', '短评打分': 3}
{'短评内容': '单间空气好，外部绿化好', '短评打分': 5}
{'短评内容': '服务很好，就是房间有点旧了！服务很好，就是房间有点旧了！', '短评打分': 5}
{'短评内容': '酒店餐饮服务很适合我，菜的口味我很喜欢，服务很好，地理位置不错，出行蛮方便的', '短评打分': 5}
{'短评内容': '+酒店环境不错', '短评打分': 5}
{'短评内容': '入住环境很好，蛮安静的，酒店餐饮服务不错，菜的种类和口味很好，房间卫生条件不错，做的很到位，总体感觉住着很舒服', '短评打分': 5}
{'短评内容': '酒店的服务不错，服务员周到热情，随叫随到，洗衣服服务很好，蛮便宜的，总的感觉还可以', '短评打分': 5}
{'短评内容': '酒店周边有很多著名的景点，天柱山等等，而且房价也很合理， 感觉经济实惠又可以观光旅游，很不错', '短评打分': 5}
{'短评内容': '比较失败。比起同样是一个集团的皖源国际酒店，还要差：设备陈旧、卫生不敢恭维、走廊巨长。', '短评打分': 1}
{'短评内容': '酒店在安庆算高档的。感觉还行。适宜商务住入。', '短评打分': 5}
{'短评内容': '酒店内部环境很好，有很多楼群环绕中间还有个水景和园林，感觉像园林式的酒店，酒店设计的比较人性化，使用起来任何东西蛮顺手的', '短评打分': 5}
{'短评内容': '硬件和位置都好，但房间太潮，被子有霉，马桶不通。可能和天气有关。', '短评打分': 5}
{'短评内容': '性价比较高的酒店，卫生条件不错，服务周到热情，下次还会去住的。', '短评打分': 5}
{'短评内容': '老酒店了，什么都老', '短评打分': 1}
{'短评内容': '一句话：不错！', '短评打分': 5}
{'短评内容': '迎宾楼套间,卫生较差,地毯上有小垃圾.大概为降低成本,房间29度了还没开冷风.&lt;br /&gt;\n商场和走廊都比较暗,节能降耗的说.&lt;br /&gt;\n位置太偏,度假可以.&lt;br /&gt;\n床头发现活的小虫&lt;br /&gt;\n服务不错，洗衣很便宜．有冰箱，不过是空的．&lt;br /&gt;\n房间设施陈旧，卫生间装修非常俗，桃红（？）色的坐便器浴缸洗脸池．', '短评打分': 3}
{'短评内容': 'great', '短评打分': 5}
