{'短评内容': '经济实惠，干净', '短评打分': 4}
{'短评内容': '可以，不错', '短评打分': 4}
{'短评内容': '交通便利，吃饭方便', '短评打分': 4}
{'短评内容': '房间很干净，也很新，有停车场，酒店旁边对面都有饭馆，吃饭很是方便，要是需要坐公交的话，就要稍微走远一些了。', '短评打分': 5}
{'短评内容': '主要是为了考试方便，房间卫生倒还好，挺干净的，但是隔音太差了，大半夜都能听到走道的及隔壁房间脚步声和欢笑声。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不提供发票 涉嫌偷税漏税', '短评打分': 1}
{'短评内容': '还可以，空间稍小，相对价格比较实惠', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '不错，就是感觉床很旧了，不过价格就在那里', '短评打分': 3}
{'短评内容': '优雅优雅，设备陈旧，还算安静的', '短评打分': 3}
{'短评内容': '一般，一般，一般，一般，一般', '短评打分': 3}
{'短评内容': '好的！很好！非常好！', '短评打分': 3}
{'短评内容': '很舒适，而且干净！！！！！！', '短评打分': 3}
{'短评内容': '第一次住这么差的。房间有异味，不提供洗发水、沐浴露、浴巾、毛巾、纸巾。自己解决。电梯又脏。汗，往事不堪回首。', '短评打分': 1}
