{'短评内容': '设施有点老旧 床弹簧明显坏了 普通间的大床房真的很小 不过还好一个人住 但也因为一个人 半夜5点半房间电话响 接起来没人听 响了两次真的害怕 吓得我一夜没睡好 早餐还行', '短评打分': 5}
{'短评内容': '同上同上同上', '短评打分': 4}
{'短评内容': '怎么说呢周围环境真心不错 房间有霉味', '短评打分': 4}
{'短评内容': '学校周围，有停车场', '短评打分': 4}
{'短评内容': '不错，早餐挺好吃', '短评打分': 5}
{'短评内容': '哎，毛巾上有长发，被单上有不明污渍', '短评打分': 3}
{'短评内容': '真的是醉了，酒店前台一个长呢胖胖的 态度怎么会有那个差 明明前一晚叫了叫醒服务 都没来叫醒啊 问她半天不回答我 一直绷着个脸 像丢了一百万一样 服务员的态度还好 这个酒店标准根本达不到四星 床还是塌的 这个评论最主要回事说前台那个。做什么酒店 笑话 呵呵', '短评打分': 2}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '前台的服务态度太差了，我定的是双标，到前台给的是单间，好好跟她说我们定的是双标，一下子凶起来说她们下单的就是单间！后来我们说要找经理才给换的，操！收钱的是大爷，付钱的是孙子！还好最后给修改了，但是一句抱歉都没有，卫生还勉强吧，有点污渍。', '短评打分': 3}
{'短评内容': '因为考试的关系入住，感觉还可以，安静也舒适。', '短评打分': 5}
{'短评内容': '不错的酒店，方便', '短评打分': 5}
{'短评内容': '酒店服务很好，就是设施有点旧，不过卫生间不错，洗澡水超大又烫，很舒服，关键是酒店位置在财大附近，看孩子方便', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '  酒店环境挺好的，干净，安静，但是周边没啥吃饭的地方', '短评打分': 3}
{'短评内容': '房间内设施不错，很干净，服务也很好，就是外面正在拆建，很脏很吵', '短评打分': 3}
{'短评内容': '来昆明后就一直住着酒店，设施真不错！！就是隔音差点', '短评打分': 5}
{'短评内容': '酒店设施新，但周边环境喧哗，晚上难入眠，房价偏高，', '短评打分': 3}
