{'短评内容': '在余姚出差基本都住这里,酒店就在市中心，周边很热闹离我们的工厂很近。有一次发现房间有味道直接要求换一间，服务员的办事效率还是满快的。', '短评打分': 4}
{'短评内容': '每次来余姚都住这里，很不错的酒店！', '短评打分': 5}
{'短评内容': '酒店周边环境很热闹， 吃饭的地方也很多。来余姚出差基本都住这里， 早餐也很丰盛，选择满多的，价格也不算贵。', '短评打分': 5}
{'短评内容': '好好休息休息，酒店不错?。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店是老酒店了，前两年二次装修了。装修过后档次完全不一样了，有点儿像五星级的标准了。房间内设施比较全，床也够大够舒服。就是酒店在市中心，白天时还是有些吵。可能我定的是无窗特价房，所以位置不是很好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间小了。', '短评打分': 4}
{'短评内容': '有些年头的酒店了，位置绝对是余姚的市中心，但设施设备还是维护的非常好的。提供住店客人免费的水果和饼干，非常的贴心周到。早餐品种丰富，但咖啡品质不好。住店客人可以78价格享受自助晚餐，包括了三文鱼，螺类，生蚝，烧烤，蟹脚，西点，酒水饮料，冰淇淋等，品种丰富，值得推荐。洗漱用品缺男士剃须刀，淋浴的水有些小。', '短评打分': 5}
{'短评内容': '因为在县城中心，又是老的酒店设施，不高，比较嘈杂。环境及人员服务说实话不好', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '房间新装升级，住过多次，温馨舒适，略显小巧，喜欢大房，大卫生间就不行了，淋浴和浴缸在一起，用起来别扭，不方便。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '不错。不错。不错。不错。不错。。', '短评打分': 5}
{'短评内容': '喜欢住这里，家的感觉', '短评打分': 5}
{'短评内容': '方便快捷，服务周到', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，房间蛮大的，水温也不错，温度调节合适，价格中等。', '短评打分': 5}
{'短评内容': '酒店在市中心，地理位置不错，服务也可以，卫生环境也不错，整体感觉蛮好。', '短评打分': 5}
{'短评内容': '很不错的宾馆，在余姚这个价位级别的算是很好的了。适合商务出差', '短评打分': 5}
{'短评内容': '离办事的地方很近，所以住这里，这家店还是不错的。', '短评打分': 5}
{'短评内容': '地理位置很好的宾馆，但前台服务的专业素质还有待提高。', '短评打分': 5}
{'短评内容': ' 酒店是三星级的,服务还可以。早餐\ue030太好,什么东西都是油腻腻的', '短评打分': 3}
{'短评内容': '地理位置不错 酒店服务也不错 卫生环境也不错 整体感觉还可以', '短评打分': 3}
{'短评内容': '很不错的宾馆，在余姚这个价位级别的算是很好的了。除了那两家五星级的，商务出差推荐这家。只是以前不知道啊。', '短评打分': 5}
{'短评内容': '地段好，年初装修的，还不错，就是房价杨梅节比平常贵了好多啊', '短评打分': 3}
{'短评内容': '离火车站近，挺方便，环境还可以！', '短评打分': 3}
{'短评内容': '各方面都挺好的，就是早餐种类少了点', '短评打分': 3}
{'短评内容': '离我要去的地方比较近，总体一般般吧。但服务员的态度还是不错的', '短评打分': 5}
{'短评内容': '房间不错，比较干净，也比较大，环境也可以，就是相对余姚来说有点小贵。', '短评打分': 5}
{'短评内容': '房间不错，比较干净。不过相对余姚来说有点小贵。下次还是入住。', '短评打分': 5}
