{'短评内容': '不错！经济实惠！', '短评打分': 5}
{'短评内容': '不适合带孩子，隔音效果不好', '短评打分': 4}
{'短评内容': '没有早餐，适合两个睡，感觉很舒适，不错，也很经济。但是没有吹风机', '短评打分': 4}
{'短评内容': '还好，就是热水水温不够。', '短评打分': 5}
{'短评内容': '还可以吧总的来说，有点味道', '短评打分': 4}
{'短评内容': '房间蛮不错的，地点也好找', '短评打分': 5}
{'短评内容': '没有电脑，并且价格高', '短评打分': 0}
{'短评内容': '经济型', '短评打分': 5}
{'短评内容': '周边环境很好，交通方便，也很安静，餐饮，商场齐全。宾馆内部隔音差了点。设备相对老旧点，但不影响住宿。老板很客气。住宿比较满意。', '短评打分': 4}
{'短评内容': '电视太破旧，装修都破掉了', '短评打分': 3}
{'短评内容': '电视机有些太破旧了。', '短评打分': 3}
{'短评内容': '房价不错，性价比高，周围交通方便', '短评打分': 3}
{'短评内容': '一般 看了下房间没有住', '短评打分': 3}
{'短评内容': '还是很好的，虽然门面看上去很小，内有洞天', '短评打分': 3}
{'短评内容': '位置较好,停车也方便,晚上比较安静,只是房间之间的隔音效果不好!', '短评打分': 5}
{'短评内容': '方便，网络慢了点。对面新开了吃饭的地方，附近棋牌也方便', '短评打分': 5}
{'短评内容': '向其他的网友说的，房间确实有点小呀，而且隔音效果很差，害的我一个晚上都没睡好叫，周围的一点动静都能把我惊心，不过出门再外也不讲究吧。店里的老板娘人到是蛮好的哟……', '短评打分': 1}
{'短评内容': '说实话，酒店服务一般，室内环境比较差，周围真在建设中，也只是交通比较方便而已。', '短评打分': 5}
{'短评内容': '嗯  性价比还行', '短评打分': 3}
{'短评内容': '房间整洁，特别浴室觉得挺好的。楼层不高，便于出行，进出\n', '短评打分': 5}
{'短评内容': '还行吧，就是没有电梯，箱子上上下下比较麻烦。主要是我办事的地方就在这附近，所以方便。不大的酒店。', '短评打分': 5}
{'短评内容': '单人房的房间小了点，双人房间还大的，三楼没有电梯爬楼累了点，其他都可以接受。\n单人房的房间小了点，双人房间还大的，三楼没有电梯爬楼累了点，其他都可以接受。', '短评打分': 5}
