{'descr': '位置很好,服务也不错.', 'star': 5}
{'descr': '理地铁站近，去机场方便', 'star': 5}
{'descr': '房间里面挺干净的，周围环境也很安静', 'star': 5}
{'descr': '还可以，交通方便', 'star': 5}
{'descr': '房间干净，交通便利，', 'star': 5}
{'descr': '用京东订还是蛮合适的，觉得可以', 'star': 5}
{'descr': '这个酒店虽然有点难找，但整体感觉不错。前台服务优质，房间舒适干净。很满意。下次还会住', 'star': 5}
{'descr': '服务很好，设施有点老旧', 'star': 5}
{'descr': '标间只有一个小窗户，一页窗子那么大，房间小得可怜。床铺被套上面一层毛灰，和小招待所差不多，价格也不便宜。', 'star': 1}
{'descr': '酒店服务员死活找不到订单，大早上找堵了', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '条件好，服务热情，最满意的是有房的情况下，早晨就入住了，非常开心这样的温馨服务，因为是出外学习，中午需休息下，退房也在1点钟，真的很棒。', 'star': 5}
{'descr': '很一般的酒店', 'star': 4}
{'descr': '感觉还算不错。帮家人订的。', 'star': 5}
{'descr': '有点难找，其他都不错。服务员也不错。', 'star': 5}
{'descr': '网上说有早餐赠送，前台说这店没早餐的。尼妹的，能不能统一一下信息啊。这算是欺骗消费者好吧。周边环境还好，但是店里不好找。', 'star': 4}
{'descr': '噪音很大。而且很不好找。我是半夜到的，在小区里面绕了半天', 'star': 3}
{'descr': '高调的港不能怕岁丢回家', 'star': 5}
