{'短评内容': '环境一般不容易找到', '短评打分': 4}
{'短评内容': '酒店离家近，房间较小，但还干净整洁舒适，定的是无早餐房间，没吃早餐不知如何哈，不错哈，以后家里再来客人就定这家酒店了', '短评打分': 5}
{'短评内容': '还行！周边环境挺热闹 小吃也可以 以后去成都 可以考虑再去', '短评打分': 5}
{'短评内容': '环境无线不错', '短评打分': 5}
{'短评内容': '环境无线不错', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '已经住了几次了，蛮好的，以后还会选择。', '短评打分': 4}
{'短评内容': '感觉还蛮好的啦！挺干净，不错！', '短评打分': 4}
{'短评内容': '服务态度好，业务操作熟练。', '短评打分': 5}
{'短评内容': '很干净很舒服 服务态度也很好', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '格局比较清爽，卫生条件不错，喜欢装饰风格，好评。', '短评打分': 5}
{'短评内容': '挺干净整洁，性价比高，就是没电吹风', '短评打分': 5}
{'短评内容': '房间偏小', '短评打分': 5}
{'短评内容': '还好吧，就这个价格应该是有性价比的，不过没有窗户', '短评打分': 4}
{'短评内容': '设施还可以，就是下雨天反味道，难闻啊', '短评打分': 5}
