{'短评内容': '酒店环境差，不值', '短评打分': 2}
{'短评内容': '环境好，近沙滩', '短评打分': 5}
{'短评内容': '好波', '短评打分': 4}
{'短评内容': '客栈地理位置非常好，过马路就系大鹏古镇，面对大海。我住日出海景房，非常幸运在房间里都看到日出。睡在床上可以听到海浪声，因为系民宿所以管理上系，普普通通，不要要求过高。自驾游嘅朋友停车最好係停古镇南门停车场，但那里车位十分紧张。所以可以考虑停喺p4 ，其他停车场离客栈较远。', '短评打分': 4}
{'短评内容': '装修设施较旧，房间空间不大，发现旁边很多新的有特色客栈，如果再去会试试其他的，唯一推荐的是有海景阳台，停车场都不是客栈自有，外围公共停车场，还近，20元过夜', '短评打分': 3}
{'短评内容': '附近消费有啲高。无下次。。。。。', '短评打分': 5}
{'短评内容': '民宿的設施, 請不要太高要求! 1/F小陽台房. 兩張倚都有問題的 !(查點扒地!) 位置 : 查不多到海邊盡頭(中間部份有酒吧食市). 比較寧靜但拍車後走進來亦較遠 ! 服務 : GOODS 啦! 趙姐笑容態度都很親切!  衛生沒有投訴.  寧靜黃昏聊天很舒服 ! * 附近有船出租可遊遊. 但別忘記議價,會有驚喜 ! * * 附近海鮮晚飯都是有點貴,但都不錯!*  第一次來這裡. 會再來 ! 但', '短评打分': 5}
{'短评内容': '环境优良，设设施齐备，服务一流。', '短评打分': 5}
{'短评内容': '房间装饰的不错，环境挺安静', '短评打分': 5}
{'短评内容': '阳台海景很不错，前台蛮亲切的，出入都会微笑招呼。', '短评打分': 5}
{'短评内容': '环境，设施有点旧', '短评打分': 3}
{'短评内容': '还可以，周围很方便', '短评打分': 5}
{'短评内容': '可以看日出的海景房，不错！', '短评打分': 5}
{'短评内容': '客栈有蜜里1.2.3号，个人觉得2.号是最漂亮的，1.号有餐馆。公交坐到大鹏所城站一过马路下来就是客栈了，地理位置还是不错的。住的是日出海景房，打开窗就可以吹到海风，客栈一出门就是海边，旁边有餐馆，隔音效果不太好，晚上楼下太热闹以至于会睡不着。房间里有空调，睡的是榻榻米，没有见到评论里说的虫子，就是可能靠近海边，会有蚊子，但客栈也配了点蚊片。房间门是双向开关的，出门一定要锁好哦。总体还是不错的', '短评打分': 5}
{'短评内容': '一般般，一分价钱一分货', '短评打分': 4}
{'短评内容': '酒店阳台大，看海很舒服多了，但是WiFi太差了，电视也只有两个台', '短评打分': 3}
