{'短评内容': '宝贝确实不错', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '有停车位', '短评打分': 5}
{'短评内容': '酒店环境不错 前台很有礼貌 酒店位置也很好 周围也什么都有~', '短评打分': 5}
{'短评内容': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '还堵车退房迟到了20分钟，服务员很热情，没收超时费', '短评打分': 5}
{'短评内容': '挺不错的 房间很大 就是希望查房和入住时间缩短一下~', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生服务都很好，位置也好找，周围吃饭的地也挺多', '短评打分': 5}
{'短评内容': '朋友住的，感觉一般。', '短评打分': 3}
{'短评内容': '态度差，前台的人员退房和续住都没考虑住宿的人', '短评打分': 4}
{'短评内容': '服务态度差，变更住房信息', '短评打分': 4}
{'短评内容': '还可以，性价比较高', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '夜晚暖气停了，冻得不得了。', '短评打分': 3}
{'短评内容': '交通便利，就是临街的房间有点吵，卫生还好，车位有点少，还不错了', '短评打分': 4}
{'短评内容': 'wifi不行，老断，一夜没搞定', '短评打分': 5}
