{'短评内容': '条件不好，卫生差', '短评打分': 1}
{'短评内容': '位置不错，一环！', '短评打分': 5}
{'短评内容': '隔音效果不好，卫生条件一般。', '短评打分': 3}
{'短评内容': '要是卫生间是封闭的就好了', '短评打分': 4}
{'短评内容': '停车费好贵', '短评打分': 3}
{'短评内容': '什么都还可以，卫生间没门的', '短评打分': 5}
{'短评内容': '不错，价格实惠，房间宽敞，一人住大床房很舒服！早餐品种不是很多，但这个房价还是挺不错！', '短评打分': 5}
{'短评内容': '没有一次性拖鞋，没有电吹风，这样的价格只能说凑合着吧', '短评打分': 4}
{'短评内容': '总体一般，可能昆明难得冷的缘故，房间也不是很暖和。早起冲澡没有热水。', '短评打分': 4}
{'短评内容': '交通方便，住房环境就不怎么样了', '短评打分': 3}
{'短评内容': '有点骗人，先说网上不给发票，说了很久才给。', '短评打分': 2}
{'短评内容': '位置有点偏，还可以房间，隔音效果不好', '短评打分': 3}
{'短评内容': '房间整体设备有点旧，住了一晚矿泉水也不摆一瓶，电热灭蚊器有一个但药片找不到，早点品种太少而且过于简单。', '短评打分': 3}
{'短评内容': '不好！窗户没有锁，房间比较小', '短评打分': 3}
{'短评内容': '酒店性价比还是不错的，可能是个人原因不推荐吧。主要是床太硬，空调开不出，晚上很冷，早餐太一般，实在没什么东西吃。服务态度还是不错的。', '短评打分': 1}
{'短评内容': '总体感觉还不错！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '酒店设施尚可，无线上网没法上，早餐也非常简单，希望能改善早餐，提高上网效率，如果这方面好些的话，应该是个信价比较好的商务旅馆。', '短评打分': 5}
{'短评内容': '酒店属于商务型酒店，早餐太简单了，几乎没什么营养食品，所以吃的人也很少。建议酒店在早餐的改善上下点功夫，可能回头客会比较多；网络也不是很好，上网很慢，使用网上办公没法进行，只好用自己的无线网卡。', '短评打分': 5}
{'短评内容': '感觉还好*', '短评打分': 3}
{'短评内容': '很新，硬件不错，唯独采用无线网络，基本上没办法上网。\n', '短评打分': 1}
{'短评内容': '环境还是蛮好的！', '短评打分': 3}
{'短评内容': '室内环境还可以，地方有点偏，无线网络信号不是很好', '短评打分': 5}
{'短评内容': '房间干净，环境不错，性价比高。', '短评打分': 3}
