{'短评内容': '还可以，老板服务态度非常好', '短评打分': 3}
{'短评内容': '还可以吧，位置也行不难找，但是没有窗户，跟图片看的差距有点大，但是这价格也算能接受', '短评打分': 3}
{'短评内容': '挺好的，就是没窗户有点闷。设施齐全，干净整洁。', '短评打分': 3}
{'短评内容': '非常满意，不错的，选了好几家觉得这个环境还行，就定了，真的没有失望，下周还会去', '短评打分': 3}
{'短评内容': '挺不错的，就是灯太暗，t热水就十分钟，不过服务态度挺不错的，比较满意', '短评打分': 3}
{'短评内容': '一般般吧！', '短评打分': 3}
{'短评内容': '位置比较偏，火车站打车花了40多...屋子不大，短时间住还可以...去中央大街附近就有公交车，还算可以', '短评打分': 4}
{'短评内容': '房间超级小，没有烧水壶，但出行还算方便', '短评打分': 3}
{'短评内容': '基本是我所住过的性价比最差的酒店。完全连快捷酒店的水平都达不到，家庭作坊式的。房间面积特别小，除了两个小床头柜，没有可以放东西的地方。房间没有饮水机或者水壶。空调是中央空调，开关还不在房间内，开关需要去前台找人帮你开。晚上洗了半个头的时候，没热水了，给前台打电话，前台说热水器的热水用完了，需要等半个小时。结果顶着一头护发素等了1个小时，还是没有热水。我想说那热水器是不是根本就是快退休的次品。最后还', '短评打分': 1}
{'短评内容': '酒店内部环境不错，但是外面有些吵闹，另外房间内没有专用的热水壶和水杯，这一点很不舒服！', '短评打分': 5}
{'短评内容': '住的是迷你时尚房。单人的。挺不错的，也很干净。就是屋子小点。', '短评打分': 5}
{'短评内容': '价格比较好。交通方便。\n路口西侧有个下午的市场。\n近距离感受哈尔滨的生活气息。\n下次还会去的。\n', '短评打分': 5}
{'短评内容': '价格还算可以，但是屋子隔音效果不好。其他房间半夜说话，弄的睡不着。', '短评打分': 5}
