{'短评内容': '特别有感觉，能看见江景', '短评打分': 5}
{'短评内容': '从南华门打车到枫桥老板来接我们的，在离酒吧街略远，比较安静，客栈环境还可以，我们订的非临江房房间有点小，预算宽裕还是建议住临江房，清晨不出门就可以看风景', '短评打分': 5}
{'短评内容': '酒店位置好，升级了江景房景色很不错', '短评打分': 5}
{'短评内容': '临时决定去凤凰古城，去的当天还是周六，所以房源比较紧张。打电话跟老板娘咨询房间和停车的问题，老板娘听说我们只在凤凰呆一晚，就建议我们找靠河的房间住，她家当时只剩不靠江的一间了。后来想着这家店离酒吧街那边比较远，没那么吵，就还是订了她家不靠江的最后一间房。到了后，客栈前台小妹到客运站接我们，带我们去找停车位，然后带我们入住。凤凰这边所有的停车场过夜收费都是50元一晚。宰人啊！这是我不喜欢凤凰的原因之', '短评打分': 4}
{'短评内容': '除了贵，什么都好，', '短评打分': 5}
{'短评内容': '非常之好', '短评打分': 5}
{'短评内容': '非常之好！', '短评打分': 5}
{'短评内容': '小菇凉很热情！房间还不错，尤其可以坐在阳台喝茶看外面的风景，右手边是桥，左手边是塔，不过晚上有点吵因为有酒吧在旁边，但都是轻音乐。不过房间热水要放的时间有点久才会热，洗完澡后水会流到外面的马桶洗漱台那里都是的，还有如果有浴霸就更好了，其他都还不错的！', '短评打分': 5}
{'短评内容': '酒店位置很好 属于沱江中段，附近有一些清吧 不觉得吵，晚上坐坐很惬意。房间挺大的、格调也不俗，个人非常满意', '短评打分': 4}
{'短评内容': '我是直接在网上定的，有其他盆友说到了凤凰实地比较过，这是卫生不错，我住的房间面积也比较大。但民宿不要五星级做比较，硬件和服务还是有差距的。不多大都用品比较齐全，建议商家备纯净水，和纸巾，这样更贴心哦，总体不错，风景也不错。出行前咨询老板都很热情。', '短评打分': 5}
{'短评内容': '酒店地理位置好，在主要街道，房间干净设施齐全，超赞临江的好大阳台夜景好美，坐在阳台听着歌看着夜景喝着红酒享受，老板热情前台帅哥服务好随叫随到推荐下次还来', '短评打分': 5}
{'短评内容': '环境卫生确实不错，定的早所以价钱也非常合适，当时觉得超值，值得推荐。', '短评打分': 5}
{'短评内容': '酒店比较偏，晚上回来不太安全的感觉，其他也一般，价格贵了些。', '短评打分': 4}
{'短评内容': '没早餐，只有一楼，房间脏，设备陈旧，连放行李的都没有，没窗户，就是因为在江边，打死也不会去了', '短评打分': 1}
{'短评内容': '店主热情。周边环境不错，就在江边，晚上不吵。只是洗手间的环境有点强差人意，再改善下会好很多。', '短评打分': 4}
{'短评内容': '凤凰时光房间很大，舒服，缺点稍偏僻。总体在古城内一流，价格较贵。', '短评打分': 3}
{'短评内容': '非常不错的旅馆 第一天免费换到2楼了 2楼比一楼好很多 老板人也不错 还是个鼓手', '短评打分': 3}
