{'短评内容': '环境好，服务好，早餐稍贵，但是品种很多!', '短评打分': 5}
{'短评内容': '太棒了，很温馨的酒店，下次还住这里', '短评打分': 5}
{'短评内容': '订的大床房，最后推荐的亲子套房。房间空间很大，只是儿童玩具很少。服务很到位。设施设备比较人性化，孩子们很喜欢。早餐比较丰盛。', '短评打分': 5}
{'短评内容': '能加床，位置好！', '短评打分': 5}
{'短评内容': '环境非常好，服务到位，设施一应俱全，性价比很高', '短评打分': 5}
{'短评内容': '房间还不错，服务也好', '短评打分': 5}
{'短评内容': '卫生干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽干净清爽', '短评打分': 5}
{'短评内容': '很好很快', '短评打分': 5}
{'短评内容': '还是可以的  就是鬼', '短评打分': 5}
{'短评内容': '位子还算不错吧，酒店稍微有点老，整体还算干净。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '大品牌，住着舒服', '短评打分': 5}
{'短评内容': '硬件还可以，就是房间通风不够好，进门就一股烟味，价格不错', '短评打分': 5}
{'短评内容': '还不错，服务很好', '短评打分': 5}
{'短评内容': '干净整洁，地理位置相当不错?，出门吃喝玩乐都有', '短评打分': 5}
{'短评内容': '免费升级了房间，房间能看到千佛山，交通便宜，走到主要景点和商场需要15分钟，很方便', '短评打分': 5}
{'短评内容': '环境很好，服务也很好，check in时，前台看到我带着两个孩子特地帮我升级了房间，客房打扫人员也因为我要给孩子冲奶粉，每天会多给我两瓶水，总之环境好，地理位置也不错，服务最赞', '短评打分': 5}
{'短评内容': '很好 和女朋友住的很舒服 很不错 隔音效果好 就是没有排气系统 电视不清晰 感觉也就是四星够不到五星', '短评打分': 5}
{'短评内容': '带着宝宝和老妈住的，客服态度很赞，很满意，可是空气流通太差，睡觉很不舒服，特别热，空调18度冷风，还开着窗户都睡不着，太热了，半夜跟客服要的薄毯子，还是很热，老人和孩子都没睡好，不满意，晚上都有建筑声音，下次肯定不住索菲特啦', '短评打分': 4}
{'短评内容': '房间干净卫生，服务很好', '短评打分': 5}
{'短评内容': '免费升级，确实不错', '短评打分': 5}
{'短评内容': '早餐有点贵，吃的一般，就是能在旋转餐厅看看风景', '短评打分': 4}
{'短评内容': '很不错了', '短评打分': 5}
{'短评内容': '1.停车不方便2.床太软 睡的不舒服 房间空气流通差 建议打扫卫生时开窗通风 3.早餐形式大于内容 能入口的少 对于五星酒店来说。4.洗漱用品中评 牙具稍差。        ！!服务人员态度特别好！！最喜欢的是酒店有直通商场的入口 满足买买买需求！2楼意大利餐厅还算专业 但是餐具卫生有待提高！', '短评打分': 5}
{'短评内容': '酒店位置很好，吃饭购物都很方便；但繁华地段就是很堵车，而且旁边小街道到处都是乱停乱放的汽车，交通更加拥堵，如果是赶时间的人，劝你不要在这个位置住酒店。另外，对于这个价格，标间的大小有些偏小。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '很好，一直选择住这里', '短评打分': 5}
{'短评内容': '服务不错，前台、客房、行政酒廊都超级热情。', '短评打分': 5}
{'短评内容': '不错的酒店，下次还会入住。', '短评打分': 4}
{'短评内容': '真心不錯 服務到位??', '短评打分': 5}
{'短评内容': '舒适、典雅、高贵、安静', '短评打分': 5}
{'短评内容': '服务真的很到位，唯一的缺点就是酒店不是很新，有些老了，装修真的很吵人！', '短评打分': 5}
{'短评内容': '服务真的很到位，唯一的缺点就是酒店不是很新，有些老了，装修真的很吵人！', '短评打分': 5}
{'短评内容': '服务真的很到位，唯一的缺点就是酒店不是很新，有些老了，装修真的很吵人！', '短评打分': 5}
{'短评内容': '服务真的很到位，唯一的缺点就是酒店不是很新，有些老了，装修真的很吵人！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '加了一天和以前一样值得入住，房间很干净服务态度也不错', '短评打分': 5}
{'短评内容': '很不错的酒店，屋里很干净\n服服务很不错，值得推荐', '短评打分': 5}
{'短评内容': '很不错的酒店 干净 安静  交通方便  向大家推荐一下', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 3}
{'短评内容': '，硬件不错，价格稍微高点', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '一定首推这家的洗漱品牌哈~全部的欧舒丹~（ps~最好有更多的香氛选择~）另外 就是 希望增设无线网络哈~家具有些些年代的痕迹哦~浴缸再大些就更好了呢~其他服务还有水果糖果小冰箱的安排等等都很好啦~', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '很好的酒店，很好的服务，和漂亮的大堂和餐食，总之一切不错', '短评打分': 5}
{'短评内容': '服务挺好', '短评打分': 3}
{'短评内容': '地理位置不错，在泉城广场旁边，交通便利...酒店环境也算ok，因为是免费升级的豪华双床房，感觉房间位置不是很好，旁边就是工作人员用的杂物室，早上能听到噪声...总体来说性价比不高', '短评打分': 5}
{'短评内容': '不赖不赖，索菲特的不错。不赖不赖，索菲特的不错。', '短评打分': 5}
{'短评内容': '前台太差了', '短评打分': 3}
{'短评内容': '总体不错。好像价格上涨了。', '短评打分': 3}
{'短评内容': '总体还可以，房间的设计我很喜欢，一楼的酒吧也很好，早餐也不错。个人觉得应该在服务前台沙发之类的可以供客人在等待结账的时候可以坐，总的来说，物有所值吧', '短评打分': 5}
{'短评内容': '非常完美的房间。', '短评打分': 3}
{'短评内容': '第一次入住该酒店，真的是很舒服，下次还会在来这里入住的。', '短评打分': 5}
{'短评内容': '价位贵，，而且都是十几年以前的设施，，大头电视  还带电视柜，，总之硬件很差，，不推荐', '短评打分': 5}
