{'短评内容': '服务跟差，房间也不太干净，不推荐', '短评打分': 3}
{'短评内容': '旁边有超市！还不错！领着爸爸和孩子！很宽敞！！不错两张双人床呢！！不错不错！', '短评打分': 5}
{'短评内容': '很不错很好', '短评打分': 5}
{'短评内容': '先回答问题，没有早餐，加不了床，带孩子没事，位置好找，星海广场旁边。下面正式评价:第一次住这种地方，楼是公寓楼，里面很多这种公寓酒店，估计每个能有几个房间吧。每个房间都是独立的，交了100房卡押金后发个短信，居然是开房密码啊，房间够大，两张大床，视线特别好面对广场。', '短评打分': 4}
{'短评内容': '朋友介绍的，看评价也很好，亲身入住后觉得物有所值 非常好', '短评打分': 5}
{'短评内容': '设备齐全，交通方便，住的很开心', '短评打分': 5}
{'短评内容': '酒店很不错，位置好，在星海广场会展中心这边，房间比较宽敞，密码锁，卫生打扫也不错', '短评打分': 5}
{'短评内容': '酒店不错，淡季很便宜', '短评打分': 5}
{'短评内容': '经常帮客户订房，很是满意，环境相当不错', '短评打分': 5}
{'短评内容': '棒棒的酒店！', '短评打分': 5}
{'短评内容': '每次来大连都住在这，很舒服，环境好，服务好', '短评打分': 5}
{'短评内容': '很不错，每次出差都来这里', '短评打分': 5}
{'短评内容': '两个人一起来的 房间很好 设施也全', '短评打分': 5}
{'短评内容': '房间很宽敞明亮  也非常干净  前台很热情 老板人很好  很喜欢这种感觉', '短评打分': 5}
{'短评内容': '在网上看评价选择的这里  很适合一家人出游的时候住  东西很全 老板很好', '短评打分': 5}
{'短评内容': '老板人很热情，也很用心，还给升级为双大床房，房间也很干净，刚住进来第一印象不错。', '短评打分': 3}
{'短评内容': '环境很不错，交通便利，设施不错，建议加个微波炉', '短评打分': 5}
{'短评内容': '不错,环境挺好的,酒店所在地点周围的地价是大连最贵的把~', '短评打分': 5}
{'短评内容': '环境非常好，很安静，离星海广场特别的近，非常满意。', '短评打分': 5}
{'短评内容': '非常好，舒适，环境好，服务热情周到，朋友说来大连还住在这里，非常满意，谢谢', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便！酒店的服务也很好，里面设施很全，很干净！', '短评打分': 5}
{'短评内容': '很好的酒店，位置也不错，老板人很好，房间的糖很好吃', '短评打分': 5}
{'短评内容': '酒店就在星海广场边上，房间很大，很干净，落地窗很舒服，设施也很好，第一次住酒店式公寓，感觉不错，以后还会入住，就是有厨具配置就好了。', '短评打分': 3}
{'短评内容': '比價性挺高的公寓式酒店,只可惜洗臉盤會漏水,毛巾架鬆落,其他都挺好的。', '短评打分': 3}
{'短评内容': '上次用短信点评的，好像没成功。个人很推荐这个酒店，房间大，设施齐全，性价比高。上次和女朋友一起去的，她很满意，下次出去住还会选这里。', '短评打分': 5}
{'短评内容': '地段好，安静，干净\n卫生间的玻璃很漂亮，沙发也很舒服', '短评打分': 5}
{'短评内容': '很喜欢 很温馨 就是地方不好找 迷迷糊糊的 有种家的感觉 就是早上下面保安的早操声音有点大 会吵到睡觉', '短评打分': 5}
{'短评内容': '空调不好用…给我的房间居然有两张床…感觉像是储藏室', '短评打分': 3}
{'短评内容': '房间挺宽敞，明亮。位置也比较好找，房间挺干净，服务很周到，很贴心。', '短评打分': 5}
{'短评内容': '不错   超出想象 位置好，\n在兴海广场边上。很安全。不是传统的宾馆，类似家庭公寓。\n', '短评打分': 5}
{'短评内容': '房间虽说算不上豪华，不过很干净，毕竟价位在那，性价比高，前台服务人员态度非常好，即使换房间态度依然很好，非常满意', '短评打分': 5}
{'短评内容': '还不错，挺干净的，最里会展中心比较近，以后还会来的。', '短评打分': 5}
{'短评内容': ' 公寓环境很好很干净。', '短评打分': 3}
{'短评内容': '公寓式的果然8错，地理位置优越，在中心商务区内，室内设施齐全干净，比以前住的如家快捷好多了。', '短评打分': 5}
{'短评内容': '感觉很不错性价比高星海广场附近环境优美房间大退房免查房强烈推荐', '短评打分': 3}
{'短评内容': '纯自由的酒店，个人买的几间公寓出租，完全没有服务，你不主动找他，他根本就不会里你，条件一般般，就是地点好，对面就是百年汇豪生酒店（5星级），周边环境极好，每次打车人家都以为我是住豪生的，使劲推荐我去吃好几千元的海鲜酒店，弄得我都不好意思问哪有大排档', '短评打分': 1}
{'短评内容': '屋子很干净  设施完备 具体回家再评', '短评打分': 3}
{'短评内容': '房间还好，公寓式的，只是美中不足是没有电话', '短评打分': 5}
{'短评内容': '服务不好，硬件一般，位置不错，没有早餐。', '短评打分': 5}
{'短评内容': '地点不错，特别适合自驾游家庭入住，环境很好，房间整洁，唯一的缺陷是没有租客停车场，业主的停车车场进不去，只好和写字楼的车挤在一起，周末还好，平常上班时间经常遭摆车的白眼。', '短评打分': 5}
{'短评内容': '环境很好 很干净 交通方便 很温馨 感觉很好！赞啊！！', '短评打分': 5}
{'短评内容': '环境很好，服务周到， 但周围吃饭不方便，去其他景点还是没有火车站旁方便', '短评打分': 5}
